QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	TAGS	COMMENTS
beyond seas	beyond seas	46.55757544	2.552257285	Going to	that is, France, either French Court or Avignon or both|RB is NOT among those going beyond seas, however
beyond the seas	beyond the seas			Going to	that is, France (either the French Court or Avignon)
Biforde	Biforde				
Blockley	Blockley			Given at	
Blockley	Blockley			Given at	https://en.wikipedia.org/wiki/Blockley ?
Bocton	Bocton				
Bordesley	Bordesley				
Bosebury	Bosebury			Given at	Bosbury, a favorite manor of Bishop of Hereford
Bosebur'	Bosebury			Nominative	Bosbury, a manor of the Bishop of Hereford
Bosebury	Bosebury			Given at	
Bosebury	Bosebury			Given at	
Boynton'	Boynton'	26.52535	-80.06643	Nominative	
Bramdene	Bramdene				
Braunford	Braunford			Nominative	
Br	Br	-20.29917	57.77056		
Br	Br	-20.29917	57.77056		
Bredon	Bredon	52.03008	-2.11671	Given at	Bredon' in Worcester diocese
Bredon	Bredon	52.03008	-2.11671	Given at	
Breynton	Breynton				
Breinton	Breynton				
Broyntone	Breynton				Breinton
Breinton	Breynton				
Breinton	Breynton				
Breynton	Breynton				
Breynton	Breynton				
Broyntone	Breynton			Nominative	Breinton
Broyntone	Breynton			Nominative	
Breynton	Breynton			Nominative	Breinton
Breinton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Brayntone	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breynton	Breynton			Given at	
Breynton'	Breynton			Nominative	
Breyntone,	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breyntone	Breynton			Nominative	
Breynton	Breynton			Given at	Breinton
Breyntone	Breynton			Given at	
Breyntone	Breynton			Nominative	
Breynton	Breynton			Nominative	
Broynton'	Breynton			Nominative	Breinton
Breynton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Breynton	Breynton			Nominative	
Bristol	Bristol	51.45523	-2.59665		
Bristol	Bristol	51.45523	-2.59665		
Bristoll	Bristol			Nominative	
Bristoll	Bristol	51.45523	-2.59665	Nominative	Bristol
Brok',	Brok',	52.69948	21.85704	Nominative	
Bromfeld	Bromfeld	52.38333	-2.76667	Nominative	
Brugges Solers	Brugges Solers			Nominative	
Brugge Wallesiche	Brugge Wallesiche				Welsh Bridge?
Bruneshope	Bruneshope			Nominative	
Cabache	Cabache				
Calewe.	Calewe.			Nominative	Calais?
canons of Hereford	canons of Hereford			RB property	
Canterbury	Canterbury	51.27904	1.07992		
Canterbury	Canterbury	51.27904	1.07992		
Canterbury	Canterbury	51.27904	1.07992		
Canterbury	Canterbury	51.27904	1.07992		
Canterbury	Canterbury	51.27904	1.07992		
Canterbury	Canterbury	51.27904	1.07992		
Canterbury	Canterbury	51.27904	1.07992		
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Canterbury	Canterbury	51.27904	1.07992	Given at	
Caple,	Caple,			Nominative	
Castle Street	Castle Street				
castro Godrici	castro Godrici			Nominative	Goodrich Castle
castrum Godriei	castrum Godriei				Goodrich Castle
certain houses in Gloucester (domorum in villa Glouc' situatarum racione dicti archidiaconatus debitarum)	certain houses in Gloucester (domorum in villa Glouc' situatarum racione dicti archidiaconatus debitarum)	51.86568	-2.2431	RB property|Building	
Chantry, Fownhope	Chantry, Fownhope			Given at|Building	
Chantry of St. Mary, Dorstone	Chantry of St. Mary, Dorstone	52.06667	-3	Given at|Building	
chapel of Hartlebury castle	chapel of Hartlebury castle			Building	
Cherring	Cherring			Nominative	
Chirchebroynton	Chirchebreynton				
Chirchebreynton	Chirchebreynton				
Chirchebreynton	Chirchebreynton				
Chirchebreynton	Chirchebreynton				
Chirchebreyntone	Chirchebreynton				
Chirchebroynton	Chirchebreynton			Given at	Breinton; document doesn't say so but likely to have been Given at Breinton
chirchecroft	chirchecroft				
Chirehebreynton	Chirehebreynton				
church for the souls of Richard	church for the souls of Richard				
church of Dington	church of Dington	52.49671	0.06017	RB property	Doddington, in Ely Diocese
church of Old Radenore	church of Old Radenore	52.231738	-3.097376	RB property	
church of St. Ethelbert	church of St. Ethelbert			Building	
church of St. Ethelbert	church of St. Ethelbert			Building	
Cirecestr'	Cirecestr'	51.71927	-1.97145	Nominative	Cirenchester
Cirencester	Cirencester	51.71927	-1.97145		
Cleeve	Cleeve	51.78826	6.13865	Given at	
Clifford	Clifford	52.1	-3.1	Nominative	
Cloppeleye	Cloppeleye				
Cloppeleye	Cloppeleye				
Colewall’	Colewall				
Colewall	Colewall			Nominative	
CONCILIO PROVINCIALI	CONCILIO PROVINCIALI				
Cranebrok'	Cranebrok'			Nominative	Cranbrook
Croft	Croft	52.55668	-1.24643	Given at	
Crookham	Crookham				
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
DE	DE	41.63344	-7.2463		
Deerhurst	Deerhurst				
de Orletone	de Orletone	52.3	-2.75	Nominative	
de Reigate	de Reigate	51.23736	-0.20582	Nominative	
Dington	Dington				
Doddington	Doddington	52.49671	0.06017	RB property	
Dominican	Dominican				
Doncaster	Doncaster	53.52285	-1.13116	Given at	
Durham	Durham	54.77676	-1.57566		
ecclesia sancti Pauli Londoniensis	ecclesia sancti Pauli Londoniensis	51.5137417	-0.098465147	Going to|Building	that is, RB is being sent to Provincial Council to be held at St Paul's, London; see elsewhere (Murimouth's Chronicle?) for more details?
ecclesie de Aka	ecclesie de Aka			RB property	Aka = church of Rock, in Worcestershire
ecclesie de Aka	ecclesie de Aka			RB property	Aka= parish church of Rock, Worcestershire
ecclesie de Aka,	ecclesie de Aka			RB property	Rock
ecclesie de Aka	ecclesie de Aka			RB property	Rock, in Worcestershire
ecclesie de Aka	ecclesie de Aka			RB property	Aka = Church of Rock, Worcestershire
ecclesie de Aka,	ecclesie de Aka			RB property	Church of Rock
ecclesie de Aka	ecclesie de Aka			RB property	church of Rock
ecclesie de Monitone	ecclesie de Monytone			RB property	Church of Monnington on Wye
ecclesie de Monytone	ecclesie de Monytone			RB property	Church of Monnington on Wye
ecclesie de Monytone	ecclesie de Monytone			RB property	Chuch of Monnington on Wye
England	England				
England	England				
England	England				
England	England				
England	England				
Estenor	Estenor			Nominative	
Evesham	Evesham	52.09237	-1.94887		
Evesham	Evesham	52.09237	-1.94887		
Exeter	Exeter	50.7236	-3.52751		
Exeter	Exeter	50.7236	-3.52751		
Exeter	Exeter	50.7236	-3.52751		
expeditione eorum	expeditione eorum			Going to	RB is being sent with letter from King to Pope requesting permission for translation of St Thomas Cantilupe to a new and more sumptous shrine
Faraham	Faraham			Given at	Farnham = manor of bishop of Winchester
Farnham	Farnham	51.215884	-0.784391	Given at	Farnham = manor of Bishop of Winchester where AO now mostly resident?
Farnham	Farnham	51.215884	-0.784391	Given at	Farnham = manor of bishop of Winchester
Farnham	Farnham	51.215884	-0.784391	Given at	
Farnham	Farnham	51.215884	-0.784391	Given at	
Farnham	Farnham	51.215884	-0.784391	Given at	
Farnham	Farnham	51.215884	-0.784391	Given at	
Flanesford	Flanesford				
Flanesford	Flanesford				Flanesford Priory
Flanesford	Flanesford			Going to	Flansford Priory|near or beside Goodrich Castle, Gloucestershire
foseaoresfurlonge	foseaoresfurlonge				
Fostone	Fostone	51.08169	1.16734	Nominative	Folkestone?
Fynesbury	Fynesbury				Recevied at Finsbury
Ganarew (Genreu)	Ganarew (Genreu)			Given at	
Garewy	Garewy			Nominative	
Gaucelin	Gaucelin				Cardinal Legate
Glos	Glos				
Glouc	Glouc				
Glouc	Glouc				
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431		
Gloucester	Gloucester	51.86568	-2.2431	RB property	Archdeaconry of Gloucester
Goodrich Castle	Goodrich Castle				
Goodrich Castle	Goodrich Castle				aka Castle Goodrich
goodrich Castle	Goodrich Castle			Given at	
grenewey	grenewey			Street	
Guildford	Guildford	51.23536	-0.57427	Given at	
Hamenasch'	Hamenasche			Nominative	
Hamenasche,	Hamenasche			Nominative	
Hampstead Marshall	Hampstead Marshall				
Hampton Lucy (Hampton Episcopi)	Hampton Lucy (Hampton Episcopi)				
Hanbury-by-Droitwich	Hanbury-by-Droitwich				Hambur' iuxta Wych
Hanbury-by-Droitwich (Hambur'iuxta Wich')	Hanbury-by-Droitwich			RB property	
Hanbury-by-Droitwich	Hanbury-by-Droitwich			RB property	
Hanbury-by-Droitwich	Hanbury-by-Droitwich			RB property	
Hanbury	Hanbury				
Hartlebury	Hartlebury				
Hartlebury	Hartlebury				
Hartlebury	Hartlebury			Given at	Hartlebury = manor of Bishop of Worcester
Hartlebury	Hartlebury			Given at	
Hartlebury	Hartlebury			Given at	
Hartlebury	Hartlebury			Given at	Hartlebury = manor of Bishop of Worcester
Hartlebury	Hartlebury			Given at	
Hartpury	Hartpury			Going to	
Hartpury vicarage	Hartpury vicarage				
Henthlan	Henthlan				
Hereford [Herefords]	Hereford [Herefords]			Nominative	
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Hereford	Hereford	52.05684	-2.71482		
Herefordensem	Herefordensem	52.05684	-2.71482		
Hereford]	Hereford			Nominative|Given at	transcription doesn't include it but I will add a tag for Hereford as Given at since this is the great likelihood
Hereford	Hereford	52.05684	-2.71482	Given at	document doesn't say so but likely to be Given at Hereford
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Herefords'	Hereford			Endorsement	Herefordshire
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at|Nominative	doc includes no location but almost certainly Given at Hereford; see nearby docs, issued same day
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	Document has no Given at but very likely to be Hereford
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Herefordensi	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Coming from	
Hereford	Hereford	52.05684	-2.71482	Given at	
Herford	Hereford	52.11457	8.67343	Given at	Hereford
Hereford	Hereford	52.05684	-2.71482	Given at	
Herford	Hereford	52.05684	-2.71482	Given at	Hereford|RB writes letter from Hereford on 1333.8.28; recorded in Bp Ralph's register on 1333.11.20
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	Given at added here, on expectation that the fully transcribed version of document will record this information; double check vs scan
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Herefordenses	Hereford			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Herefordshire	Herefordshire				
herestreteswey	herestreteswey			Street	
Herwynton	Herwynton			Nominative	
Heybury juxta Londonias	Heybury juxta Londonias	51.50853	-0.12574	Given at	Highbury-beside-London, that is, the north London neighborhood where Arsenal now play
highway	highway			Street	
Hillingdon	Hillingdon			Given at	
his meadow with its appurtenances in the meadow of Prestheye, lying between the meadow of the dean and chapter of Hereford and that of dominus John Helle, chaplain of the altar of the Blessed Mary in the cathedral church of Hereford, and extending from the meadow of the bishop of Hereford pertaining to the mill of Luggebrugge as far as the stream (aqua) Logge	his meadow with its appurtenances in the meadow of Prestheye, lying between the meadow of the dean and chapter of Hereford and that of dominus John Helle, chaplain of the altar of the Blessed Mary in the cathedral church of Hereford, and extending from the meadow of the bishop of Hereford pertaining to the mill of Luggebrugge as far as the stream (aqua) Logge			RB property	Prestheye
house in the street of the castle of Hereford	house in the street of the castle of Hereford			Building|RB property	in Castle Street, Hereford
houses and a curtilage in the suburbs of Hereford in a street called A Boue ghygne lying between the tenement of John de la Berne and the tenement of Agnes la Marischal and extending from the highway to the land called Auescrofte	houses and a curtilage in the suburbs of Hereford in a street called A Boue ghygne lying between the tenement of John de la Berne and the tenement of Agnes la Marischal and extending from the highway to the land called Auescrofte	52.05684	-2.71482	RB property	Upper Eign Street, in Hereford
Hull	Hull	53.7446	-0.33525	Nominative	
Hunderton	Hunderton				
Hunderton	Hunderton				
Ia Berne	Ia Berne			Nominative	
Ikelesham	Ikelesham			Nominative	
in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis	in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis			Building	that is, probably the Priory of St Rufus beside Avignon, where AO typically stays while in residence
Insula Vecta	Insula Vecta				
Insula Vecta	Insula Vecta			Nominative	
in the chapter	in the chapter	52.05684	-2.71482	Building	Chapter House at Hereford
Ipre	Ipre	50.85114	2.88569	Nominative	Ypres, in Low Countries?
Junii	Junii				
Kemeseye	Kemeseye			Nominative	
Kemeseye	Kemeseye			Nominative	
Kemeseye	Kemeseye			Nominative	
Kemeseye	Kemeseye			Nominative	
Kentyssheborcote	Kentissheborcote				
Kentissheborcote	Kentissheborcote				
Kingswood	Kingswood	51.45278	-2.50833		
Kinnersley	Kinnersley	52.13333	-2.95	Given at	
Kynardesle	Kynardesle				
l a Barewe	la Barewe			Nominative	
la Barewe	la Barewe			Nominative	
La Barewe	la Barewe			Nominative	
la Barre	la Barewe	46.88059	-2.12168	Nominative	
la Berne	la Berne			Nominative	
la Berne,	la Berne	46.983598	7.449678	Nominative	
la Berne	la Berne			Nominative	
la Calewe	la Calewe			Nominative	
la Calewe	la Calewe			Nominative	
la Dane	la Dane	53.194758	-2.443009	Nominative	
la Felde	la Felde			Nominative	
la Felde	la Felde			Nominative	
la Felde	la Felde			Nominative	
la Felde	la Felde			Nominative	
la Felde	la Felde			Nominative	
la Ffelde	la Felde			Nominative	
la goldhord	la goldhord				
la Hulle	la Hulle			Nominative	
Lambeth	Lambeth	51.49635	-0.11152	Given at	
Lambeth	Lambeth	51.49635	-0.11152	Going to	RB and his co-executors summoned to appear
land and rent, not held in chief,	land and rent, not held in chief,			RB property	
land in Breinton (Heref.)	land in Breinton (Heref.)			RB property	
lands and tenements held by the aforesaid Roger in Chirchebreynton' of the demise and feoffment of Gilbert de Reygate, and formerly held by Adam de Bropton' [sic]	lands and tenements held by the aforesaid Roger in Chirchebreynton' of the demise and feoffment of Gilbert de Reygate, and formerly held by Adam de Bropton' [sic]			RB property	Chirchebreynton = Breinton, probably part of or adjacent to it
Langaran	Langaran				
la Pounde	la Pounde			Nominative	
la Stone	la Stone	39.271166	20.925409	Nominative	
Ledebury	Ledebury				
