Id	TYPE	Document Number	Doc_Year	QUOTE_TRANSCRIPTION	VOCAB_LABEL	LAT	LNG	Place_Type	Person_Gender	TAGS	Person_Named by	Role	Person_Job	COMMENTS
Aylineston	PLACE	HCM 1485, HCM 2586, HCM 412	circa 1314, 1306/7, 1314	Aylineston, Aylyneston’, Aylineston						Nominative		Nominative		
Aymer de Valence	PERSON	HCM 1658	1315/6	Aymer de Valence						Principal				
Badelesmere	PLACE	HCM 1368	1317	Badelesmere						Nominative		Nominative		
Badesshawe	PLACE	HCM 678	1314	Badesshawe						Nominative		Nominative		
bailiff of the bishop of Hereford	PERSON	HCM 153	1317	bailiff of the bishop of Hereford						Office	Office			
bailiff of the dean	PERSON	HCM 2580, HCM 63	1305, 1316	bailiff of the dean and chapter of the church of Hereford, bailiff of the dean and chapter of Hereford						Office	Office		bailiff of the dean and chapter of the church of Hereford	
Banwelle	PLACE	HCM 589	1311	Banwelle						Nominative		Nominative		
Barewe	PLACE	HCM 1439, HCM 1851, HCM 218, HCM 2464, HCM 2665, HCM 2667, HCM 2673, HCM 2874	1308, 1311, 1317, 1305, 1308, 1312	Barewe, Barwe, Barewe, Barwe						Nominative		Nominative	proctors	
Bartholomew de Badelesmere	PERSON	HCM 1368	1317	Bartholomew de Badelesmere						Principal				
Baysham	PLACE	HCM 593	1307/8	Baysham						Nominative		Nominative		
Beatrice	PERSON	HCM 290	1312/3	Beatrice						Principal				
Bekynham	PLACE	HCM 1736	1305	Bekynham	Beckenham	51.40878	-0.02526			Nominative		Nominative		
Belves	PLACE	HCM 2871	1306/7	Belves						Nominative		Nominative		in Latin, Beluacen
Bere	PLACE	HCM 181	1310	Bere	Bere					Nominative		Nominative		
Bereford	PLACE	HCM 1736	1305	Bereford	Hereford	52.05684	-2.71482			Nominative		Nominative		??
Bergamo	PLACE	HCM 1443	1306	Bergamo	Bergamo (Italy)					Nominative		Nominative		
Berkeley	PLACE	HCM 758	1314	Berkeley	Berkeley	51.69111	-2.45917			Nominative		Nominative		
Bermundeseye	PLACE	HCM 3155	1314	Bermundeseye						Given at		Given at		
Bertonestrete	PLACE	HCM 153, HCM 174, HCM 186	1317, 1312, 1309/10	Bertonestrete, Brutone strete, Bruttonestrete				Street		Street				
Bewnal	PLACE	HCM 207	1312	Bewnal				Street		Street				
bishop of Hereford	PLACE	HCM 1438	1309	bishop of Hereford						Given at		Given at		
Bleegh(?)	PLACE	HCM 589	1311	Bleegh(?)						Nominative		Nominative		
Bliburg	PLACE	HCM 2595	1309/10	Bliburg						Nominative		Nominative		
Blitheslowe	PLACE	HCM 623	1309	Blitheslowe						Nominative		Nominative		
Bole	PLACE	HCM 1281	1306	Bole	Jianxincun	25.83892	104.11952			Nominative		Nominative		
Boleye	PLACE	HCM 3001	1317/8	Boleye						Nominative		Nominative		
Bolyngehope	PLACE	HCM 3001	1317/8	Bolyngehope						Nominative		Nominative		
Bordeaux	PLACE	HCM 1441	1305	Bordeaux	Bordeaux (Aquitaine, France)					Given at		Given at		
Bosebury	PLACE	HCM 1005, HCM 1049, HCM 1063, HCM 1507 C, HCM 1931, HCM 1975, HCM 2151, HCM 2257, HCM 2878	1317, 1314, 1313, 1316, 1315, 1311, 1309, 1306, 1316	Bos, Bosebur, Bosebury, Bosebur						Given at		Given at		Bosbury (a favorite manor of the Bishop of Hereford), Bosbury, Bosbury, a manor of the Bishop of Hereford, Bosbury, manor of the Bishop of Hereford, Bosbury, a manor of the bishop of Hereford
Boyfelde	PLACE	HCM 670	1311	Boyfelde						Nominative		Nominative		
Braumford'	PLACE	HCM 608, HCM 609	1307, 1307/8	Braumford'						Nominative		Nominative		
Braunfort	PLACE	HCM 2873	1311	Braunfort						Nominative		Nominative		
Breghenok	PLACE	HCM 1929	1313	Breghenok						Nominative		Nominative		
Brehousa	PLACE	HCM 2096	1315	Brehousa						Nominative		Nominative		
Brember	PLACE	HCM 1311, HCM 1313	1314, 1311	Brember						Nominative		Nominative		
Breosa	PLACE	HCM 1438	1309	Breosa						Nominative		Nominative		
Breusa	PLACE	HCM 1417	1305	Breusa						Nominative		Nominative		
Brewos	PLACE	HCM 1311, HCM 1313	1314, 1311	Brewos', Brewosia						Nominative		Nominative		elsewhere, Breosa
Breynton	PLACE	HCM 2093, HCM 218, HCM 2873, HCM 700	1317/8, 1311	Breynton, Brayntone, Ereyntonia, Breynton						Nominative		Nominative		Breinton
Bristol	PLACE	HCM 1610, HCM 201, HCM 2873	1305, 1315, 1311	Bristoll', Bristollia, Bristoll	Bristol	51.45523	-2.59665			Nominative		Nominative		
Brocwardin	PLACE	HCM 1489	1308	Brocwardin						Nominative		Nominative		
Bromfeld	PLACE	HCM 2145, HCM 2145, HCM 2667, HCM 2719	1309, 1305, 1307	Bromfeld, Bromfeld'						Given at, Nominative		Given at, Nominative		
Brompton	PLACE	HCM 564	1315/6	Brompton	Brompton	52.531065	-3.113228			Nominative		Nominative		
Bromyard Hoddesbach	PERSON	HCM 1025	1317	Bromyard Hoddesbach						Scribe				
Broumia	PLACE	HCM 678	1314	Broumia						Nominative		Nominative		
Bruera	PLACE	HCM 2673	1308	Bruera						Nominative		Nominative		
Brugge	PLACE	HCM 758	1314	Brugge						Nominative		Nominative		this is either Brugge Solers or Brugge Waleische; check Gilbert's other documents
Bruneshope	PLACE	HCM 1489, HCM 218, HCM 2873, HCM 405, HCM 608, HCM 609	1308, 1311, 1308, 1307, 1307/8	Brunsope, Bruneshope, Brunsope, Bruneshop, Bruneshope, Brunsope						Nominative		Nominative		
Buesham	PLACE	HCM 2093	1317/8	Buesham						Nominative		Nominative		
Bulleye	PLACE	HCM 1736	1305	Bulleye						Nominative		Nominative		
Bureford	PLACE	HCM 2260	1315/6	Bureford						Nominative		Nominative		
Buterleye	PLACE	HCM 2145	1309	Buterleye						Nominative		Nominative		
Byford’	PLACE	HCM 1929	1313	Byford’	Byford	-32.22099	116.009			Nominative		Nominative		
Byhindethewalle	PLACE	HCM 2059, HCM 2874	1314, 1312	Byhindethewalle, Byhyndethewalle				Street		Street				
Bykenor	PLACE	HCM 623	1309	Bykenor						Nominative		Nominative		
Byritone	PLACE	HCM 608	1307	Byritone						Nominative		Nominative		
Calewe	PLACE	HCM 680	1310	Calewe	Callow	52.01667	-2.73333			Nominative		Nominative		
canon	PERSON	HCM 1438	1309	canon						Office	Office			
canon in the church of Hereford	PERSON	HCM 1438	1309	canon in the church of Hereford						Office	Office			
canon of Hereford	PERSON	HCM 2879	1317	canon of Hereford						Office	Office			
canons who are personally resident in the said church or who are absent by licence of the chapter furthering the interests of the said church	PERSON	HCM 3001	1317/8	canons who are personally resident in the said church or who are absent by licence of the chapter furthering the interests of the said church						Collective|Office	Collective			
Canterbury	PLACE	HCM 1417, HCM 1503, HCM 1599, HCM 1780, HCM 2260, HCM 2871, HCM 3001, HCM 758	1305, 1309, 1307/8, 1311, 1315/6, 1306/7, 1317/8, 1314	Canterbury, Canterbury,, Canterbury	Canterbury	51.27904	1.07992			Nominative		Nominative		
Cantilupe	PLACE	HCM 1441	1305	Centilupo						Nominative		Nominative		Cantilupe
Cantiplue	PLACE	HCM 1438, HCM 1439, HCM 1441, HCM 1443, HCM 2673	1309, 1308, 1305, 1306, 1308	Cantilupo, Cantilupo,, Cantilupo, Cantulupo, Cantilupe						Nominative		Nominative		
Caple	PLACE	HCM 1438, HCM 2596	1309, 1310	Caple						Nominative		Nominative		
cardinals	PERSON	HCM 1441	1305	cardinals						Office	Office			
Catfeld	PLACE	HCM 758	1314	Catfeld						Nominative		Nominative		
cathedral church of Hereford	PLACE	HCM 3155, HCM 661	1314, 1305/6	cathedral church of Hereford	Hereford	52.05684	-2.71482	Building		Building				
Cecilia	PERSON	HCM 201	1315	Cecilia						Principal				
chaplain and envoy of the pope	PERSON	HCM 1439	1308	chaplain and envoy of the pope						Office	Office			
chaplains	PERSON	HCM 1417	1305	chaplains						Office	Office			
chapter-house at Hereford	PLACE	HCM 181, HCM 186, HCM 3180	1310, 1309/10, 1312	chapter-house at Hereford, chapterhouse at Hereford.	Hereford	52.05684	-2.71482	Building		Given at, Building		Given at		
chapter-house of Hereford	PLACE	HCM 1834	1313	chapter-house				Building		Building				Chapter House of Hereford
chapter-house of the cathedral church of Hereford.	PLACE	HCM 3165	1317	chapter-house of the cathedral church of Hereford.	Hereford	52.05684	-2.71482	Building		Building				
chapter of Llandaff	PERSON	HCM 623	1309	chapter of Llandaff						Collective|Principal	Collective	Principal		
chapter of the church of St. Etherbert of Hereford	PERSON	HCM 432	1305	the chapter of the same						Collective|Principal	Collective	Principal		chapter of the church of St. Etherbert of Hereford
chapter of the same	PERSON	HCM 186	1309/10	chapter of the same						Collective|Principal	Collective	Principal		
Charleton	PLACE	HCM 1975	1311	Cherlton						Nominative		Nominative		Charleton?
Chester	PLACE	HCM 1652	1314	Cestr'						Nominative		Nominative		Chester?
Chichester	PLACE	HCM 2159	1309	Chichester	Chichester	50.83673	-0.78003			Nominative		Nominative		
Chirebury	PLACE	HCM 2226	1308	Chirebury						Given at		Given at		Chirbury is a village in west Shropshire
church of Bayshan	PLACE	HCM 2463	1309/10	church of Bayshan				Building		Building				
church of Hereford	PLACE	HCM 1974, HCM 2748	1304/5, 1306	church of Hereford				Building		Building				
church of Ros	PLACE	HCM 181	1310	church of Ros				Building		Building				
church of St. Ethelbert of Hereford	PLACE	HCM 181, HCM 2720	1310, 1307	church of St. Ethelbert of Hereford				Building		Building				
Cirescester	PLACE	HCM 1752	1311/2	Cirescestre						Nominative		Nominative		Cirenchester?
Clehonger	PLACE	HCM 201, HCM 946	1315, 1305	Clehungre, Clehonger						Nominative		Nominative		
Clement V	PERSON	HCM 1439, HCM 1442	1308, 1306	the pope, the Pope						Office	Office			
Clere	PLACE	HCM 2720	1307	Clere						Nominative		Nominative		
clerk of the diocese of Hereford	PERSON	HCM 1417	1305	clerk of the diocese of Hereford and notary public						Office	Office			
Clewaresfelde	PLACE	HCM 670	1311	Clewaresfelde				Natural feature		Natural feature				
Clifford	PLACE	HCM 1657	1310/11	Clifford	Clifford	52.1	-3.1			Nominative		Nominative		
Clyntone	PLACE	HCM 670	1311	Clyntone						Nominative		Nominative		
Colcham	PLACE	HCM 1247	1315	Colcham				Property		Property				
Comminges	PLACE	HCM 1439, HCM 1441, HCM 1442, HCM 2871	1308, 1305, 1306, 1306/7	Comminges, Cominges	Saint-Bertrand-de-Comminges (France)					Nominative		Nominative		
Corston	PLACE	HCM 1836	1315	Corston'	Corston	51.385	-2.44028			Nominative		Nominative		
Cotinton	PLACE	HCM 2668, HCM 2670, HCM 2671, HCM 2718	1306, 1307	Cotinton', Cotinton						Nominative		Nominative		
Cradok' ap Morgan	PERSON	HCM 1523	1314	Cradok' ap Morgan						Principal				
crose	PLACE	HCM 1918	1316	crose						Nominative		Nominative		
cruce,	PLACE	HCM 1485	circa 1314	cruce,	Cruce de Arinaga	27.87656	-15.42798			Nominative		Nominative		
Dan	PLACE	HCM 1975	1311	Dan	Dan|Dan, Tel Dan/Tell el Qadi	33.24856	35.65252			Nominative		Nominative		
David, bishop of St. David's	PERSON	HCM 1503, HCM 1504, HCM 1505	1309, 1309/10	D[avid], bishop of St. David's, D [avid], bishop of St. David's						Principal				
David ap Howel Vachan	PERSON	HCM 1768	1314	David ap Howel Vachan						Principal				
David de Rotherwas	PERSON	HCM 150, HCM 201, HCM 405, HCM 406	1315, 1308	Dauid de Retherwas, David de Rotherwas						Witness		Witness		
David the smith	PERSON	HCM 593	1307/8	David the smith						Witness		Witness		
Davyd de la Barre	PERSON	HCM 1529	1315	Davyd de la Barre						Witness		Witness		
dean and chapter of Hereford	PERSON	HCM 1049, HCM 1049, HCM 1059, HCM 1065, HCM 1077, HCM 1264, HCM 1265, HCM 1265, HCM 1281, HCM 1366, HCM 1367, HCM 1367, HCM 1368, HCM 1368, HCM 1439, HCM 1441, HCM 1443, HCM 1489, HCM 1489, HCM 1489, HCM 1489, HCM 1834, HCM 1834, HCM 1834, HCM 1836, HCM 1848, HCM 1851, HCM 1851, HCM 1851, HCM 1854, HCM 1854, HCM 1930, HCM 1930, HCM 1931, HCM 1974, HCM 2059, HCM 2059, HCM 2072, HCM 2096, HCM 2096, HCM 2151, HCM 2246, HCM 2251, HCM 2257, HCM 2257, HCM 2260, HCM 2260, HCM 2537, HCM 2576, HCM 2579, HCM 2580, HCM 2580, HCM 2581, HCM 2585, HCM 2588, HCM 2589, HCM 2590, HCM 2591, HCM 2592, HCM 2593, HCM 2594, HCM 2596, HCM 2596, HCM 2597, HCM 2598, HCM 2599, HCM 2600, HCM 2601, HCM 2663, HCM 2665, HCM 2665, HCM 2666, HCM 2667, HCM 2668, HCM 2668, HCM 2669, HCM 2669, HCM 2670, HCM 2670, HCM 2671, HCM 2671, HCM 2672, HCM 2673, HCM 2675, HCM 2676, HCM 2712, HCM 2713, HCM 2714, HCM 2715, HCM 2716, HCM 2717, HCM 2718, HCM 2718, HCM 2719, HCM 2720, HCM 2721, HCM 2722, HCM 2723, HCM 2748, HCM 2749, HCM 2750, HCM 2751, HCM 2779, HCM 2873, HCM 2880, HCM 2947.G, HCM 2995, HCM 2995, HCM 2996, HCM 2996, HCM 3001, HCM 3001, HCM 3001, HCM 3008, HCM 3008, HCM 3162, HCM 3165, HCM 661, HCM 700, HCM 715, HCM 755, HCM 758, HCM 946	1314, 1309/10, 1316/7, 1309, 1306, 1317, 1308, 1305, 1306, 1308, 1313, 1315, 1308, 1317, 1313, 1315, 1304/5, 1314, 1317, 1315, 1309, 1312, 1314, 1306, 1315/6, 1307, 1305, 1306, 1307, 1308, 1309, 1310, 1311/2, 1312, 1313, 1315, 1305, 1306, 1307, 1308, 1311, 1315/6, 1305, 1306, 1306/7, 1307, 1309, 1310/11, 1315, 1306, 1307, 1311, 1309, 1311, 1317, 1312, circa 1317, 1317, 1317/8, 1318-1324, 1306, 1317, 1305/6, 1311, 1317/8, 1317, 1314, 1305	dean and chapter of Hereford, dean and chapter, the dean and chapter of Hereford, the dean end chapter of Hereford, the dean and chapter of Hereford, Dean and chapter of the church of St. Ethelbert of Hereford, Dean and chapter of the church of St. Etherbert of Hereford, the dean and chapter of Hereford, Dean and chapter of the church of St. Ethelbert of Hereford, dean and chapter of Hereford, the dean and chapter of Hereford, the dean and chapter, the dean and chapter of Hereford,, dean and chapter of Hereford, the dean end chapter of Hereford,, the dean and chapter, Dean and chapter of the church of Saint Ethelbert at Hereford, the dean and chapter, dean and chapter of Hereford, dean and chapter, dean and chapter of the cathedral church of Hereford, the dean and chapter of the cathedral church of Hereford, dean and chapter of Hereford, dean and chapter, the dean and chapter of Hereford, dean and chapter of Hereford,, dean and chapter, the dean and chapter, the dean and chapter of the dean and chapter of Hereford, the dean and chapter of the cathedral church of Hereford, Dean and chapter of the church of St, Ethelbert of Hereford, Dean and chapter of the said church, The dean and chapter, dean and chapter, the dean and chapter, the dean and chapter of Hereford, the canons of Hereford, the dean and chapter of the church of St. Ethelbert, Hereford, the dean and chapter, the dean and chapter of Hereford, dean and chapter, the dean and chapter of the church of St. Ethelbert, Hereford, Dean and chapter of the church of St. Ethelbert of Hereford., Dean and chapter of the church of St. Ethelbert of Hereford, Dean and chapter of Hereford, dean and chapter, Dean and chapter of Hereford, dean and chapter of the church of St. Ethelbert, Dean and chapter of Hereford, Dean and chapter of the church at Hereford, Dean and chapter of Hereford, Dean and chapter of the church of St. Ethelbert of Hereford, Dean and chapter of the church of Hereford, the dean and chapter of the church of Hereford, The said dean and chapter, Dean and chapter [of Hereford, Dean and chapter of Hereford, Dean and chapter of the church of Hereford, Dean and chapter of Hereford, the dean and chapter of Hereford, dean and chapter, Dean and chapter of the church of Hereford, Dean and chapter of the church of St. Ethelbert of Hereford, dean and chapte, the dean and chapter of Hereford, dean and chapter, the dean and chapter of Hereford, dean and chapter, the dean and chapter of Hereford, dean and chapter, Dean and chapter of the cathedral church of Hereford, Dean and chapter of the church of Hereford, Dean and chapter of Hereford, Dean and chapter of the church of St. Ethelbert of Hereford, Dean and chapter of the aforesaid church, Dean and chapter of Hereford, Dean and chapter of the church of St. Ethelbert of Hereford, Dean and chapter of the cathedral church of Hereford, Dean and chapter of Hereford, dean and chapter of Hereford, Dean and chapter of Hereford, Dean and chapter of the church of St. Ethelbert of Hereford, Dean and chapter of Hereford, Dean and chapter of the aforesaid church, Dean and chapter of the church of Hereford, Dean and chapter of Hereford, Dean and chepter of the church of St. Ethelbert of Hereford, the dean and chapter of Hereford, dean and chapter of the church of Hereford, the dean and chapter of Hereford, the dean and chapter, the dean and chapter of Hereford, the dean and chapter, the dean and chapter of Hereford, The dean and chapter, the dean and chapter of Hereford, the dean and chapter of the cathedral church of Hereford, the dean and chapter, the dean and chapter of Hereford, dean and chapter of Hereford, the dean and chapter of the church of St. Ethelbert of Hereford, dean and chapter of Hereford, the dean and chapter, Dean and chapter of the cathedral church of St. Ethelbert of Hereford						Office, Collective, Collective|Executor, Collective, Collective|Principal, Collective, Collective|Principal, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective|Principal, Collective|Office, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective|Principal, Office, Collective, Office, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Principal, Collective|Office, Collective, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective|Office, Collective|Office|Principal, Collective, Collective|Principal, Collective, Collective|Principal, Collective, Collective|Principal	Collective, Office, Collective, Office, Collective	Principal, Principal, Principal, Principal, Principal, Principal, Principal, Principal, Principal, Principal	collectors of the tenth for the archdeaconry of Salop, subcollectors of the tenth, sub-collectors of the annual tenth granted to the King by the Pope	Dean and chapter of Hereford, of Hereford, dean and chapter of Hereford, that is, the dean and chapter of Hereford, of Hereford, dean and chapter of Hereford, dean and chapter of Hereford Cathedral, Dean and chapter of Hereford, that is, the dean and chapter of Hereford, Of Hereford, (Hereford), Dean and chapter of Hereford
Dean of Church of St Mary of Arches, London	PERSON	HCM 1504	1309/10	the dean of the Court of Arches						Office	Office			Dean of Church of St Mary of Arches, London
de la Boxe	PLACE	HCM 1505	1309/10	de la Boxe						Nominative		Nominative		
de le Halle	PLACE	HCM 1247	1315	de le Halle						Nominative		Nominative		
de Monem',	PLACE	HCM 1505	1309/10	de Monem',						Nominative		Nominative		
Dene	PLACE	HCM 2159	1309	Dene	Dean, Forest of (England : Forest)					Nominative		Nominative		
Derby,	PLACE	HCM 1599	1307/8	Derby,	Derby	-17.30295	123.62864			Nominative		Nominative		
Devyd de Ia Bere	PERSON	HCM 1311	1314	Devyd de Ia Bere						Witness		Witness		
Deweswalle	PLACE	HCM 680	1310	Deweswalle						Given at		Given at		
ditch	PLACE	HCM 1703	1317	ditch						Natural feature				
Dominus Hugh de Brehousa	PERSON	HCM 1169	1316	Dominus Hugh de Brehousa						Principal				
Dominus John de Kemeseya	PERSON	HCM 352	1315	Dominus John de Kemeseya						Principal			chaplain	
Dominus Roger Broun	PERSON	HCM 2464	1317	Dominus Roger Broun						Principal			vicar of Nortone	vicar of Nortone
Dominus Willam the Young	PERSON	HCM 2870	1306	Dominus Willam the Young						Principal			chaplain, receiver of the chapter of Hereford.	
Doncaster	PLACE	HCM 2260	1315/6	Donecastr’	Doncaster	53.52285	-1.13116			Nominative		Nominative		
Dowinus William Mortimer	PERSON	HCM 432	1305	Dowinus William Mortimer						Principal				
Dudelebury	PLACE	HCM 1836, HCM 1836, HCM 2875	1315, 1312/3	Dudelebur, Dudelebury, Dudelebur						Given at, Nominative		Given at, Nominative		
Dudeleye	PLACE	HCM 196	1316	Dudeleye						Nominative		Nominative		
Dunre	PLACE	HCM 2226	1308	Dunre						Nominative		Nominative		
Eastnor	PLACE	HCM 1751, HCM 1918	1305, 1316	Estenovere, Estenouere						Nominative		Nominative		Eastnor, near Ledbury, Eastnor, near Ledbury?
Edmund le Walsse	PERSON	HCM 681	1316/7	Edmund le Walsse						Witness		Witness		
Edward I	PERSON	HCM 1652	1314	Edward I						Dead				King Edward I
Edward II	PERSON	HCM 1621, HCM 1652, HCM 1652, HCM 1929, HCM 1929, HCM 1930, HCM 2096, HCM 2246, HCM 2251, HCM 2260, HCM 2260, HCM 2674, HCM 2947.G	1313, 1314, 1313, 1315, 1312, 1314, 1315/6, 1310, 1312	the king, The king, Edward [II], The king, Edward II, Edward [II], the king, Edward II, the king, Edward II, Edward (?II), ROYAL CONFIRMATION						Office|Principal, Office, Principal, Office, Principal, Office, Principal, Office, Principal, Office|Principal	Office, Office, Office, Office, Office	Principal, Principal		King Edward II, Edward II, King Edward II, Edward II, King Edward II of England, King Edward II, Edward II, King of England, that is, this is an edict of King Edward II
Edward III	PERSON	HCM 2947.G	1312	Edward III						Principal				King Edward III
Eign Street	PLACE	HCM 2096	1315	Yeygne				Street		Street|Nominative		Nominative		Eign Street, in Hereford
Eleanor le Yonge	PERSON	HCM 1281	1306	Eleanor						Principal				Eleanor le Young?
Elianora, wife of Roger Racy	PERSON	HCM 1005	1317	Elianora, wife of Roger Racy					Woman	Principal				aka Alianora Racy
Elias de Bekynham	PERSON	HCM 1736	1305	Elias de Bekynham						Witness		Witness		
Elias de Roilly	PERSON	HCM 1313	1311	Elyas de Roily						Scribe		Scribe		
Ellen, daughter of Robert de Compton	PERSON	HCM 385	1st half of 14th cent.	Ellen, daughter of Robert de Compton						Principal		Principal		
Ellis de Walsnede	PERSON	HCM 290	1312/3	Ellis de Walsnede						Scribe		Scribe		
Elyas de Albriton	PERSON	HCM 623	1309	Ellis (Elyas) de Albriton										AKA Elyas
Emma, wife of William Wyte de Stauntone juxta Cors	PERSON	HCM 559	1315/6	Emma					Woman	Principal				Wife of William Wytte de Stauntone juxta Cors
England	PLACE	HCM 1442, HCM 2096, HCM 2674	1306, 1315, 1310	England	England					Nominative		Nominative		
Euerard	PERSON	HCM 203	1311	Euerard						Principal				
Everard son of John le Clerk'	PERSON	HCM 2873	1311	Everard son of John le Clerk'						Principal				
Evesham	PLACE	HCM 1367	1317	Evesham	Evesham	52.09237	-1.94887			Given at		Given at		
fee of the dean and chapter in Broynton	PERSON	HCM 755	1317	fee of the dean and chapter in Broynton						Collective	Collective			
fifteen other bishops and seven abbots	PERSON	HCM 1441	1305	fifteen other bishops and seven abbots						Collective|Office	Collective			
five acres of arable land	PLACE	HCM 2879	1317	five acres of arable land						Property				
Florence	PLACE	HCM 1930, HCM 2674	1313, 1310	Florence	Florence	43.77925	11.24626			Nominative		Nominative		
Foston'	PLACE	HCM 2665	1305	Foston'						Nominative		Nominative		
Fownhope	PLACE	HCM 593	1307/8	Fowehop						Given at		Given at		Fownhope
Frater John	PERSON	HCM 1581	1306	Frater John						Principal			abbot	
Frater John de Kyngeston	PERSON	HCM 1169	1316	Frater John de Kyngeston						Principal				
Friscobaldi	PLACE	HCM 2674	1310	Friscobald'						Nominative		Nominative		Frescobaldi, which is a major family of Florence
Galuerhull	PLACE	HCM 2464	1317	Galuerhull						Nominative		Nominative		
Gardino	PLACE	HCM 2871	1306/7	Gardino						Nominative		Nominative		
Geoffrey de Brampton	PERSON	HCM 3155	1314	Geoffrey de Brampton						Scribe				
Geraldo Domingues	PERSON	HCM 1441	1305	episcopus Portuen						Office	Office		Cardinal-bishop of Porto	
