Document Number	Alternate Numbering	Given At	Earliest Date	Latest Date	UUID	Person ID	PERSON + DOC	QUOTE_TRANSCRIPTION	Normalized text	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags	Named by	Scribe	Principal	Witness	Dead	Gender
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	67b3d096-8dec-48b0-bd41-352aa75ced04	7be89dd5-139e-459c-8314-bf5fc3b7c18d	7be89dd5-139e-459c-8314-bf5fc3b7c18d;HCM 2932.E	John  Russell’,	John Russell		PERSON				Adjudicator	Adjudicator						M
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	dbe5d3e5-6341-4fa0-8d4f-cf4042a75cf4	7408fe1e-4b2f-4714-827c-18e0304bb54c	7408fe1e-4b2f-4714-827c-18e0304bb54c;HCM 2932.E	Adam de Germayn	Adam Germayn		PERSON				Adjudicator	Adjudicator						M
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	17a626ba-5446-46e3-8217-001a83aadbf9	6d732a6c-8c91-4b30-a5ca-b79de8bac0ed	6d732a6c-8c91-4b30-a5ca-b79de8bac0ed;HCM 2932.E	william de Arundel’	William de Arundel		PERSON				Adjudicator	Adjudicator						M
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	4bc6dc90-2945-4d2c-bb45-08061cb06160	518568ab-fc48-4fe9-9c26-659db6090111	518568ab-fc48-4fe9-9c26-659db6090111;HCM 2932.E	the king	King Edward III		PERSON	Edward III?			Principal|Lease-holder	|Lease-holder			Principal			M
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	eb5d7217-fb05-449b-b64e-b6954220b16e			the castle of Hereford, the forest of Hayas; also the greater part of the city of Hereford	the castle of Hereford	the forest of Hayas; also the greater part of the city of Hereford	PLACE											
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	dfedc7d5-80c7-4d24-8f95-30a4ef7c0b6b	bfc9a30c-1029-46ec-a167-72f7a352bd7e	bfc9a30c-1029-46ec-a167-72f7a352bd7e;HCM 2932.E	citizens of Hereford	citizens of Hereford		PERSON				Collective|Lease-holder|Principal	|Lease-holder|	Collective		Principal			M
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	a91c00c8-8f65-422c-8a10-ec465c2c0036			Other parts	Other parts		PLACE		41.60201343	13.17762716								
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	760d1d5f-dac2-45c5-aa7b-7495c8b5a196	0d75305d-89af-4da3-b7ba-6421a1a97da3	0d75305d-89af-4da3-b7ba-6421a1a97da3;HCM 2932.E	the bishop	bishop of Hereford	bishop of Hereford	PERSON				Principal|Lease-holder|Clerical|Office	|Lease-holder|Clerical|	Office		Principal			M
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	dbd07097-c79d-4ea5-b0bc-2eb998d1a845	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2932.E	the chapter	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Lease-holder|Clerical|Collective	|Lease-holder|Clerical|	Collective		Principal			M
HCM 2932.E			1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	01dc04df-05ab-4fef-98a6-48f84cf34dc4	efbd019c-7802-4a4e-a97a-9bf775645a40	efbd019c-7802-4a4e-a97a-9bf775645a40;HCM 2932.E	hospitallers of Hereford	hospital of St John's Hereford		PERSON	Of Hereford			Principal|Lease-holder|Collective|Clerical	|Lease-holderClerical	Collective		Principal			M
HCM 2932.F		Hereford	1355-03-04T00:00:00Z		ab722019-268f-4cbe-be2d-e1e7b910abe4	60d3ffe2-5bb4-48a4-91de-484a580e94d0	60d3ffe2-5bb4-48a4-91de-484a580e94d0;HCM 2932.F	John | Trilleck], bishop of Hereford,	John de Trillek	bishop of Hereford	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 2932.F		Hereford	1355-03-04T00:00:00Z		43b39a78-fdb0-4c2e-911d-4c6537c11029	43b39a78-fdb0-4c2e-911d-4c6537c11029	43b39a78-fdb0-4c2e-911d-4c6537c11029;HCM 2932.F	juries in the city of Hereford end in the hundred of Radelowe	jury at Hereford		PERSON				Collective|Adjudicator	Adjudicator	Collective					M
HCM 2932.F		Hereford	1355-03-04T00:00:00Z			43b39a78-fdb0-4c2e-911d-4c6537c11028	43b39a78-fdb0-4c2e-911d-4c6537c11028;HCM 2932.F		jury in Radelowe hundred		PERSON				Collective|Adjudicator	Adjudicator	Collective					M
HCM 2932.F		Hereford	1355-03-04T00:00:00Z		480c730f-17fb-4a22-8af8-d7a0480879fa			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at (suggested)	Given at (suggested)						
HCM 2932.F		Hereford	1355-03-04T00:00:00Z		f1fcf9c6-2d50-4c02-a6e3-92242edb5a7b	60d3ffe2-5bb4-48a4-91de-484a580e94d0	60d3ffe2-5bb4-48a4-91de-484a580e94d0;HCM 2932.F	bishop	John de Trillek	bishop of Hereford 1344-61	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 2932.F		Hereford	1355-03-04T00:00:00Z		bf354d18-08af-4b39-b3d0-51b3539b4620	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2932.F	chapter,	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2932.F		Hereford	1355-03-04T00:00:00Z		44792186-d41c-4d35-9c3a-73353925b65a	efbd019c-7802-4a4e-a97a-9bf775645a40	efbd019c-7802-4a4e-a97a-9bf775645a40;HCM 2932.F	hospitallers of Hereford	hospital of St John's Hereford		PERSON				Clerical|Collective|Principal	Clerical	Collective		Principal			M
HCM 2939.A.		cathedral church of Hereford	1285-12-21T00:00:00Z		82bdf6f3-a2c7-4cb0-a6e0-f9ea9b37068c	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2939.A.	dean and chapter of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2939.A.		cathedral church of Hereford	1285-12-21T00:00:00Z		b0eb0a53-702d-404c-b96c-796baa56ad41	bfc9a30c-1029-46ec-a167-72f7a352bd7e	bfc9a30c-1029-46ec-a167-72f7a352bd7e;HCM 2939.A.	mayor and citizens of Hereford	citizens of Hereford	mayor and citizens	PERSON				Principal|Collective		Collective		Principal			M
HCM 2939.A.		cathedral church of Hereford	1285-12-21T00:00:00Z		0bc5867b-4ffc-49b7-9e47-f61fb23d546c			cathedral church of Hereford	Hereford Cathedral		PLACE				Given at	Given at						
HCM 294			1361-12-05T00:00:00Z		3e957956-c47c-42d7-af54-7de66cde4920			COURTERPART of No. 292	COURTERPART of No. 292		CROSS REFERENCE	i.e. a copy of HCM 292			Copy	Copy						
HCM 2947.F.			1285-12-21T00:00:00Z		9c669165-d082-4586-aa55-3be741e136f9	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 2947.F.	Bishop Richard [Swinfield]	Richard de Swinfield		PERSON	Bp of Hereford			Principal|Collective		Collective		Principal			M
HCM 2947.F.			1285-12-21T00:00:00Z		9c46313b-3370-471b-a727-3d7529292fa7	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2947.F.	dean chapter of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2947.F.			1285-12-21T00:00:00Z		1b916ae8-92f5-4ab5-9d77-4e3299c1c12a	bfc9a30c-1029-46ec-a167-72f7a352bd7e	bfc9a30c-1029-46ec-a167-72f7a352bd7e;HCM 2947.F.	citizens of Hereford, the king's tenants	citizens of Hereford	the King's tenants	PERSON				Principal|Collective		Collective		Principal			M
HCM 2947.F.			1285-12-21T00:00:00Z		d39e7d67-5add-4b57-851d-881955c54baa	05626e2f-1307-4e90-a6fb-689d37bf534b	05626e2f-1307-4e90-a6fb-689d37bf534b;HCM 2947.F.	king'	King Edward I		PERSON				Lease-holder	Lease-holder						M
HCM 2947.G		Windsor	1312-12-18T00:00:00Z		98c88d93-e369-4aa4-9b5e-6d52d6e26f97	d4581268-48f2-45c8-8655-11affadc8472	d4581268-48f2-45c8-8655-11affadc8472;HCM 2947.G	ROYAL	King Edward II		PERSON				Principal|Office		Office		Principal			M
HCM 2947.G		Windsor	1312-12-18T00:00:00Z		4f8c6fcb-68af-4802-8052-5e16fa26c262	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2947.G	dean and chapter of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2947.G		Windsor	1312-12-18T00:00:00Z		c0b8cc7d-38c7-4750-ab48-1b62c50a687e	bfc9a30c-1029-46ec-a167-72f7a352bd7e	bfc9a30c-1029-46ec-a167-72f7a352bd7e;HCM 2947.G	citizens of Hereford	citizens of Hereford		PERSON				Collective|Principal		Collective		Principal			M
HCM 2947.G		Windsor	1312-12-18T00:00:00Z		8ef103ac-a9c4-4380-8732-7a1fe0529b29			Windsor	Windsor		PLACE		51.48333	-0.6	Given at	Given at						
HCM 2947.G-em			1334-07-15T00:00:00Z		c5d65ba0-b67f-4c2b-94a3-e97898380f45	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2947.G-em	dean and chapter of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2947.G-em			1334-07-15T00:00:00Z		414f0008-92cf-4e6c-9477-1397bf29027b	bfc9a30c-1029-46ec-a167-72f7a352bd7e	bfc9a30c-1029-46ec-a167-72f7a352bd7e;HCM 2947.G-em	citizens of Hereford	citizens of Hereford		PERSON				Principal|Collective		Collective		Principal			M
HCM 2947.G-em			1334-07-15T00:00:00Z		833acc15-b5c4-4e27-8102-40aa2b978cb3	518568ab-fc48-4fe9-9c26-659db6090111	518568ab-fc48-4fe9-9c26-659db6090111;HCM 2947.G-em	Edward III	King Edward III		PERSON				Principal				Principal			M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	a340bc36-8d7c-45a0-b54b-d4111844741d	978a79a8-749e-4bbe-b94e-b75bc5e28ad0	978a79a8-749e-4bbe-b94e-b75bc5e28ad0;HCM 296	John de Stanuord	John de Stanford		PERSON				Principal				Principal			M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	f195a967-339d-4fa3-ab3c-6b01feca7cd1	f195a967-339d-4fa3-ab3c-6b01feca7cd1	f195a967-339d-4fa3-ab3c-6b01feca7cd1;HCM 296	Henry, his eldest son	Henry de Stanford	son of John Stanuord, brother to Thomas de Stanford	PERSON	son to Johen de Stanuord, and brother to Thomas de Stanford			Principal				Principal			M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	9ca7adb3-0673-4b02-a017-f33caff48f57	9ca7adb3-0673-4b02-a017-f33caff48f57	9ca7adb3-0673-4b02-a017-f33caff48f57;HCM 296	Thomas de Stanford, his son	Thomas de Stanford	son of John de Stanuord	PERSON	son to John de Stanuord, and younger brother to Henry			Principal				Principal			M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	4de343b9-f6d2-4501-9f56-abb0b8b28db1			half a virgate of land in Netherida	half a virgate of land in Netherida		PLACE											
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	61b735f4-5600-4df9-8cc4-7ad67bae7619	61b735f4-5600-4df9-8cc4-7ad67bae7619	61b735f4-5600-4df9-8cc4-7ad67bae7619;HCM 296	Gilbert, formerly the reeve	Gilbert the Reeve	formerly the reeve	PERSON	former holder			Lease-holder	Lease-holder						M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	eb3fb3a3-344d-431d-9c94-1db03887031b	eb3fb3a3-344d-431d-9c94-1db03887031b	eb3fb3a3-344d-431d-9c94-1db03887031b;HCM 296	Adam, chaplain of Bromhard,	Adam chaplain of Bromhard	chaplain of Bromhard	PERSON				Witness|Clerical	Clerical				Witness		M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	f862efc0-0021-47e1-bd1a-cabddfa9238b	f862efc0-0021-47e1-bd1a-cabddfa9238b	f862efc0-0021-47e1-bd1a-cabddfa9238b;HCM 296	Peter de bosco	Peter de Bosco		PERSON				Witness					Witness		M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	228a0b10-020c-468d-9dd8-523654167783	228a0b10-020c-468d-9dd8-523654167783	228a0b10-020c-468d-9dd8-523654167783;HCM 296	William de Halh'd	William de Halh'd		PERSON	vicinity of Bromhard, land in Netherida			Witness					Witness		M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	237d8bb0-9886-4ad9-b1d3-ee1b7c1f747d	237d8bb0-9886-4ad9-b1d3-ee1b7c1f747d	237d8bb0-9886-4ad9-b1d3-ee1b7c1f747d;HCM 296	Richard de hida	Richard de Hida		PERSON				Witness					Witness		M
HCM 296			1275-01-01T00:00:00Z	1325-12-31T00:00:00Z	b86edfb0-34eb-4cf5-9e00-4828fac01cea	b86edfb0-34eb-4cf5-9e00-4828fac01cea	b86edfb0-34eb-4cf5-9e00-4828fac01cea;HCM 296	Henry de hida	Henry de Hida		PERSON				Witness|Scribe			Scribe		Witness		M
HCM 2972		Hereford	1328-02-12T00:00:00Z		e03f6172-9536-427e-ac90-e246c08fde14	e9ac0f2d-11f4-4243-920e-96296e6b8483	e9ac0f2d-11f4-4243-920e-96296e6b8483;HCM 2972	Thomes de Penebrugg', treasurer of the church of St. Ethelbert, Hereford	Thomas de Penebrugge	Treasurer of the Church of St Ethelbert, Hereford	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 2972		Hereford	1328-02-12T00:00:00Z		6671fc1e-97f1-448f-a047-109e6f2f1903	aae3f841-e4aa-4439-abde-de29c7dea9c5	aae3f841-e4aa-4439-abde-de29c7dea9c5;HCM 2972	Adam Carbonel, canon of the said church.	Adam Carbonel	canon of Hereford	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 2972		Hereford	1328-02-12T00:00:00Z		39b7e456-1d6c-493d-8bea-d07ba74cf8e3			Hereford.	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 2973		chapter-house at Nereford	1341-12-15T00:00:00Z		23ac0876-9f7b-420d-9177-409bb65590d5	9850a9a6-b051-4a73-9f96-314c750d1242	9850a9a6-b051-4a73-9f96-314c750d1242;HCM 2973	Stephen, dean of the church of Si. Ethelbert et Hereford, and the chepter of the same	Stephen de Ledbury dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]									dean and chapter of Hereford													
HCM 2973		chapter-house at Nereford	1341-12-15T00:00:00Z		2408b907-e221-449c-b008-f8d634d13253	937d1274-313a-4332-8bdd-78533b21caa0	937d1274-313a-4332-8bdd-78533b21caa0;HCM 2973	John de wythinton'.	John de Withinton		PERSON				Principal				Principal			M
HCM 2973		chapter-house at Nereford	1341-12-15T00:00:00Z		a3cbeb09-5d22-491a-8dd4-b11ebc129cae			chapter-house at Nereford	chapter-house at Hereford		PLACE				Given at	Given at						
HCM 2988		Hereford	1354-07-10T00:00:00Z		be9e03f5-ddb3-4095-891e-9f853ecba779	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2988	Chapter of Hereford, the deanery being vacant;	dean and chapter of Hereford	the deanery being vacant	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2988		Hereford	1354-07-10T00:00:00Z		7ea8f6df-ebd4-404f-a086-1529f14d5c92	7ea8f6df-ebd4-404f-a086-1529f14d5c92	7ea8f6df-ebd4-404f-a086-1529f14d5c92;HCM 2988	Richard de Staure, vicar of the church of  ydeneye	Richard de Staure vicar of Lydeneye	vicar of Lydeneye	PERSON	Lydeneye|lessee of church of L. with John le Whyte and Walter de Hurste			Principal|Clerical	Clerical			Principal			M
HCM 2988		Hereford	1354-07-10T00:00:00Z		685047d0-d8e3-4334-ade4-c3d4e151b0a7	685047d0-d8e3-4334-ade4-c3d4e151b0a7	685047d0-d8e3-4334-ade4-c3d4e151b0a7;HCM 2988	John le Whyte, chaplain	John le Whyte	chaplain	PERSON	lessee of church of lydeneye with Richard Staure and Walter Hurste			Principal|Clerical	Clerical			Principal			M
HCM 2988		Hereford	1354-07-10T00:00:00Z		ebf450e4-01df-4d15-82d0-ecb408278ed0	ebf450e4-01df-4d15-82d0-ecb408278ed0	ebf450e4-01df-4d15-82d0-ecb408278ed0;HCM 2988	walter de  Hurste, lessees of the church of lydeneye for five  years.	Walter de Hurste	lessee of Lydeneye church	PERSON	fellow lessees = Richard de Staure and John le Whyte			Principal|Clerical	Clerical			Principal			M
HCM 2988		Hereford	1354-07-10T00:00:00Z		8999e63c-8902-47ed-a166-a097380aa448			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 2990		Hereford	1325-06-02T00:00:00Z		fa77e028-758f-46bc-9403-c20ee01704ef	bbd1eced-69c7-427e-ab28-5e8b54e60d57	bbd1eced-69c7-427e-ab28-5e8b54e60d57;HCM 2990	William de Ros, archdeacon of Shropshire in the chureh of Hereford	William de Ross	archdeacon of Shropshire in the chureh of Hereford	PERSON	proctor (with John de la Pounde) of M. John de Orleton?			Principal|Clerical	Clerical			Principal			M
HCM 2990		Hereford	1325-06-02T00:00:00Z		00b02cd0-a1a3-44c7-819c-febf53c3ffa6	01ad425b-f560-4b05-952e-b91ee25cd430	01ad425b-f560-4b05-952e-b91ee25cd430;HCM 2990	John de la Pounde, proctors of magister John de Oe a	John de la Pounde	proctors of magister John de Oe a	PERSON	fellow proctor = William de Ross, archd of Shropshire|proctors of John de Ross			Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 2990		Hereford	1325-06-02T00:00:00Z		93bf1c85-83ad-42e4-86a0-0450062db584	7f5cfa85-c1e4-4d73-ae3d-ae2df1c89446	7f5cfa85-c1e4-4d73-ae3d-ae2df1c89446;HCM 2990	John de Oe	John de Ross		PERSON				Principal|Clerical	Clerical			Principal			M
HCM 2990		Hereford	1325-06-02T00:00:00Z		a35c376d-4259-4312-8c7f-c2ce95f60a62	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2990	Dean and chapter of the cathedral church of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2990		Hereford	1325-06-02T00:00:00Z		5a44b1ad-c22b-4c1f-bc59-bc12e8183434	084ba154-4071-4c66-94fd-8cb0b985a1a5	084ba154-4071-4c66-94fd-8cb0b985a1a5;HCM 2990	Adem Murymouth', proctor of the said dean and chapter.	Adam Murymuth	proctor of the said dean and chapter	PERSON				Agent|Clerical|Adjudicant	Agent|Clerical|Adjudicant						M
HCM 2990		Hereford	1325-06-02T00:00:00Z		8e8595b9-1150-4fc0-be42-2d5608aa24ed			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 2991		chapter-house at Hereford	1324-07-16T00:00:00Z		9b218c1e-5f6e-49b1-8023-6f1003d76b6f	9850a9a6-b051-4a73-9f96-314c750d1242	9850a9a6-b051-4a73-9f96-314c750d1242;HCM 2991	Stephen de Ledebur', dean of the church of Hereford, and the chapter of the same place	Stephen de Ledbury dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
[unknown]									dean and chapter of Hereford													
HCM 2991		chapter-house at Hereford	1324-07-16T00:00:00Z		a1983583-3a17-492b-8bc1-15229bf89254	ca66eefc-2188-4433-96b3-635728d502c7	ca66eefc-2188-4433-96b3-635728d502c7;HCM 2991	Thomas de Boleye, rector of the church of enor’ in the diocese of Hereford	Thomas de Boleye	rector of the church of enor’ in the diocese of Hereford	PERSON	appointed as proctor for D&C, with Walter Maddeleye			Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 2991		chapter-house at Hereford	1324-07-16T00:00:00Z		281a607e-d1a8-43f7-9795-84a2aac04132	eca7ea5f-6f53-44fe-bbd0-b056b51310ce	eca7ea5f-6f53-44fe-bbd0-b056b51310ce;HCM 2991	Walter de Maddeleye, clerks	Walter Cole de Maddeleye II	clerks	PERSON	appointed as proctor for D&C, with THomas de Boleye			Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 2991		chapter-house at Hereford	1324-07-16T00:00:00Z		34553c56-bdae-4acd-86a6-8778a7400166			chapter house at Hereford	chapter-house at Hereford		PLACE				Given at	Given at						
HCM 2992			1324-07-16T00:00:00Z		a30d1b02-dab6-4293-9e89-a265641375cf			DUPLICATE	DUPLICATE			how to handle these?										
HCM 2993		Hereford	1324-07-21T00:00:00Z		4ffc626e-9b3b-4483-b148-85c6b1043dd7	40f963c6-73b4-4c9a-ba1d-d3389516c3e7	40f963c6-73b4-4c9a-ba1d-d3389516c3e7;HCM 2993	Subdean of Hereford	subdean of Hereford	subdean of Hereford	PERSON				Principal|Clerical|Office	Clerical|	Office		Principal			M
HCM 2993		Hereford	1324-07-21T00:00:00Z		a95a79bc-b7a5-4a1b-a5c3-47e13afa9343	9c5c8de7-fdc9-475b-9bc2-3cee60204f10	9c5c8de7-fdc9-475b-9bc2-3cee60204f10;HCM 2993	Abbots of Dora	Richard Straddell	abbot of Dore	PERSON	Richard Straddell			Principal|Clerical|Office|Adjudicator	|ClericalAdjudicator	Office		Principal			M
HCM 2993		Hereford	1324-07-21T00:00:00Z		ee502921-2dac-416b-b83c-6962c5d31755	0fa1a81c-a076-4031-8ce8-9e6524b39d01	0fa1a81c-a076-4031-8ce8-9e6524b39d01;HCM 2993	Wygemore	abbot of Wigmore	abbot of Wigmore	PERSON				Principal|Clerical|Office|Adjudicator	|ClericalAdjudicator	Office		Principal			M
HCM 2993		Hereford	1324-07-21T00:00:00Z		cf8539b5-6d4c-4b4d-82bf-eaaeaef4eeb1	8e9c90fa-b52c-4adb-8101-02fc0936a830	8e9c90fa-b52c-4adb-8101-02fc0936a830;HCM 2993	prior of Wormesleye,	prior of Wormesleye	prior of Wormesleye	PERSON				Principal|Clerical|Office|Adjudicator	|ClericalAdjudicator	Office		Principal			M
HCM 2993		Hereford	1324-07-21T00:00:00Z		db6ec187-9423-4cfe-bb52-b6dd343317b7	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2993	dean and chapter of Hereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2993		Hereford	1324-07-21T00:00:00Z		7bcaaa6c-6a89-4a75-9619-32c94a6170ff	7f5cfa85-c1e4-4d73-ae3d-ae2df1c89446	7f5cfa85-c1e4-4d73-ae3d-ae2df1c89446;HCM 2993	John Ge Ros, canon of the church of Hereford, lately archdeacon of Shropshire	John de Ross	canon of the church of Hereford, lately archdeacon of Shropshire	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 2993		Hereford	1324-07-21T00:00:00Z		0fcf760f-5275-4746-b586-8f53bde8a41f			Hereford.	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		8523533f-8d06-4c70-8e94-709c2184e2cc	8523533f-8d06-4c70-8e94-709c2184e2cc	8523533f-8d06-4c70-8e94-709c2184e2cc;HCM 2994	— esneniae clerk of the diocese of London, et pe	Henry de Goldingham	et pe	PERSON	Henry de Goldingham, clerk of the diocese of London, Notary public			Clerical|Witness|Scribe	Clerical		Scribe		Witness		M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		69d6bbad-fc76-41a9-8535-b4aa71af0ebb	69d6bbad-fc76-41a9-8535-b4aa71af0ebb	69d6bbad-fc76-41a9-8535-b4aa71af0ebb;HCM 2994	Guiliclaws cardi:  iest of the title St. dec int ’	William de Testa	Guillelmus Testa cardinal-priest of St Ciriac	PERSON	Guillelmus, cardinal priest of the title of St Ciriac in termis			Principal|Clerical|Adjudicator	|Clerical|Adjudicator			Principal			M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		28623605-e0f0-48df-8bc0-d50edab19dee	7f5cfa85-c1e4-4d73-ae3d-ae2df1c89446	7f5cfa85-c1e4-4d73-ae3d-ae2df1c89446;HCM 2994	John de Ros, canon of Hereford, chaplain of the auditor of suits of the holy qeteee	John de Ross	canon of Hereford, chaplain of the auditor of suits of the holy qeteee	PERSON	chaplain of the pope and auditor of suits of the holy palace			Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		f476e3bd-e585-4f7f-a412-3d602f8541f9	84e0e206-bd83-4206-87e1-d7aa735cefd2	84e0e206-bd83-4206-87e1-d7aa735cefd2;HCM 2994	Henry de Schorne	Henry de Schorne		PERSON	proctor of D&C of H			Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		b9c18160-f2b7-401f-8da0-3efe946a90e2	1549f60d-ad15-4722-8b62-1d592ffa2f9e	1549f60d-ad15-4722-8b62-1d592ffa2f9e;HCM 2994	ichara de Sagan's canons of Hereford, proctors of the dean and chapter Nereford	Richard de Nonyngton	proctors of the dean and chapter Nereford	PERSON	Richard de Nonyngton', canons of H and proctor (wth H Schorne)			Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		3f36d293-8783-4918-aaae-cc571e81c699	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2	c5a27237-f2d1-40ec-976a-f21d8fbb4ff2;HCM 2994	dean and chapter Nereford	dean and chapter of Hereford	dean and chapter of Hereford	PERSON	D & C of Hereford			Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		8b200e1f-4b77-4adf-b733-c717ca47ef8b	ce859ac7-0532-43e2-9359-1f495b0beefb	ce859ac7-0532-43e2-9359-1f495b0beefb;HCM 2994	Adam, then bishop of Hereford	Adam de Orleton	then bishop of Hereford	PERSON				Principal|Clerical	Clerical			Principal			M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		760fd57a-977b-4111-9ca3-5f60b226be9f	8bfd4183-ae75-45a5-a469-ed6276915d4b	8bfd4183-ae75-45a5-a469-ed6276915d4b;HCM 2994	omas, late bishop of Hereford	Thomas de Cantilupe	late bishop of Hereford	PERSON				Dead|Clerical	Clerical					Dead	M
HCM 2994		— in the inn of the said cardinal	1319-04-30T00:00:00Z		02a50a01-c78a-4588-9cc9-73e286164604			— in the inn of the said cardinal	Avignon the inn of Guillelmus cardinal-priest		PLACE	Avignon in the inn of Cardinal Guillelmus			Given at	Given at						
