UUID	Document Number	Date	In Handlist	Common Name	QUOTE_TRANSCRIPTION	Lat	Lng	ANCHOR	TYPE	Place_Type	Person_Gender	TAGS	Role	Person_Named by	Person_Job	COMMENTS
7a0daa2b-370b-4e1b-a788-02cba2959ecb	HCM 1169	1316-07-24T00:00:00Z	0	the land formerly of William Ploume	the land formerly of William Ploume			char-offset:1184	PLACE	Property		Property				
24aac5ed-9d0b-4d5d-a0ea-d6ab6c93adf2	HCM 1169	1316-07-24T00:00:00Z	0	the land of Giles le deyare	the land of Giles le deyare			char-offset:914	PLACE	Property		Property				
9666eb73-c276-4e89-a328-837be0884e5c	HCM 1169	1316-07-24T00:00:00Z	0	the land of the said dominus Hugh	the land of the said dominus Hugh			char-offset:945	PLACE	Property		Property				Hugh de Brehousa
c054236f-c242-4a47-8ef3-e754a4d545aa	HCM 1169	1316-07-24T00:00:00Z	0	the land of John Pryde	the land of John Pryde			char-offset:1157	PLACE	Property		Property				
86d722ee-5004-4ef0-afb1-c4e08a71b927	HCM 1169	1316-07-24T00:00:00Z	0	the land of John Throm	the land of John Throm			char-offset:693	PLACE	Property		Property				
516fe95f-1d25-4a9a-91e1-22b3d087c331	HCM 1169	1316-07-24T00:00:00Z	0	the land of Reginald Syward	the land of Reginald Syward			char-offset:1239	PLACE	Property		Property				
1be0ee4b-979c-4220-9bb4-f436f76e062b	HCM 1169	1316-07-24T00:00:00Z	0	the land of the dean and chapter of Hereford	the land of the dean and chapter of Hereford			char-offset:1018	PLACE	Property		Property				
bba35354-2bd1-49d4-a605-836b6fc10604	HCM 1169	1316-07-24T00:00:00Z	0	the land of the prebend of Gorewalle	the land of the prebend of Gorewalle			char-offset:546	PLACE	Property		Property				
f343e306-5190-4cc0-b3ea-368ddae97c76	HCM 1169	1316-07-24T00:00:00Z	0	the land of Thomas Theobaud	the land of Thomas Theobaud			char-offset:840	PLACE	Property		Property				
d10545aa-91f2-4597-8f19-956710e2500e	HCM 1169	1316-07-24T00:00:00Z	0	the land which belonged to John Lylie	the land which belonged to John Lylie			char-offset:489	PLACE	Property		Property				
e5dc6d38-4d72-48ba-98c8-c17cf62324e7	HCM 1169	1316-07-24T00:00:00Z	0	the land which belonged to Thomas Theobaud	the land which belonged to Thomas Theobaud			char-offset:646	PLACE	Property		Property				
462e93af-2f63-43bf-896a-2bebae58aad2	HCM 1169	1316-07-24T00:00:00Z	0	the land which belonged to William Ploume	the land which belonged to William Ploume			char-offset:443	PLACE	Property		Property				
61b445ac-f70c-493c-9aec-5550d0851341	HCM 1169	1316-07-24T00:00:00Z	0	the monastery of Lanthon' Prima of the diocese of St. Davids	the monastery of Lanthon' Prima of the diocese of St. Davids			char-offset:63	PLACE	Building		Building				
4cb5cdc4-b24a-4be3-baaf-a0cb5bebbad6	HCM 1169	1316-07-24T00:00:00Z	0	the pasture of the bishop of Hereford	the pasture of the bishop of Hereford			char-offset:586	PLACE	Property		Property				
d5a1c0aa-4c67-4cff-98eb-ac208da30c8f	HCM 1169	1316-07-24T00:00:00Z	0	the pasture of the bishops two acres lay in Gaerlecroft	the pasture of the bishops two acres lay in Gaerlecroft			char-offset:775	PLACE	Property		Property				
54be13cc-3609-40cf-94d1-708e1b9587ce	HCM 119	1308-10-22T00:00:00Z	0	Adam de Colewalle	Adam de Colewalle			char-offset:657	PERSON			Witness	Witness			
8aff2a55-7a36-47a3-9070-f0c34eaeb29f	HCM 119	1308-10-22T00:00:00Z	0	Richard Maniword	bailiff			char-offset:532	PERSON			Office		Office		
a7b895e2-ec41-492e-afa0-6c7c3447509a	HCM 119	1308-10-22T00:00:00Z	0	John de Ledeburi	baker			char-offset:614	PERSON			Office		Office		
6d324a33-9ff3-4fd0-93e5-274d395b3367	HCM 119	1308-10-22T00:00:00Z	0	Gilbert Blod	Gilbert Blod			char-offset:552	PERSON			Witness	Witness			
ec3a930c-1f25-471e-936d-ebc573d202cf	HCM 119	1308-10-22T00:00:00Z	0	Hereford	Hereford	52.05598	-2.71755	char-offset:487	PLACE			Given at	Given at			
c1b7b832-df4b-4720-9110-bebe9a10a84c	HCM 119	1308-10-22T00:00:00Z	0	Hungr	Hungr			char-offset:199	PLACE	Street		Street				
26f0c8d8-8919-4907-b15c-5ee1436a12dc	HCM 119	1308-10-22T00:00:00Z	0	John de Ledeburi	John de Ledeburi			char-offset:596	PERSON			Witness	Witness		baker	
2e6fd91a-d3a1-4905-b61e-2efe1a84b4c6	HCM 119	1308-10-22T00:00:00Z	0	John le Bole	John le Bole			char-offset:676	PERSON			Scribe				
19c326c6-7d47-4079-b47c-c6c8052b8a87	HCM 119	1308-10-22T00:00:00Z	0	John Page	John Page			char-offset:566	PERSON			Witness	Witness			
bc68032b-5c4e-4ebe-ad3a-dabb1665abee	HCM 119	1308-10-22T00:00:00Z	0	land of John le Worrour	land of John le Worrour			char-offset:254	PLACE			Property				
46fb17e0-b449-4cf0-a11e-7a4c53b48f78	HCM 119	1308-10-22T00:00:00Z	0	land of the said Hugh	land of the said Hugh			char-offset:224	PLACE			Property				
83561afa-2953-480e-a63e-9c00280f994e	HCM 119	1308-10-22T00:00:00Z	0	Nicholas de Werham	Nicholas be Werham			char-offset:637	PERSON			Witness	Witness			
5b806abb-0d24-44a7-b708-4b62d9a33492	HCM 119	1308-10-22T00:00:00Z	0	Peter Doieward	Peter Doieward			char-offset:621	PERSON			Witness	Witness			
2f8e734b-d1dd-4cac-927a-bd067e500fae	HCM 119	1308-10-22T00:00:00Z	0	Richard Ithenhaye	Richard Ithenhaye			char-offset:577	PERSON			Witness	Witness			
340460df-6187-47e3-a3e1-27085d3e3043	HCM 119	1308-10-22T00:00:00Z	0	Richard Monyword	Richard Moniword			char-offset:508	PERSON			Witness	Witness		bailiff	
de815775-5a0f-4ddd-8408-4273bbd72fa1	HCM 1247	1315-08-11T00:00:00Z	0	Alice de la Halle	Alice			char-offset:167	PERSON			Principal				Alice = Alice de la Halle
eae85aaa-1340-4171-8614-7ff11c6d9b68	HCM 1247	1315-08-11T00:00:00Z	0	Colcham	Colcham			char-offset:269	PLACE	Property		Property				
fcc698c7-f47c-429f-8f06-1c6367911939	HCM 1247	1315-08-11T00:00:00Z	0	de le Halle	de le Halle			char-offset:139	PLACE			Nominative	Nominative			
72d195c2-4112-4b7c-a384-bc38d3a703b8	HCM 1247	1315-08-11T00:00:00Z	0	Hampton Bishop, Herefordshire	Homptone	51.83396	-2.61134	char-offset:450	PLACE			Given at	Given at			
18ba66d3-799e-486c-907e-021dff9f20d1	HCM 1247	1315-08-11T00:00:00Z	0	Hampton Bishop, Herefordshire	Homptone	51.83396	-2.61134	char-offset:233	PLACE	Landmark		Landmark				
cce947a1-3282-479d-820d-1aec56619643	HCM 1247	1315-08-11T00:00:00Z	0	Hampton Bishop, Herefordshire	Homptone	51.83396	-2.61134	char-offset:120	PLACE			Nominative	Nominative			
1f91876c-91a7-414c-b651-4d497cc78fd3	HCM 1247	1315-08-11T00:00:00Z	0	John de Homptone	John de Homptone			char-offset:112	PERSON			Dead				
2df6e906-e53d-46ba-b64f-371e9059a043	HCM 1247	1315-08-11T00:00:00Z	0	John de Homptone	John de Homptone			char-offset:489	PERSON			Witness	Witness			
4218eb6c-3040-4800-8464-7c4769edad37	HCM 1247	1315-08-11T00:00:00Z	0	la Felde	la Felde			char-offset:536	PLACE			Nominative	Nominative			
dcaf2b8b-eafc-49c3-8e1e-148a044063ff	HCM 1247	1315-08-11T00:00:00Z	0	le Hale	le Halle			char-offset:142	PLACE			Nominative	Nominative			
b8d9c328-b315-44ed-b92f-6c2912524bd3	HCM 1247	1315-08-11T00:00:00Z	0	Nicholes de la Felde	Nicholes de la Felde			char-offset:524	PERSON			Witness	Witness			
6e05a448-af0b-4e64-911b-8272a14aeae8	HCM 1247	1315-08-11T00:00:00Z	0	Richard Haliday	Richard Haliday			char-offset:507	PERSON			Witness	Witness			
d310f8fa-8f10-4608-aaed-0b953a5ba415	HCM 1247	1315-08-11T00:00:00Z	0	Richard Thurgrym	Richard Thorgrim			char-offset:471	PERSON			Witness	Witness			
0c14c2dd-26a3-455b-b31f-472be8325ff7	HCM 1247	1315-08-11T00:00:00Z	0	River Wye	Wye			char-offset:436	PLACE	Landmark		Landmark				it's a river
cc970a2d-6ba3-4fcb-8b2b-901d328034f8	HCM 1247	1315-08-11T00:00:00Z	0	Roger de la Felde	Roger			char-offset:546	PERSON			Scribe	Witness			Roger = Roger de la Felde
a254e72a-a880-4190-8a6a-a47c85d23fa0	HCM 1247	1315-08-11T00:00:00Z	0	Roger de le Halle	Roger de le Halle			char-offset:133	PERSON			Principal				
74440c10-fb71-4116-80fe-da7c95a2d915	HCM 1247	1315-08-11T00:00:00Z	0	Thomas son of John de Homptone	Thomas son of John de Homptone			char-offset:98	PERSON			Principal				Thomas de Homptone?
015fbe37-04c6-4894-999c-880a94cfc93c	HCM 1264	1306-05-10T00:00:00Z	0	Henry le Yonge (jr.)	Henry			char-offset:93	PERSON			Principal				Henry (le Yonge, Jr)? [son of Henry le Yonge]
b60e4fcf-f4c1-44a4-ad4e-a4ee6b71e30c	HCM 1264	1306-05-10T00:00:00Z	0	Henry le Yonge (sr.)	Henry le Yonge			char-offset:284	PERSON			Dead				is this Henry Jr or Henry le Yonge senior? presuming latter
a21ed4a8-6d1f-49d6-99f4-ba288b99e5b8	HCM 1264	1306-05-10T00:00:00Z	0	Henry le Yonge	Henry le Yonge			char-offset:107	PERSON			Dead				
8c465afa-f082-4787-af0f-4f219df05e78	HCM 1264	1306-05-10T00:00:00Z	0	Hereford	Hereford	52.05598	-2.71755	char-offset:309	PLACE			Given at	Given at			
23b1e82f-8248-4f85-a051-1206fee38785	HCM 1264	1306-05-10T00:00:00Z	0	Hereford	Hereford.	52.05598	-2.71755	char-offset:198	PLACE			Nominative	Nominative			
084b88b4-baa9-48dd-bec4-2f287c5217e4	HCM 1264	1306-05-10T00:00:00Z	0	Hoggesshawe	Hoggesshawe			char-offset:372	PLACE			Nominative	Nominative			
64a0e84d-1e45-4822-a73d-6c5487f0d841	HCM 1264	1306-05-10T00:00:00Z	0	Hugh de Lanton	Hugh de Lanton			char-offset:330	PERSON			Witness	Witness			
9d7935f5-34ee-4baf-8b3e-b9bb8dd7e003	HCM 1264	1306-05-10T00:00:00Z	0	John de la Barewe	John de la Barewe			char-offset:424	PERSON			Witness	Witness			
2996be67-680b-41ec-946e-5e282329ff76	HCM 1264	1306-05-10T00:00:00Z	0	John de Logwardyn	John de Logwardyn			char-offset:385	PERSON			Witness	Witness			
17b10e3d-7100-4f5d-8d23-f843293c9cd9	HCM 1264	1306-05-10T00:00:00Z	0	John de Wythynton	John de Wythynton			char-offset:404	PERSON			Witness	Witness			
7f867162-3717-4ca9-afc6-1d04c2f83529	HCM 1264	1306-05-10T00:00:00Z	0	John le Bole	John le Bole			char-offset:443	PERSON			Scribe	Witness			
1878d0ba-d228-4812-9a0b-4616ec0b2c71	HCM 1264	1306-05-10T00:00:00Z	0	la Barewe	la Barewe			char-offset:432	PLACE			Nominative	Nominative			
94fa18a2-2576-42b7-a3b2-ea8350216b27	HCM 1264	1306-05-10T00:00:00Z	0	Llanthony Priory, Wales	Lanton	51.94444	-3.03778	char-offset:338	PLACE			Nominative	Nominative			
127ace20-b457-4fd6-a62b-bc8ef3248644	HCM 1264	1306-05-10T00:00:00Z	0	Lugwardine, Herefordshire	Logwardyn	52.06669	-2.66344	char-offset:393	PLACE			Nominative	Nominative			
9d9eeeac-3388-48d3-b0e1-821db0082e4a	HCM 1264	1306-05-10T00:00:00Z	0	Canon Pyon, Herefordshire	Pyon' Canonicorum	52.13771	-2.80336	char-offset:240	PLACE	Landmark		Landmark				
39f1dba4-4a30-4eb2-80ff-4a0e05991055	HCM 1264	1306-05-10T00:00:00Z	0	Canon Pyon, Herefordshire	Pyon’ Canonicorum	52.13771	-2.80336	char-offset:125	PLACE			Nominative	Nominative			
9cee5198-c90a-4a6b-a6a3-dfb7e234cc61	HCM 1264	1306-05-10T00:00:00Z	0	Richard de Hoggesshawe	RIchard de Hoggesshawe			char-offset:361	PERSON			Witness	Witness			
157fc161-ce79-473d-97d3-900bb69c0693	HCM 1264	1306-05-10T00:00:00Z	0	Robert Boter	Robert Boter			char-offset:347	PERSON			Witness	Witness			
76bc95bd-d17d-440b-a913-5b71446a6b1f	HCM 1264	1306-05-10T00:00:00Z	0	dean and chapter of Hereford	Dean and chapter of the church of St. Ethelbert of Hereford			char-offset:147	PERSON			Collective|Principal	Principal	Collective		
5ac0bc40-206e-4f84-a9a6-038182803c24	HCM 1264	1306-05-10T00:00:00Z	0	Wythynton	Wythynton			char-offset:412	PLACE			Nominative	Nominative			
4753c0b1-5f0d-4a35-9102-1f24d3b4728c	HCM 1265	1306-05-10T00:00:00Z	0	dean and chapter of Hereford	Dean and chapter of the church of St. Etherbert of Hereford			char-offset:147	PERSON			Collective|Principal	Principal	Collective		
6d4afc38-ba26-4d19-9a22-5ccf50aa9219	HCM 1265	1306-05-10T00:00:00Z	0	Henry le Yonge (sr.)	Henry			char-offset:93	PERSON			Principal				Henry le Yonge? [i.e. Henry, son of Henry le Yonge]
7cfe3e8c-a230-412d-998f-bf743e86ed6e	HCM 1265	1306-05-10T00:00:00Z	0	Henry le Yonge	Henry le Yonge			char-offset:107	PERSON			Dead				
a4540191-07f1-4859-8b4a-df8d3a96beea	HCM 1265	1306-05-10T00:00:00Z	0	Hereford	Hereford	52.05598	-2.71755	char-offset:308	PLACE			Given at	Given at			
437350b0-29b8-44d2-9232-00f3a4b770fe	HCM 1265	1306-05-10T00:00:00Z	0	Hoggesshawe	Hoggesshawe,			char-offset:441	PLACE			Nominative	Nominative			
4b8f8ce1-d625-4315-9b9a-ea946bf5bcb4	HCM 1265	1306-05-10T00:00:00Z	0	Hugh de Lanton	Hugh de Lanton			char-offset:399	PERSON			Witness	Witness			
1011a6e8-c3d4-4d5f-a5a8-8f930c4273cf	HCM 1265	1306-05-10T00:00:00Z	0	John le Bole	John le Bole			char-offset:494	PERSON			Scribe	Witness			
51a87ace-416e-4d29-bcb3-72f31a107c30	HCM 1265	1306-05-10T00:00:00Z	0	la Barewe	la Barewe			char-offset:337	PLACE			Nominative	Nominative			
d5511625-037e-4350-b30e-ab4976258df3	HCM 1265	1306-05-10T00:00:00Z	0	Llanthony Priory, Wales	Lanton'	51.94444	-3.03778	char-offset:407	PLACE			Nominative	Nominative			
22c04b6f-6444-486e-a664-baaea5ecd6c5	HCM 1265	1306-05-10T00:00:00Z	0	Logwardyn	Logwardyn',			char-offset:462	PLACE			Nominative	Nominative			
26de1792-66c7-45e4-b749-b3cac5905d11	HCM 1265	1306-05-10T00:00:00Z	0	Richard de Hoggesshawe	Richard de Hoggesshawe			char-offset:430	PERSON			Witness	Witness			
61e10c28-a30b-43df-a7ea-f19be17e8df4	HCM 1265	1306-05-10T00:00:00Z	0	Robert Boter	Robert Boter			char-offset:416	PERSON			Witness	Witness			
3d6ee012-ceac-4d7b-adfa-0bfec3c21886	HCM 1265	1306-05-10T00:00:00Z	0	dean and chapter of Hereford	the dean and chapter of Hereford			char-offset:365	PERSON			Collective		Collective		
e7546925-a1e3-4585-a74c-162e917febb3	HCM 1265	1306-05-10T00:00:00Z	0	Wythynton	Wythynton'			char-offset:482	PLACE			Nominative	Nominative			
380436f8-5733-417a-862a-353c5d6b703a	HCM 1281	1306-05-10T00:00:00Z	0	Bole	Bole	53.37465	-0.81170	char-offset:455	PLACE			Nominative	Nominative			
9c8ebddd-4e01-4aad-9c22-e8ffdd2c42a4	HCM 1281	1306-05-10T00:00:00Z	0	Eleanor le Yonge	Eleanor			char-offset:93	PERSON			Principal				Eleanor le Young?
995f229b-c4c6-4a2a-82b5-9ea85780209d	HCM 1281	1306-05-10T00:00:00Z	0	Henry le Yonge	Henry le Yonge			char-offset:111	PERSON			Dead				
45e10cdb-3e47-4934-9601-e7d96e92c702	HCM 1281	1306-05-10T00:00:00Z	0	Hereford	Hereford	52.05598	-2.71755	char-offset:313	PLACE			Given at	Given at			
bd5b19c9-4a22-4d07-bc93-9144f117f882	HCM 1281	1306-05-10T00:00:00Z	0	Hoggesshawe	Hoggesshawe			char-offset:376	PLACE			Nominative	Nominative			
1fa01776-62bd-48f7-9f61-7dd242e39077	HCM 1281	1306-05-10T00:00:00Z	0	Hugh de Lanton	Hugh de Lanton			char-offset:334	PERSON			Witness	Witness			
