Doc Number,Alt Numbering,Normalized text,Person ID,QUOTE_TRANSCRIPTION,UUID,Supplemental naming,COMMENTS,Principal|Office,Unhandled Tags 2,Clerical?,Patronymic?,Named by,Scribe,Principal,Witness,Dead,Gender
HCM 1581,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,cc85d3f8-589d-47aa-a90c-678d1ffdd5ff,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1583,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,d6a50165-edb6-4592-9de0-a77754d7fbed,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1600,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,4ddd1345-eed0-4982-bbd3-d3e403b8ba2a,,,Principal|Collective|Clerical,,,,Collective,,Principal,,,
HCM 1610,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,3082bd39-6c1b-4cf7-83a9-c11d8759e7f1,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1611,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,bd8a5c41-4240-44cd-900a-87e1144ed4aa,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1613,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,961b7c00-6ca7-45d9-b38a-81f3c2be8b64,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1622,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,194cebc2-34e9-4cef-b669-d1416b8f706c,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1623,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,e6b0729c-5d62-46f5-8e4b-9277b8e81107,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,
HCM 1624,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,502345c9-f89f-43fe-ba5f-1ea866da5b48,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1645,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,47b5ad05-6f00-49fa-a179-4380ddd5d0cc,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1646,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,f5dad82e-4f99-49e1-a36b-8fd17802f0ae,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1647,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,64dce7b7-d9ac-48d0-b659-c2b0277d399a,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,
HCM 1652,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,226ef761-95b3-4b0b-a491-e0c9f08ff4a8,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1653,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,2e107f39-2226-48bd-a24f-914fae435fd8,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1654,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,4e4a470b-6877-4e75-87b7-bae836111073,,,Principal|Clerical|Collective,,,,,,,,,
HCM 1654,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,"The monks of St. Peter's, Gloucester",beab268f-e968-4153-bf31-d48e0865be2f,,"John de Gamages, 1284-1306; Reginald de Homme, 1263-84",Principal|Collective|Clerical,,TRUE,,Collective,,Principal,,,M
HCM 1657,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,ac86fe44-71a2-4c83-959a-16e34cc09d10,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1658,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,02374b5b-9a57-432e-bc50-44a2bb2e2416,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1667,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,a5eb1663-b864-47d8-ac6d-8d0f1703f7c2,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1670,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,cabc5d56-1684-4c1d-99a1-b491c7960619,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1679,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,c4d45366-a033-4921-bf4d-6e9a6dd9d897,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1681,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,ce587e0d-8754-45a0-851f-a9942d999b02,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1683,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,6895144b-9f9c-4b38-8607-d97b09085461,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1684,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,d615b710-7dd2-4852-a6ef-16e2791470af,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1685,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,b7202877-684b-4219-8b86-280c16a6da24,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1686,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,86637661-969b-4e38-a743-a1a286d26aaf,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1687,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,8e3c49fd-d8a9-4b10-bb69-2e806092ec3c,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1689,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,c89b9166-269c-4e85-9eff-3e4c3ea14ba5,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1690,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,409d562d-ca7e-457d-a67a-fbe0aadbdf15,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1746,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,4bccd71c-4953-4f01-8172-bea37a483a28,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1826,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,"monastery of St. Peter's, Gloucester,",7153bfae-651d-4ef6-9f08-098ed0ec77ad,,,Collective|Clerical,,TRUE,,Collective,,,,,M
HCM 1855,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,5cc12c1f-5a5d-4155-be1a-8e4b69bbe8ca,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1862,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,79d47a5c-66dc-4abb-8f13-bfe95221ec52,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1863,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,199dbcd3-88b7-4668-a0e3-882b2a4ea685,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1876,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,e50b679b-9247-4cd0-815a-9da779e2b6fb,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1881,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,13ac9eee-d264-40f5-a47a-80584a7c1526,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1885,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,ad2daf86-afc7-47b7-9c56-a66f53f78ae2,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1887,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,acb54f6f-a986-4d54-a56b-7676ac6b0e8b,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1898,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,104148d5-8ab5-4f18-8fff-08f6102f5547,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 217,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,e8d1a2d8-342d-45c2-9a29-27cc25085dcd,,,Principal|Clerical|Collective,,,,Collective,,,,,
HCM 2183,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,abbot and convent of St. Peter of Gloucester.,d14ce4fe-bf7d-43c3-aae0-5ed9352f7b31,,"John de Gamages, 1284-1306; Reginald de Homme, 1263-84",Lease-holder|Clerical|Collective,Lease-holder,TRUE,,Collective,,,,,M
HCM 2215,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,7c20bd11-c954-4259-b2c4-b514a25ec379,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2217,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,902181ae-e83b-439e-b189-1ee6a86d38ae,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2219,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,b279c3c7-ac03-4db4-bf55-87a65a11bb07,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2222,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,792e910f-3013-48b1-ba2c-e7e2c28f8f40,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2658,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,77448a66-48ad-42ee-84f4-da74f1e2288f,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2819,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,802067af-9ca3-446d-9d78-a70c94c33ce1,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2819-em1,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,b20c6f46-9da3-4994-b4f7-6f2b84f43070,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2926,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,30a7f291-7a98-418c-ad42-5d27ae510a65,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2926-em,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,dc89cb50-f188-47ef-9141-64b878013a67,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 3208,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,a5ba41cb-42c8-4e4c-bb39-4a1003a78c89,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
RBLR 3405,,abbot and convent of Tewkesbury,3d47e488-9204-4381-8c2f-bb68fa725338,Tewkesbury,3d47e488-9204-4381-8c2f-bb68fa725338,,abbot & convent,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
HCM 1368,,abbot and convent of Wigmore,ed6cc7bc-6751-42e5-aa1d-5a402f93c3b9,"abbot and convent of Wigmore, collectors of the tenth",ed6cc7bc-6751-42e5-aa1d-5a402f93c3b9,collectors of the tenth,,Principal|Clerical|Agent|Collective,Agent,TRUE,,Collective,,Principal,,,M
HCM 1369,,abbot and convent of Wigmore,ed6cc7bc-6751-42e5-aa1d-5a402f93c3b9,abbot and convent of Wigmore,23040fc5-c244-479a-bebc-7873af3b6b25,,,Principal|Collective|Clerical,,TRUE,,Collective,,Principal,,,M
HCM 2091,,abbot and convent of Wigmore,ed6cc7bc-6751-42e5-aa1d-5a402f93c3b9,"abbot and convent of St, James of Wygemor in the diocese of Hereford",d6f37714-fd5f-43e5-aaaa-71f47597b8cc,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
HCM 2092,,abbot and convent of Wigmore,ed6cc7bc-6751-42e5-aa1d-5a402f93c3b9,abbet and convent of weer,81e6b667-931e-4a04-b716-e9f463817e2b,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
HCM 2093,,abbot and convent of Wigmore,ed6cc7bc-6751-42e5-aa1d-5a402f93c3b9,abbot and convent of the monastery of St. James of Wiggemore in the diocese of Hereford,a955c4a3-64ed-4646-bf98-71f157dbbb3b,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
RBLR 3405,,abbot and convent of Winchcombe,7c5a9781-9803-4e8b-9ee1-520cd7699c05,Winchcomb,7c5a9781-9803-4e8b-9ee1-520cd7699c05,,"Richard of Idbury, 1315?; William de Schyrebourn installed 1340",Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
HCM 2838,,abbot of Keynsham,2b08e30f-644a-4f79-8873-eb6b736cc024,Kynusham,2b08e30f-644a-4f79-8873-eb6b736cc024,,Somerset,Clerical|Office|Principal,,TRUE,,Office,,Principal,,,M
HCM 1416,,abbot of Osney,dd6e03d3-4341-49c5-97dd-9b1c8bc6ad60,"Abbot of Oseneye,",dd6e03d3-4341-49c5-97dd-9b1c8bc6ad60,,adjudicant instead of agent?,Principal|Clerical|Office|Adjudicant,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 2838,,abbot of Osney,dd6e03d3-4341-49c5-97dd-9b1c8bc6ad60,abbots of the monasteries of Oseneye,55606b96-5683-4694-8894-8083cc6f34aa,,,Clerical|Office|Principal,,TRUE,,Office,,Principal,,,M
HCM 2129,,abbot of Seez,9d678767-1ca4-416c-a5a5-04bea8be99da,abbot of Seez,9d678767-1ca4-416c-a5a5-04bea8be99da,,,Clerical|Adjudicant|Office,Adjudicant,TRUE,,Office,,,,,M
HCM 2130,,abbot of Seez,9d678767-1ca4-416c-a5a5-04bea8be99da,abbot of the monastery of St. Martin | of Seez,72ef565f-2140-4257-bc79-1ed7de102e9f,,,Principal|Clerical|Office,,TRUE,,Office,,Principal,,,M
RBLR 1903,,abbot of St Augustine's Bristol,bd4529f6-fbe1-4845-a9dd-ae3de2703e5e,"abbot of St. Augustine's, Bristol",bd4529f6-fbe1-4845-a9dd-ae3de2703e5e,,"Edmund Knowle, abbot 1306?",Principal|Clerical|Office,,TRUE,,Office,,Principal,,,M
HCM 1601,,abbot of St Peter's Gloucester's villeins,a95f86bb-f77f-4d73-93c0-7d68d939aebb,"villeins of the abbot of St. Peter's, Gloucester",a95f86bb-f77f-4d73-93c0-7d68d939aebb,Gloucester,,Neighbor|Collective,Neighbor,,,Collective,,,,,M
HCM 1809,,abbot of Strat Marhel,464e1026-122e-4da8-9876-d954ef685196,sbbot of strat Marbe,464e1026-122e-4da8-9876-d954ef685196,,,Principal|Clerical|Office,,TRUE,,Office,,Principal,,,M
HCM 2710,,abbot of Tintern,52985aa0-1c97-42b0-bb5d-bbf6cae2bbe5,abbot of Tynterne,52985aa0-1c97-42b0-bb5d-bbf6cae2bbe5,,,Principal|Clerical|Office,,TRUE,,Office,,Principal,,,M
RBLR 4807,,abbot of Waverlegh,ce4f7b0b-b542-4a51-9344-41e515dc016c,abbe de Waverlegh,ce4f7b0b-b542-4a51-9344-41e515dc016c,,Abbey of Waverly? or abbot of Waverly?,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
HCM 1175,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,of Wigemor',0fa1a81c-a076-4031-8ce8-9e6524b39d01,,,Agent|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,,,,M
HCM 1809,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of wy conores,077575c6-079e-4cff-a9e7-a344feabe88f,,,Clerical|Office|Agent,Agent,TRUE,,Office,,,,,M
HCM 1822,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of Wigmore,99eb92e7-1be2-42f8-b5d4-521e4b66a0d0,,agent or adjudicant?,Principal|Clerical|Office|Adjudicant,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 2593,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,"Abbot of Wygemore, collector of the fifteenth",25843db3-0480-4fd7-9358-bb1090d0c249,collector of the fifteenth,,Principal|Clerical|Office|Agent,Agent,TRUE,,Office,,Principal,,,M
HCM 2605,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,"Abbot of Wygemor', collector",49163f6b-e029-4987-9e82-5d9eeba96af3,,collector of the tenth,Principal|Clerical|Office|Agent,Agent,TRUE,,Office,,Principal,,,M
HCM 2606,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,"Abbot of Wigemor', collector",90add5e5-fdc7-4f91-bf23-ed7a0552046c,,collector of tenth granted by John XXII,Principal|Agent|Clerical|Office,Agent,TRUE,,Office,,Principal,,,M
HCM 2683,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,"Abbot of Wygemor', coilector",56478df8-7b51-4d75-86dd-8b12b2a026c2,,,Principal|Clerical|Office|Agent,Agent,TRUE,,Office,,Principal,,,M
HCM 2728,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,"Abbot of #ygemor', appointed collector",d848524d-a3ca-416c-9c27-26a6fc5e83a5,,,Principal|Clerical|Agent|Office,Agent,TRUE,,Office,,Principal,,,M
HCM 2838,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,"Wygemore,",5f435e82-1a3d-4486-b1cf-47cb7ec1f505,,,Office|Clerical|Principal,,TRUE,,Office,,Principal,,,M
HCM 2993,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,Wygemore,ee502921-2dac-416b-b83c-6962c5d31755,,,Principal|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 2997,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of “yzemore,3bdd6fa1-39eb-44e4-af02-6e6b96112b50,,abbot of Wigmore,Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,,,,M
HCM 3002,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of Wygemor',e7b8c889-4540-450c-9a53-29abf41257fe,,,Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,,,,M
HCM 3003,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,Wygemore,1c23e613-7a3c-4187-ad4c-3a25058f2cc9,,,Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,,,,M
HCM 3003-em,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,Wygemore,57639dd7-3833-4258-909e-33c76aa54c22,,,Principal|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 3005a,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,Wygemore,8447b5c7-c841-4b30-80c8-a40b7da37955,,,Principal|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 3005b,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,#ygemore,47a1e164-cb44-46a5-bacc-9938d9cc185e,,,Principal|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 3005c,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,Wygemore,eb97f423-4664-4d8c-9e00-525dfeb6764c,,duplicate of HCM 2993,Principal|Clerical|Office|Adjudicator,,,,,,,,,
HCM 3005e,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of wycemor',8b1b201d-a46a-48bb-bfce-dad5ac49000f,,,Principal|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 3010,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of wygemore,eb9e828f-b182-4d6b-a626-534e33c7baf6,,,Principal|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,Principal,,,M
HCM 3012,,abbot of Wigmore,0fa1a81c-a076-4031-8ce8-9e6524b39d01,abbot of wWyggemor’,6de168cd-bc7e-4f8b-9c7f-3f83c3521cf1,,,Principal|Clerical|Office|Adjudicator,Adjudicant,TRUE,,Office,,Principal,,,M
