Number,Alternate Numbering,General Doc Type,C&E Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 2072,HCM 2072,ACKNOLWEDGEMENT,ACKNOWLEDGEMENT,"Hereford Cathedral, Chapter House",Documented,1317-06-04T00:00:00Z,,"1317,  June 4.",,chapter-house of Hereford,,"1317, June 4., ACKNOWLEDGEMENT"
RBLR 2102,RBLR 2102,ACKNOLWEDGEMENT,ACKNOWLEDGEMENT,"London, Westminster, Royal Treasury",Documented,1321-02-18T00:00:00Z,,1321.2.18,,Westminster,(RB not named in doc but as AO's treasuer it's his job to file)|Project RBLR Completion,"1321.2.18, Acknowledgment"
HCM 1116,HCM 1116,ACKNOLWEDGEMENT,ACKNOWLEDGEMENT,"Hereford Castle, Herefordshire",Documented,1346-12-16T00:00:00Z,,"1346,  Saturday next before the Feast of Saint Thomas the Apostle | December 16]",,the cestle of Hereford.,,"1346, Saturday next before the Feast of Saint Thomas the Apostle | December 16], ACKNOWLEDGEMENT"
HCM 2092,HCM 2092,ACTA,ACTA,"Hereford, Herefordshire",Suggested,1303-12-18T00:00:00Z,,"1303,  Wwedne next after the Feast ,   of St,  iucta the Virgin {December 18].",,,act before Official of Hereford,"1303, Wwedne next after the Feast ,  of St, iucta the Virgin {December 18]., ACTA"
HCM 2093,HCM 2093,ACTA,ACTA,"Hereford, Herefordshire",Documented,1317-03-01T00:00:00Z,,1317/8 Wednesday the Feast of St. David [March 1].,,Hereford,,"1317/8 Wednesday the Feast of St. David [March 1]., ACTA"
RBLR 3204-em1,RBLR 3204-em1,ACTA,ACTA,"Suckley, Worcestershire, St John the Baptist's church",Documented,1332-07-09T00:00:00Z,,Thursday after St. Thomas [i.e. 9 July],,Suckley (Sukkelegh) parish church,"(embedded doc 1), (embedded doc 1)|1332 July 9","Acta, Thursday after St. Thomas [i.e. 9 July]"
HCM 420,HCM 420,AGREEMENT,AGREEMENT,"Pitchcombe, Gloucestershire",Documented,1299-02-01T00:00:00Z,,"1298/9,  the eve of the Purification of the Blessed Mary . February 1]",,Pychenecoumbe,,"1298/9, the eve of the Purification of the Blessed Mary . February 1], AGREEMENT,"
HCM 624,HCM 624,AGREEMENT,AGREEMENT,"St Briavels, Gloucestershire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century,early 14th century,,land & rights in St B's (esp re chapel); castle nearby but no mention in doc,"Early 14th century, AGREEMENT"
HCM 421,HCM 421,AGREEMENT,AGREEMENT,"Pitchcombe, Gloucestershire",Documented,1300-04-18T00:00:00Z,,"1300,  Monday next before the feast of St. ,   George the Martyr | April 18]",,Pychenecoumbe,,"1300, Monday next before the feast of St. ,  George the Martyr | April 18], AGREEMENT,"
HCM 532,HCM 532,AGREEMENT,AGREEMENT,"Clopley, Sevenhampton, Gloucestershire",Suggested,1302-09-29T00:00:00Z,,"1302,  Michaelmas | September 29",,,,"1302, Michaelmas | September 29, AGREEMENT,"
HCM 661,HCM 661,AGREEMENT,AGREEMENT,Hereford Cathedral,Documented,1306-03-19T00:00:00Z,,"1305/6,  Saturday next after the Feast of St. Gregory the Pope [March 19].",,cathedral church of Hereford,,"1305/6, Saturday next after the Feast of St. Gregory the Pope [March 19]., AGREEMENT"
HCM 609,HCM 609,AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Documented,1308-01-20T00:00:00Z,,"1307/8,  Saturday next before the Feast of the Conversion of St. Paul [January 20]",,Hereford,,"1307/8, Saturday next before the Feast of the Conversion of St. Paul [January 20], AGREEMENT"
HCM 623,HCM 623,AGREEMENT,AGREEMENT,"Llandaff Castle, Cardiff, Wales",Documented,1309-12-03T00:00:00Z,,"1309,  3 Nones of December [December 3]",,Lank' and Landaff,Llandaff = Lladaff Castle? Llandaff Catherdral?,"1309, 3 Nones of December [December 3], AGREEMENT"
HCM 1485,HCM 1485,AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Suggested,1314-01-01T00:00:00Z,1314-12-31T00:00:00Z,[circa 1314].,circa 1314,Hereford,people of & property at Hereford,"[circa 1314]., AGREEMENT"
RBLR 1402,"RBLR 1402, HCM 13",AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Documented,1314-06-01T00:00:00Z,,1314.6.1,,Hereford,HCM 13|MISSING,"1314.6.1, AGREEMENT"
RBLR 1604,"RBLR 1604, HCM 35",AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Documented,1316-04-04T00:00:00Z,,1316.4.4,,Hereford,HCM 35|MISSING,"1316.4.4, AGREEMENT"
RBLR 1607,RBLR 1607,AGREEMENT,AGREEMENT,"London, Westminster",Documented,1316-10-20T00:00:00Z,,1316.10.20,,Westminster,FoF CP 25/1/82/32.108 [add column for Endorsed?],"1316.10.20, Agreement:"
RBLR 1819,RBLR 1819,AGREEMENT,AGREEMENT,"London, Westminster",Documented,1318-10-06T00:00:00Z,,1318.10.6,,Westminster,FoF,"1318.10.6, Agreement"
HCM 2269,HCM 2269,AGREEMENT,AGREEMENT,"Hereford Cathedral, Chapter House",Documented,1320-12-17T00:00:00Z,,"1320,  16 Kal. January |December 17).",,the chapter,,"1320, 16 Kal. January |December 17)., AGREEMENT"
HCM 1334,HCM 1334,AGREEMENT,AGREEMENT,"Hereford Cathedral, Chapter House",Suggested,1325-01-01T00:00:00Z,1375-12-31T00:00:00Z,mid 14th century,mid 14th century,,"parties = Bp, D&C of H, & dominicans of H","Mid 14th century., AGREEMENT"
HCM 538,HCM 538,AGREEMENT,AGREEMENT,"Upper Bullinghope, Herefordshire",Documented,1325-05-30T00:00:00Z,,"1325,  Thursday next after the Feast of St. Augustine .Msy 30,  assuming that ene apostle of the English,  is intended].",,Bollinghope,"but cf HCM 539 & 537, issued at Netherbolinghope (now Bullingham Lower) not Bollinghope Upper|assuming that ene apostle of the English,  is intended","1325, Thursday next after the Feast of St. Augustine .Msy 30, assuming that ene apostle of the English, is intended]., AGREEMENT"
RBLR 2901,"RBLR 2901, HCM 1375",AGREEMENT,AGREEMENT,"Bredon Bishops Manor, Worcestershire",Documented,1329-07-15T00:00:00Z,,1329.7.15,"1329,  Saturday, July 15.",Bredon,HCM 1375,"1329.7.15, AGREEMENT"
HCM 2166,HCM 2166,AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Documented,1330-03-26T00:00:00Z,,"1330 gig for 1331,  Tuesday the morrow ,   the unciation of the Virgin Mary Merch 26).",,Hereford,,"1330 gig for 1331, Tuesday the morrow ,  the unciation of the Virgin Mary Merch 26)., AGREEMENT"
HCM 178,HCM 178,AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Documented,1333-04-28T00:00:00Z,,"1333,  Wednesday next after the Feast of St. Mark the Evangelist (April 28)",,deref,,"1333, Wednesday next after the Feast of St. Mark the Evangelist (April 28), AGREEMENT"
HCM 2075,HCM 2075,AGREEMENT,AGREEMENT,"Hereford Cathedral, Chapter House",Documented,1345-07-06T00:00:00Z,,"1345,  July 6.",,chapter-house,,"1345, July 6., AGREEMENT"
HCM 3216,HCM 3216,AGREEMENT,AGREEMENT,"Hereford Cathedral, Chapter House",Suggested,1350-01-20T00:00:00Z,,"1349/50,  January 20.",,,betw D&C of H and Reading Abbey,"1349/50, January 20., AGREEMENT"
HCM 2219,HCM 2219,AGREEMENT,AGREEMENT,"Gloucester, St Peter's Abbey, Chapter House",Documented,1351-05-06T00:00:00Z,,"1351,  May 6.",,chapter of the monastery,,"1351, May 6., AGREEMENT"
HCM 1173,HCM 1173,AGREEMENT,AGREEMENT,"St Brides Wentloog, Le Wall' seabank",Documented,1353-10-27T00:00:00Z,,"1353,  October 27.",,le Wall',,"1353, October 27., AGREEMENT"
HCM 242,HCM 242,AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Documented,1355-06-01T00:00:00Z,,"1355,  Monday next after the Feast of the Holy Trinity |June 1}",,Hereford,,"1355, Monday next after the Feast of the Holy Trinity |June 1}, AGREEMENT"
HCM 2372,HCM 2372,AGREEMENT,AGREEMENT,"Hereford, Herefordshire",Documented,1359-04-09T00:00:00Z,,1359 April 9,,Hereford,,"1359 April 9, AGREEMENT"
HCM 1419,HCM 1419,AGREEMENT,AGRERMENT,"Hereford, Herefordshire",Documented,1295-07-26T00:00:00Z,,"1295,  Tuesday next after the Feast of Saint James the Apostle [July 26].",,Hereford,probably in chapter-house,"1295, Tuesday next after the Feast of Saint James the Apostle [July 26]., AGRERMENT"
HCM 1320,HCM 1320,AGREEMENT,CONSENT,"Salisbury (New Sarum) Cathedral, chapter-house",Suggested,1320-11-04T00:00:00Z,,"1320,  2 Non,  November |November 4.",,,confirmation by Bp of Salisbury w/ref to D&C of Salisbury,"1320, 2 Non, November |November 4., CONSENT"
HCM 2076,HCM 2076,AGREEMENT,COUNTERPART of AGREEMENT,"Hereford Cathedral, Chapter House",Documented,1345-07-06T00:00:00Z,,"1345,  duly 6.",,,"july 6, ?","1345, duly 6., COUNTERPART of 2075"
HCM 1333,HCM 1333,AGREEMENT,COVENANT,"Hereford Cathedral, Chapter House",Documented,1322-02-23T00:00:00Z,,"1321/2,  epee the Feast of St. Milburga the Virgin | February 23].",,chapter-house st Hereford,,"1321/2, epee the Feast of St. Milburga the Virgin | February 23]., COVENANT"
HCM 2169,HCM 2169,AGREEMENT,DRAFT OF AN AGREEMENT,"Hereford, Herefordshire",Suggested,1346-12-24T00:00:00Z,,1347 .,,,concerns D&C & contains confirmation by Bp of H,"1347 ., DRAFT of an egreement"
HCM 2506,HCM 2506,AGREEMENT,FINAL AGREEMENT,"Hereford, Herefordshire",Documented,1328-06-02T00:00:00Z,,sag Thursday next after the Feast of st. Petronilla the virgin |June 2],,Hereford,1328,"sag Thursday next after the Feast of st. Petronilla the virgin |June 2], FINAL AGREEMENT"
HCM 1736,HCM 1736,AGREEMENT,FINAL CONCORD,"London, Westminster Palace",Documented,1305-07-01T00:00:00Z,,"1305,  Octave of the Feast of St. John the Baptist [July 1]",,king's court at Westuinster,,"1305, Octave of the Feast of St. John the Baptist [July 1], FINAL CONCORD"
RBLR 1608,"RBLR 1608, HCM 4",AGREEMENT,FINAL CONCORD,"Breinton, Herefordshire",Suggested,1316-10-20T00:00:00Z,,1316.10.20,,Chirchebreynton',HCM 4|MISSING|cf HCM 26 same principals at Breynton,"1316.10.20, FINAL CONCORD"
HCM 1689,HCM 1689,AGREEMENT,MEMORANDUM OF AGREEMENT,"Gloucester, Gloucestershire",Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,land deal with Gloucester St Peters,"Lgirea 1300., MEMORANDUM OF AGREEMENT"
HCM 3002,HCM 3002,AGREEMENT,MEMORANDUM OF AGREEMENT,"Hereford Cathedral, Chapter House",Suggested,1323-11-19T00:00:00Z,,"1323,  13 Kal. December,  i.e. November 19.",,,"cf HCM 1175, same date & business|but could be Avignon?","1323, 13 Kal. December, i.e. November 19., MEMORANDUM OF AGREEMENT"
HCM 1175,HCM 1175,AGREEMENT,SETTLEMENT,"Hereford Cathedral, Chapter House",Suggested,1323-11-19T00:00:00Z,,"1323,  13 hal. December | November 19.",,,"settlement between D&C & canon, brokered by another canon|but could be Avignon?","1323, 13 hal. December | November 19., SETTLEMENT"
HCM 2819-em3,HCM 2819-em3,AGREEMENT,SETTLEMENT,RESEARCH,Uncertain,1353-01-15T00:00:00Z,,"1352/3,  January 15",,,"(embedded doc 3)|whatever the Given At is for N.I., same Given At for embedded doc 3 (Hereford, or wherever Bp is on 1353.1.15-19?)","1352/3, January 15, Tenor of the settlement"
RBLR 4505,RBLR 4505,APPEAL BY EXECUTORS,APPEAL BY EXECUTORS,"Avignon, France",Documented,1345-07-18T00:00:00Z,,1345.7.18<,,,,"1345.7.18<, appeal"
RBLR 3207,RBLR 3207,APPOINTMENT (DUPLICATE),APPOINTMENT (DUPLICATE),London,Documented,1332-11-09T00:00:00Z,,1332.11.9,,London,,"1332.11.9, Appointment, duplicate"
HCM 1975,HCM 1975,APPROBATION,APPROBATION,"Bosbury Palace Bishop's Manor, Herefordshire",Documented,1311-10-30T00:00:00Z,,"1311,  3 Kal. Nov. [October 30].",,Bosebury,CREATE embedded doc (HCM 1975-em) = AGREEMENT from 1289.2.28 [no given at but (Hereford) = [suggested],"1311, 3 Kal. Nov. [October 30]., APPROBATION"
HCM 2163,HCM 2163,APPROPRIATION,APPROPRIATION,"Hereford, Herefordshire",Suggested,1330-03-06T00:00:00Z,,"1329/30,  March 6.",,,"principals = Bp of H, D&C of H","1329/30, March 6., APPROPRIATION"
HCM 2645,HCM 2645,ASSURANCE,ASSURANCE,"Hereford, Herefordshire",Documented,1282-10-04T00:00:00Z,,"1282,  Sundey next before the Feast of St. Dionysius LOcte 4]",,Hereford,,"1282, Sundey next before the Feast of St. Dionysius LOcte 4], ASSURANCE"
HCM 2019,HCM 2019,BOND,BOND,"Hereford, Herefordshire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. ceatury,approx,,Hereford people & places,"Late 13th. ceatury, BOND"
HCM 1600,HCM 1600,BOND,BOND,"Gloucester, St Peter's Abbey, Chapter House",Documented,1298-12-13T00:00:00Z,,"1298,  the Feast of Lucia the Virgin : ,   iLDecember 13].",,chapter-house at Gloucester,,"1298, the Feast of Lucia the Virgin : ,  iLDecember 13]., BOND"
HCM 1670,HCM 1670,BOND,BOND,"Gloucester, Gloucestershire",Documented,1303-06-02T00:00:00Z,,"1303,  Feast of the Holy Trinity June 2",,Gloucester,,"1303, Feast of the Holy Trinity June 2,, BOND"
HCM 2587,HCM 2587,BOND,BOND,"Hereford, Herefordshire",Documented,1307-09-30T00:00:00Z,,"1307,  Saturday,  on the morrow of St. Michael [September 30]",,Hereford,"OCR error had this doc (BOND, Hereford 1307) as HCM 1537, but doc # has been CORRECTED to HCM 2587","1307, Saturday, on the morrow of St. Michael [September 30], BOND"
HCM 2720,HCM 2720,BOND,BOND,"Hereford, Herefordshire",Documented,1307-12-23T00:00:00Z,,"1307,  Saturday next before the Feast of St. Thomas the Martyr [Dec. 23].",,Hereford,,"1307, Saturday next before the Feast of St. Thomas the Martyr [Dec. 23]., BOND"
HCM 2779,HCM 2779,BOND,BOND,"Hereford, Herefordshire",Documented,1309-07-26T00:00:00Z,,"1309,  Saturday next before the Feast of St. Peter's Ad Vinculs [July 26].",,Hereford,,"1309, Saturday next before the Feast of St. Peter's Ad Vinculs [July 26]., BOND"
HCM 1523,HCM 1523,BOND,BOND,"Swansea, Wales",Documented,1314-04-23T00:00:00Z,,"1314,  Tuesday the Feast of Saint George,  martyr [April 23]",,Sweynes,,"1314, Tuesday the Feast of Saint George, martyr [April 23], BOND"
RBLR 4503-em1,"RBLR 4503-em1, HCM 1378-em1",BOND,BOND,"Sugwas Court Bishop's Palace, Herefordshire",Documented,1318-03-27T00:00:00Z,,twenty-seventh day of March in the year 1318,,Sugwas,"HCM 1378-em1|(embedded doc 1), (embedded doc 1)","twenty-seventh day of March in the year 1318, bonds"
RBLR 4503-em2,"RBLR 4503-em2, HCM 1378-em2",BOND,BOND,"Shinfield, Berkshire",Documented,1320-02-01T00:00:00Z,,first day of February in the year 1319/20,,Shenyngfeld,"HCM 1378-em2|(embedded doc 2), (embedded doc 2)","first day of February in the year 1319/20, bond"
HCM 1713,HCM 1713,BOND,BOND,"La Mershe, Old Windsor, Berkshire",Documented,1327-02-08T00:00:00Z,,"1326/7,  Sunday next after the Feast of the Purification of the Blessed Mary | February 8]",,La Mersche juxta Yeuele,mention of Estgeynge in Berkshire,"1326/7, Sunday next after the Feast of the Purification of the Blessed Mary | February 8], BOND"
HCM 348,HCM 348,BOND,BOND,"Clifford Chambers, Warwickshire",Documented,1332-01-09T00:00:00Z,,"1331/2,  Thursday next after Epiphany | January 9.",,Clifford,"principal of ""Clifford Chamberer on the Stour""","1331/2, Thursday next after Epiphany | January 9., BOND"
HCM 3178,HCM 3178,BOND,BOND,"Hereford, Herefordshire",Documented,1333-01-30T00:00:00Z,,"1532/3,  January 50",,Hereford,"1332/3, January 30","1532/3, January 50,, BOND"
HCM 1870,HCM 1870,BOND,BOND,"Hereford, Herefordshire",Documented,1333-03-13T00:00:00Z,,"1332/3,  Saturday. next after the Feast of St. Gregory the Pope [March 13].",,Hereford,,"1332/3, Saturday. next after the Feast of St. Gregory the Pope [March 13]., BOND"
HCM 2973,HCM 2973,BOND,BOND,"Hereford Cathedral, Chapter House",Documented,1341-12-15T00:00:00Z,,"1341,  Saturday next after the Feast of St. Lucia,  virgin | December 15].",,chapter-house at Nereford,,"1341, Saturday next after the Feast of St. Lucia, virgin | December 15]., BOND"
HCM 747,HCM 747,BOND,BOND,"Wenlock Priory, Chapter House",Documented,1343-07-18T00:00:00Z,,"1343,  July 18.",,Wenlok' in the chapter- Ouses,,"1343, July 18., BOND"
RBLR 4603,RBLR 4603,BOND,BOND,"Prestbury Moat Bishop's Manor, Gloucestershire",Documented,1346-08-03T00:00:00Z,,1346.8.3,,ut proxime supra,,"1346.8.3, Bond"
HCM 1322,HCM 1322,BOND,BOND,"Reading Abbey, Berkshire",Documented,1349-12-21T00:00:00Z,,"1349,  the Feast of Saint Thomas the Apostle LDecember 21j",,Radyng',,"1349, the Feast of Saint Thomas the Apostle LDecember 21j, BOND"
RBLR 1001,"RBLR 1001, HCM 61",BOND,CONDITION,"Hereford, Herefordshire",Documented,1310-06-13T00:00:00Z,,1310.6.13,,Hereford,HCM 61|MISSING,"1310.6.13, CONDITION"
HCM 292,HCM 292,BOND,CONDITION,"Ledbury, Herefordshire",Documented,1361-12-05T00:00:00Z,,"1361,  Sunday next after the Feast of St,  ,   Andrew the Apostle [December Sie",,Ledbury,"HCM 294 is desc as ""counterpart of HCM 292""--does that mean another person's copy of the same doc? how to treat?, December 5","HCM 292, 1361, Sunday next after the Feast of St, ,  Andrew the Apostle [December Sie, CONDITION"
HCM 2505,HCM 2505,BOND,DEFEASANCE,"Hereford Cathedral, Chapter House",Documented,1308-11-25T00:00:00Z,,"1308,  Monday,  the Feast of St. Catherine the Virgin [November 25].",,chapter-house at Hereford,,"1308, Monday, the Feast of St. Catherine the Virgin [November 25]., DEFEASANCE"
HCM 2624,HCM 2624,BOND,DEFEASANCE,"Hereford, Herefordshire",Documented,1325-05-04T00:00:00Z,1375-05-04T00:00:00Z,"mid 14th century,  May 4.","exact day, approx year",Hereford,,"mid 14th century, May 4., DEPEASANCE"
HCM 1521,HCM 1521,BOND,DEFEASANCE,"Gloucester, Gloucestershire",Documented,1330-04-23T00:00:00Z,,"1330,  Monday,  the Feast of St. George the martyr | April 23].",,Gloucester.,prob abbey of St Peters Gloucester,"1330, Monday, the Feast of St. George the martyr | April 23]., DEFEASANCE"
HCM 1866,HCM 1866,BOND,DEFEASANCE,"Pendock, Worcestershire",Documented,1361-05-20T00:00:00Z,,"1361,  Thursday next after the Feast of St. Dunstan LMay 20).",,Pendok'.,,"1361, Thursday next after the Feast of St. Dunstan LMay 20)., DEFEASANCE"
RBLR 1304-em,"RBLR 1304-em, HCM 1722-em",BOND,INDENTURE,"Hereford, Herefordshire",Suggested,1313-11-26T00:00:00Z,,1313.11.26,"date of indenture = DUE 1314, quindene of the feast of the purification of the Virgin, but date/place uncertain except that it's BEFORE date of Receipt",,"(Embedded document)|Date of embedded doc unknown, but before date of receipt","1313.11.26, indenture"
RBLR 4807,RBLR 4807,BOND,INDENTURE,London,Documented,1348-06-05T00:00:00Z,,1348.6.5,,Londres,"doc (in Fr) says ""indenture"" but summary in Eng says ""agreement"" with promise for formal aquittance","1348.6.5, agreement"
RBLR 1742,RBLR 1742,BOND,OBLIGATION TO PAY,"Thame Abbey, Oxfordshire",Documented,1317-08-08T00:00:00Z,,1317.8.8,,Tame,BOND,"1317.8.8, binds"
RBLR 1905,RBLR 1905,BOND,OBLIGATION TO PAY ANNUITY,"Avignon, residence of Adam de Orleton",Documented,1319-05-06T00:00:00Z,,1319.5.6,,"Avignon, residence of Adam de Orleton",BOND,"1319.5.6, OBLIGACIO"
HCM 2993,HCM 2993,CERTIFICATE,CERTIFICATE,"Hereford, Herefordshire",Documented,1324-07-21T00:00:00Z,,"1324,  12 Kal. August | July 21.",latest date of embedded doc = 1324.07.17 (needs adding); no earliest date,Hereford,embedded MANDATE needs adding|latest date of that = 1324.07.17 (no earliest date),"1324, 12 Kal. August | July 21., CERTIFICATE of execution"
RBLR 2107,RBLR 2107,CERTIFICATE OF ENACTMENT,CERTIFICATE OF ENACTMENT,"Bosbury Palace Bishop's Manor, Herefordshire",Documented,1321-11-29T00:00:00Z,,1321.11.29,"letters rec'd xj Kal Dec [1321.11.21](p. 206) but doc dated iii Kal Decembris [1321.11.29](p.208);  xjº Kal. Decembris, xviijº Kal. Octobris,  anno Domini M°CCC°xxjº, xvijº Kal. Decembris,  anno Domini supradicto, iijº Kal. Decembris",Bosebury,"for main doc, for embedded doc, for embeded doc","1321.11.29, Certificate, xjº Kal. Decembris, xviijº Kal. Octobris, anno Domini M°CCC°xxjº, xvijº Kal. Decembris, anno Domini supradicto, iijº Kal. Decembris"
RBLR 3405,RBLR 3405,CERTIFICATION OF EXECUTION,CERTIFICATION OF EXECUTION,"Hampstead Marshall, Berkshire",Documented,1334-09-15T00:00:00Z,,1334.9.15,,Hampstead Marshall,date of main doc,"1334.9.15, Certification"
HCM 1647,HCM 1647,Coe,Coe,"Standish, Gloucestershire",Suggested,1304-01-05T00:00:00Z,,"1303/4,  Sunday ip the Vigil of the — Epiphany of our Lord [January 5].",,Stanedith',QUITCLAIM,"1303/4, Sunday ip the Vigil of the — Epiphany of our Lord [January 5]., Coe"
HCM 2797-em1,HCM 2797-em1,COMMISSION,APPOINTENT,"Hereford Cathedral, Chapter House",Documented,1281-08-14T00:00:00Z,,"August 14, 1281",,chapter-house of Hereford,"(embedded doc 1), (embedded doc 1)","APPOINTMENT, August 14, 1281"
