ID,type,source,source_number,handlist_number,Label,date_text,date_notes,earliest_date,latest_date,NodeType
2246,agreement,HCM,13,1402,RBLR 1402,1314.6.1,"",1314-06-01,"",Document
2247,agreement,HCM,35,1604,RBLR 1604,1316.4.4,"",1316-04-04,"",Document
2248,agreement,,,1607,RBLR 1607,1316.10.20,"",1316-10-20,"",Document
2249,agreement,,,1819,RBLR 1819,1318.10.6,"",1318-10-06,"",Document
2250,agreement,HCM,2269,,HCM 2269,"1320,  16 Kal. January |December 17).","",1320-12-17,"",Document
2251,agreement,HCM,1334,,HCM 1334,mid 14th century,mid 14th century,1325-01-01,1375-12-31,Document
2252,agreement,HCM,538,,HCM 538,"1325,  Thursday next after the Feast of St. Augustine .Msy 30,  assuming that ene apostle of the English,  is intended].","",1325-05-30,"",Document
2253,agreement,HCM,1375,2901,RBLR 2901,1329.7.15,"1329,  Saturday, July 15.",1329-07-15,"",Document
2254,agreement,HCM,2166,,HCM 2166,"1330 gig for 1331,  Tuesday the morrow ,   the unciation of the Virgin Mary Merch 26).","",1330-03-26,"",Document
2255,agreement,HCM,178,,HCM 178,"1333,  Wednesday next after the Feast of St. Mark the Evangelist (April 28)","",1333-04-28,"",Document
2256,agreement,HCM,2075,,HCM 2075,"1345,  July 6.","",1345-07-06,"",Document
2257,agreement,HCM,3216,,HCM 3216,"1349/50,  January 20.","",1350-01-20,"",Document
2258,agreement,HCM,2219,,HCM 2219,"1351,  May 6.","",1351-05-06,"",Document
2259,agreement,HCM,1173,,HCM 1173,"1353,  October 27.","",1353-10-27,"",Document
2260,agreement,HCM,242,,HCM 242,"1355,  Monday next after the Feast of the Holy Trinity |June 1}","",1355-06-01,"",Document
2261,agreement,HCM,2372,,HCM 2372,1359 April 9,"",1359-04-09,"",Document
2262,agreement,HCM,1419,,HCM 1419,"1295,  Tuesday next after the Feast of Saint James the Apostle [July 26].","",1295-07-26,"",Document
2263,agreement,HCM,1320,,HCM 1320,"1320,  2 Non,  November |November 4.","",1320-11-04,"",Document
2264,agreement,HCM,2076,,HCM 2076,"1345,  duly 6.","",1345-07-06,"",Document
2265,agreement,HCM,1333,,HCM 1333,"1321/2,  epee the Feast of St. Milburga the Virgin | February 23].","",1322-02-23,"",Document
2266,agreement,HCM,2169,,HCM 2169,1347 .,"",1346-12-24,"",Document
2267,agreement,HCM,2506,,HCM 2506,sag Thursday next after the Feast of st. Petronilla the virgin |June 2],"",1328-06-02,"",Document
2268,agreement,HCM,1736,,HCM 1736,"1305,  Octave of the Feast of St. John the Baptist [July 1]","",1305-07-01,"",Document
2269,agreement,HCM,4,1608,RBLR 1608,1316.10.20,"",1316-10-20,"",Document
2270,agreement,HCM,1689,,HCM 1689,circa 1300,approx,1290-01-01,1310-12-31,Document
2271,agreement,HCM,3002,,HCM 3002,"1323,  13 Kal. December,  i.e. November 19.","",1323-11-19,"",Document
2272,agreement,HCM,1175,,HCM 1175,"1323,  13 hal. December | November 19.","",1323-11-19,"",Document
2273,agreement,HCM,2819-em3,,HCM 2819-em3,"1352/3,  January 15","",1353-01-15,"",Document
2274,appeal by executors,,,4505,RBLR 4505,1345.7.18<,"",1345-07-18,"",Document
2275,appointment,,,3207,RBLR 3207,1332.11.9,"",1332-11-09,"",Document
2276,approbation,HCM,1975,,HCM 1975,"1311,  3 Kal. Nov. [October 30].","",1311-10-30,"",Document
2277,appropriation,HCM,2163,,HCM 2163,"1329/30,  March 6.","",1330-03-06,"",Document
2278,assurance,HCM,2645,,HCM 2645,"1282,  Sundey next before the Feast of St. Dionysius LOcte 4]","",1282-10-04,"",Document
2279,bond,HCM,2019,,HCM 2019,Late 13th. ceatury,approx,1275-01-01,1300-12-31,Document
2280,bond,HCM,1600,,HCM 1600,"1298,  the Feast of Lucia the Virgin : ,   iLDecember 13].","",1298-12-13,"",Document
2281,bond,HCM,1670,,HCM 1670,"1303,  Feast of the Holy Trinity June 2","",1303-06-02,"",Document
2282,bond,HCM,2587,,HCM 2587,"1307,  Saturday,  on the morrow of St. Michael [September 30]","",1307-09-30,"",Document
2283,bond,HCM,2720,,HCM 2720,"1307,  Saturday next before the Feast of St. Thomas the Martyr [Dec. 23].","",1307-12-23,"",Document
2284,bond,HCM,2779,,HCM 2779,"1309,  Saturday next before the Feast of St. Peter's Ad Vinculs [July 26].","",1309-07-26,"",Document
2285,bond,HCM,1523,,HCM 1523,"1314,  Tuesday the Feast of Saint George,  martyr [April 23]","",1314-04-23,"",Document
2286,bond,HCM,1378-em1,4503-em1,RBLR 4503-em1,twenty-seventh day of March in the year 1318,"",1318-03-27,"",Document
2287,bond,HCM,1378-em2,4503-em2,RBLR 4503-em2,first day of February in the year 1319/20,"",1320-02-01,"",Document
2288,bond,HCM,1713,,HCM 1713,"1326/7,  Sunday next after the Feast of the Purification of the Blessed Mary | February 8]","",1327-02-08,"",Document
2289,bond,HCM,348,,HCM 348,"1331/2,  Thursday next after Epiphany | January 9.","",1332-01-09,"",Document
2290,bond,HCM,3178,,HCM 3178,"1532/3,  January 50","",1333-01-30,"",Document
2291,bond,HCM,1870,,HCM 1870,"1332/3,  Saturday. next after the Feast of St. Gregory the Pope [March 13].","",1333-03-13,"",Document
2292,bond,HCM,2973,,HCM 2973,"1341,  Saturday next after the Feast of St. Lucia,  virgin | December 15].","",1341-12-15,"",Document
2293,bond,HCM,747,,HCM 747,"1343,  July 18.","",1343-07-18,"",Document
2294,bond,,,4603,RBLR 4603,1346.8.3,"",1346-08-03,"",Document
2295,bond,HCM,1322,,HCM 1322,"1349,  the Feast of Saint Thomas the Apostle LDecember 21j","",1349-12-21,"",Document
2296,bond,HCM,61,1001,RBLR 1001,1310.6.13,"",1310-06-13,"",Document
2297,bond,HCM,292,,HCM 292,"1361,  Sunday next after the Feast of St,  ,   Andrew the Apostle [December Sie","",1361-12-05,"",Document
2298,bond,HCM,2505,,HCM 2505,"1308,  Monday,  the Feast of St. Catherine the Virgin [November 25].","",1308-11-25,"",Document
2299,bond,HCM,2624,,HCM 2624,"mid 14th century,  May 4.","exact day, approx year",1325-05-04,1375-05-04,Document
2300,bond,HCM,1521,,HCM 1521,"1330,  Monday,  the Feast of St. George the martyr | April 23].","",1330-04-23,"",Document
2301,bond,HCM,1866,,HCM 1866,"1361,  Thursday next after the Feast of St. Dunstan LMay 20).","",1361-05-20,"",Document
2302,bond,HCM,1722-em,1304-em,RBLR 1304-em,1313.11.26,"date of indenture = DUE 1314, quindene of the feast of the purification of the Virgin, but date/place uncertain except that it's BEFORE date of Receipt",1313-11-26,"",Document
2303,bond,,,4807,RBLR 4807,1348.6.5,"",1348-06-05,"",Document
2304,bond,,,1742,RBLR 1742,1317.8.8,"",1317-08-08,"",Document
2305,bond,,,1905,RBLR 1905,1319.5.6,"",1319-05-06,"",Document
2306,certificate,HCM,2993,,HCM 2993,"1324,  12 Kal. August | July 21.",latest date of embedded doc = 1324.07.17 (needs adding); no earliest date,1324-07-21,"",Document
2307,certificate of enactment,,,2107,RBLR 2107,1321.11.29,"letters rec'd xj Kal Dec [1321.11.21](p. 206) but doc dated iii Kal Decembris [1321.11.29](p.208);  xjº Kal. Decembris, xviijº Kal. Octobris,  anno Domini M°CCC°xxjº, xvijº Kal. Decembris,  anno Domini supradicto, iijº Kal. Decembris",1321-11-29,"",Document
2308,certification of execution,,,3405,RBLR 3405,1334.9.15,"",1334-09-15,"",Document
2309,other,HCM,1647,,HCM 1647,"1303/4,  Sunday ip the Vigil of the — Epiphany of our Lord [January 5].","",1304-01-05,"",Document
2310,commission,HCM,2797-em1,,HCM 2797-em1,"August 14, 1281","",1281-08-14,"",Document
2311,commission,HCM,2797-em2,,HCM 2797-em2,December 7 <a,"",1284-12-07,"",Document
2312,commission,,,1907,RBLR 1907,1319.6.19,"",1319-06-19,"",Document
2313,commission,HCM,674,,HCM 674,"1294,  July 1.","",1294-07-01,"",Document
2314,commission,HCM,2888,,HCM 2888,"1335, May 8","",1335-05-08,"",Document
2315,commission,,,4605,RBLR 4605,1346.10.12,"",1346-10-12,"",Document
2316,commission,HCM,1416,,HCM 1416,"1285,  2 Kal. May [30 April].","",1285-04-30,"",Document
2317,commission,HCM,1057,,HCM 1057,"1291,  5 Nones of July i July 3","",1291-07-03,"",Document
2318,commission,HCM,1063,,HCM 1063,"1313,  15 Kal. September [August 18]","",1313-08-18,"",Document
2319,commission,,,1501,RBLR 1501,1315.4.19,"",1315-04-19,"",Document
2320,commission,,,3107,RBLR 3107,1331.6.21,"",1331-06-21,"",Document
2321,commission,,,3108,RBLR 3108,1331.6.21 [*],"",1331-06-21,"",Document
2322,commission,,,3206,RBLR 3206,1332.11.9,"",1332-11-09,"",Document
2323,commission,,,3301,RBLR 3301,1333.3.17,"",1333-03-17,"",Document
2324,commission,,,3401,RBLR 3401,1334.1.30,"",1334-01-30,"",Document
2325,commission,,,4601,RBLR 4601,1346.4.1,"",1346-04-01,"",Document
2326,commission,,,4703,RBLR 4703,1347.2.11,"",1347-02-11,"",Document
2327,commission,HCM,1932,,HCM 1932,"1353, December 1","",1353-12-01,"",Document
2328,commission,HCM,1730,,HCM 1730,"1354,  August 29°","",1354-08-29,"",Document
2329,commission,,,3402,RBLR 3402,1334.1.30,"",1334-01-30,"",Document
2330,commission,,,4802,RBLR 4802,1348.1.30,"",1348-01-30,"",Document
2331,commission,,,3102,RBLR 3102,1331.1.18,"",1331-01-18,"",Document
2332,commission,,,1909,RBLR 1909,1319.9.15,"",1319-09-15,"",Document
2333,commission,,,2802,RBLR 2802,1328.4.14,"",1328-04-14,"",Document
2334,commission,,,4607,RBLR 4607,1346.10.13,"",1346-10-13,"",Document
2335,commission,,,3404,RBLR 3404,1334.4.24,"",1334-04-24,"",Document
2336,commission,,,3901,RBLR 3901,1339.2.24,"",1339-02-24,"",Document
2337,commission,,,3109,RBLR 3109,1331.6.21 [*],"",1331-06-21,"",Document
2338,commission,,,4606,RBLR 4606,1346.10.12,"",1346-10-12,"",Document
2339,commission,,,4402,RBLR 4402,1344.3.31,"",1344-03-31,"",Document
2340,commission,,,4403,RBLR 4403,1344.3.31,"",1344-03-31,"",Document
2341,commission,HCM,718,,HCM 718,"1295, April 7","",1295-04-07,"",Document
2342,commission,HCM,2274,,HCM 2274,"413235 17 Edward 7I1,  Saturday next after ,   the Feast of the Exaltation of the Holy Cross |September 17].","",1323-09-17,"",Document
2343,commission,HCM,1863,,HCM 1863,"1332, October 12","",1332-10-12,"",Document
2344,commission,,,3103,RBLR 3103,1331.6.21,"",1331-06-21,"",Document
2345,commonplace book,HCM,3169,,HCM 3169,? 14th century,approx,1300-01-01,1399-12-31,Document
2346,composition,HCM,3192,,HCM 3192,"1288/9,  January.",approx,1288-01-01,1289-12-31,Document
2347,composition,HCM,3157,,HCM 3157,"1348/9,  Mareh 16.","",1349-03-16,"",Document
2348,confirmation,,,5003,RBLR 5003,1350.9.9,"",1350-09-09,"",Document
2349,confirmation,HCM,2947g,,HCM 2947g,"?1312 (6 Edward II?),  December 18.","",1312-12-18,"",Document
2350,confirmation,HCM,2947g-em,,HCM 2947g-em,15 July 1334,"",1334-07-15,"",Document
2351,counterpart,HCM,294,,HCM 294,"1361,  Sunday next after the Feast of St,  Andrew the Apostle |Decenber 5]","",1361-12-05,"",Document
2352,declaration,HCM,3161,,HCM 3161,probably 1352.,"probable, approx",1352-01-01,1352-12-31,Document
2353,dispensation for absence,,,2201,RBLR 2201,1322.3.17,"",1322-03-17,"",Document
2354,dispensation for absence,,,4809,RBLR 4809,1348.8.17,(unclear whether RB present; has been & will remain non-resident),1348-08-17,"",Document
2355,dispensation for absence,,,1302,RBLR 1302,1313.7.12,"",1313-07-12,"",Document
2356,duplicate,HCM,2933c,,HCM 2933c,"1285,  the Feast of St. Thomas the Apostle [December 21].","",1285-12-21,"",Document
2357,duplicate,HCM,2052,,HCM 2052,"1297/8,  the morrow of the Feast of St. Mathias the Apostle | February 25","",1298-02-25,"",Document
2358,duplicate,HCM,2162,,HCM 2162,"1309, June 10","",1309-06-10,"",Document
2359,duplicate,HCM,27,1602,RBLR 1602,1316.2.21,"1315/6,  Saturday next before the Feast of St. Peter in Cathedra. [February 21].",1316-02-21,"",Document
2360,duplicate,HCM,1351,,HCM 1351,"","",1322-02-23,"",Document
2361,duplicate,HCM,2992,,HCM 2992,"1324, July 16","",1324-07-16,"",Document
2362,duplicate,HCM,3005d,,HCM 3005d,"1324, July 16","",1324-07-16,"",Document
2363,duplicate,HCM,3005c,,HCM 3005c,"1324,  12 Kal. August (July 21].","",1324-07-21,"",Document
2364,duplicate,HCM,2933e,,HCM 2933e,mid 14th century,approx,1325-01-01,1375-12-13,Document
2365,duplicate,HCM,2933f,,HCM 2933f,"1354/5,  March 4.","",1355-03-04,"",Document
2366,election process & memorandum,,,3204,RBLR 3204,2 July 1332,"",1332-07-02,"",Document
2367,endorsement,HCM,1767-em1,,HCM 1767-em1,three weeks after Easter in the year 1332,"",1332-05-10,"",Document
2368,exemplification,HCM,2932f,,HCM 2932f,"1354/5,  March 4.","",1355-03-04,"",Document
2369,grant,HCM,308-em,,HCM 308-em,«Late 13th. - early 14th.century»,approx,1275-01-01,1325-12-31,Document
2370,grant,HCM,555-em,,HCM 555-em,Monday next after the Feust of the Bpiphany 31 Edward III,"",1343-01-13,"",Document
2371,grant,HCM,2469-em,,HCM 2469-em,"Sunday next before the Feast of the Apostles Simon and Judas,  29 Hdward Ill","",1356-10-24,"",Document
2372,grant,HCM,126,,HCM 126,Lsirca 1300.,approx,1290-01-01,1310-12-31,Document
2373,grant,HCM,594,,HCM 594,Thursday next after the Feast of bonception of the Virgin Mary | December 11,"",1348-12-11,"",Document
2374,grant,HCM,10,,HCM 10,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2375,grant,HCM,1654,,HCM 1654,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2376,grant,HCM,18,,HCM 18,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2377,grant,HCM,2218,,HCM 2218,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2378,grant,HCM,36,,HCM 36,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2379,grant,HCM,5,,HCM 5,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2380,grant,HCM,547,,HCM 547,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2381,grant,HCM,6,,HCM 6,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2382,grant,HCM,663,,HCM 663,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2383,grant,HCM,7,,HCM 7,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2384,grant,HCM,92,,HCM 92,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2385,grant,HCM,1058,,HCM 1058,1283-1302,approx,1282-12-24,1302-12-31,Document
2386,grant,HCM,1174,,HCM 1174,"1284/5,  pmeey next before the Feast . of the blessed ory the Pope [March &","",1285-03-08,"",Document
2387,grant,HCM,1074,,HCM 1074,Lsirce 1300.,approx,1290-01-01,1310-12-31,Document
2388,grant,HCM,1075,,HCM 1075,circa 1300,approx,1290-01-01,1310-12-31,Document
2389,grant,HCM,1228,,HCM 1228,circa 1300,approx,1290-01-01,1310-12-31,Document
2390,grant,HCM,15,,HCM 15,isirca 1300.,approx,1290-01-01,1310-12-31,Document
2391,grant,HCM,16,,HCM 16,circa 1300,approx,1290-01-01,1310-12-31,Document
2392,grant,HCM,19,,HCM 19,Legirca 1300.,approx,1290-01-01,1310-12-31,Document
2393,grant,HCM,20,,HCM 20,circa 1300,approx,1290-01-01,1310-12-31,Document
2394,grant,HCM,2053,,HCM 2053,circa 1300,approx,1290-01-01,1310-12-31,Document
2395,grant,HCM,2054,,HCM 2054,circa 1300,approx,1290-01-01,1310-12-31,Document
2396,grant,HCM,2055,,HCM 2055,circa 1300,approx,1290-01-01,1310-12-31,Document
2397,grant,HCM,2056,,HCM 2056,circa 1300,approx,1290-01-01,1310-12-31,Document
2398,grant,HCM,21,,HCM 21,igizrca 130,approx,1290-01-01,1310-12-31,Document
2399,grant,HCM,215,,HCM 215,circa 1300,approx,1290-01-01,1310-12-31,Document
2400,grant,HCM,22,,HCM 22,circa 1300,approx,1290-01-01,1310-12-31,Document
2401,grant,HCM,280,,HCM 280,cirea 1300.,approx,1290-01-01,1310-12-31,Document
2402,grant,HCM,307,,HCM 307,.ghrea 1300.,approx,1290-01-01,1310-12-31,Document
2403,grant,HCM,31,,HCM 31,gdrea 1300,approx,1290-01-01,1310-12-31,Document
2404,grant,HCM,361,,HCM 361,circa 1300,approx,1290-01-01,1310-12-31,Document
2405,grant,HCM,375,,HCM 375,sirea 1300,approx,1290-01-01,1310-12-31,Document
2406,grant,HCM,424,,HCM 424,iLgireg 1300.,approx,1290-01-01,1310-12-31,Document
2407,grant,HCM,425,,HCM 425,circa 1300,approx,1290-01-01,1310-12-31,Document
2408,grant,HCM,429,,HCM 429,circa 1300,approx,1290-01-01,1310-12-31,Document
2409,grant,HCM,468,,HCM 468,circa 1300,approx,1290-01-01,1310-12-31,Document
2410,grant,HCM,58,,HCM 58,Leires 1300.,approx,1290-01-01,1310-12-31,Document
2411,grant,HCM,675,,HCM 675,Loirea 1300,approx,1290-01-01,1310-12-31,Document
2412,grant,HCM,688,,HCM 688,Loirea 1300,approx,1290-01-01,1310-12-31,Document
2413,grant,HCM,692,,HCM 692,circa 1300,approx,1290-01-01,1310-12-31,Document
2414,grant,HCM,94,,HCM 94,"1296,  the Teast of St. Peter ad Vinevla L August 1].","",1296-07-31,"",Document
2415,grant,HCM,3,,HCM 3,"1299,  Sunday next after the Feast   of st. Martin [November 15]","",1299-11-15,"",Document
2416,grant,HCM,1276,,HCM 1276,First half 14th century.,approx,1300-01-01,1350-12-31,Document
2417,grant,HCM,1277,,HCM 1277,First half 14th century.,approx,1300-01-01,1350-12-31,Document
2418,grant,HCM,151,,HCM 151,Early 14th century.,approx,1300-01-01,1325-12-31,Document
2419,grant,HCM,1522,,HCM 1522,Early 14th century.,approx,1300-01-01,1325-12-31,Document
2420,grant,HCM,1719,,HCM 1719,Barly 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2421,grant,HCM,1800,,HCM 1800,Rarly 4th century| °,approx,1300-01-01,1325-12-31,Document
2422,grant,HCM,1877,,HCM 1877,14th century.,14th century,1300-01-01,1399-12-31,Document
2423,grant,HCM,2881,,HCM 2881,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2424,grant,HCM,399,,HCM 399,Early 14th century,early 14th century,1300-01-01,1325-12-31,Document
2425,grant,HCM,403,,HCM 403,Rerly 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2426,grant,HCM,413,,HCM 413,Early 14th century,early 14th century,1300-01-01,1325-12-31,Document
2427,grant,HCM,56,,HCM 56,First half 14th century,approx,1300-01-01,1350-12-31,Document
2428,grant,HCM,610,,HCM 610,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2429,grant,HCM,635,,HCM 635,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2430,grant,HCM,669,,HCM 669,Barly 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2431,grant,HCM,676,,HCM 676,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2432,grant,HCM,679,,HCM 679,Early 14th century,early 14th century,1300-01-01,1325-12-31,Document
2433,grant,HCM,682,,HCM 682,Early 14th century,early 14th century,1300-01-01,1325-12-31,Document
2434,grant,HCM,683,,HCM 683,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2435,grant,HCM,685,,HCM 685,Barly 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2436,grant,HCM,687,,HCM 687,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2437,grant,HCM,1054,,HCM 1054,"1301,  Saturday next after the Feast of Saint Lawrence the martyr | August 12]","",1301-08-12,"",Document
2438,grant,HCM,1053,,HCM 1053,"1301,  wednesday next after the Feast of the decotlation of Saint John the Baptist [August 30]","",1301-08-30,"",Document
2439,grant,HCM,1200,,HCM 1200,"1301,  Thursday? after the Exaltation of ,   the Holy Cross | ?September 21","",1301-09-21,"",Document
2440,grant,HCM,1312,,HCM 1312,"1302,  April 24.","",1302-04-24,"",Document
2441,grant,HCM,23,0501,RBLR 0501,1305 [*],circa 1300 per typescript,1305-01-01,1305-12-31,Document
2442,grant,HCM,1974,,HCM 1974,"1304/5,  February 12.","",1305-02-12,"",Document
2443,grant,HCM,469,,HCM 469,"1305, April 13","",1305-04-13,"",Document
2444,grant,HCM,386,,HCM 386,"1305,  Wednesday next after the Feast of the Finding of the Holy Cross [May 5].","",1305-05-05,"",Document
2445,grant,HCM,1751,,HCM 1751,"1305,  Saturday next after the Feast of the Holy Trinity [June 19]","",1305-06-19,"",Document
2446,grant,HCM,1581,,HCM 1581,"1306,  Saturday,  the morrow of the Feast of St. John the Baptist [June 25]","",1306-06-25,"",Document
2447,grant,HCM,608,,HCM 608,"1307,  Tuesday next after the Feast of St. Nicholas [December 12]","",1307-12-12,"",Document
2448,grant,HCM,1732,0801,RBLR 0801,1308-1309 [*],"1308-1309; ""early 14th century"" per typescripte",1308-01-01,1309-12-31,Document
2449,grant,HCM,593,,HCM 593,"1307/8,  the Feast of St. Gregory the Pope [March 12","",1308-03-12,"",Document
2450,grant,HCM,119,,HCM 119,"1308,  Monday next before the Feast of  St. Luke the Evangelist [October 14].","",1308-10-14,"",Document
2451,grant,HCM,28,0802,RBLR 0802,1308.10.21,"1308,  Monday next after the Feast of St. Luke the Evangelist [October 21].",1308-10-21,"",Document
2452,grant,HCM,405,,HCM 405,"1308,  Thursday the eve of St. Nicholas [December 5].","",1308-12-05,"",Document
2453,grant,HCM,680,,HCM 680,"1310,  Sunday next after the Feast of St. Giles the Abbot [September 6]","",1310-09-06,"",Document
2454,grant,HCM,700,,HCM 700,"1311,  Saturday the Feast of St. Dionysius [October 9].","",1311-10-09,"",Document
2455,grant,HCM,1752,,HCM 1752,"1311/2,  Saturday next before the Feast of St. Hilary [January 8]","",1312-01-08,"",Document
2456,grant,HCM,773,,HCM 773,"1311/2,  Saint Valentine's day [February 14].","",1312-02-14,"",Document
2457,grant,HCM,207,,HCM 207,"1312,  Tuesday the Feast of St. Mark the Evangelist [April 25]","",1312-04-25,"",Document
2458,grant,HCM,2874,,HCM 2874,"1312,  Sunday next after the Feast of All Saints [November 5]","",1312-11-05,"",Document
2459,grant,HCM,174,,HCM 174,"1312,  Tuesday the morrow after the Feast of St. Leonard the Abbot [November 7].","",1312-11-07,"",Document
2460,grant,HCM,17,1303,RBLR 1303,1313.10.23,"",1313-10-23,"",Document
2461,grant,HCM,2876,,HCM 2876,"1313/4,  February 10","",1314-02-10,"",Document
2462,grant,HCM,1311,,HCM 1311,"1314,  Wednesday,  April 10","",1314-04-10,"",Document
2463,grant,HCM,14,1403,RBLR 1403,1314.6.1,"",1314-06-01,"",Document
2464,grant,HCM,678,,HCM 678,"1314, October 14","",1314-10-14,"",Document
2465,grant,HCM,50,,HCM 50,"1314,  Friday the Feast of St. Luke the Evangelist [October 18].","",1314-10-18,"",Document
2466,grant,HCM,2059,,HCM 2059,"1314,  the Feast of St. Quintin the martyr [October 31], GRANT","",1314-10-31,"",Document
2467,grant,HCM,1768,,HCM 1768,"1314,  Wednesday next after the Feast of St. Katherine,  virgin and martyr [November 27]","",1314-11-27,"",Document
2468,grant,HCM,117,1404,RBLR 1404,1314.12.26,"",1314-12-26,"",Document
2469,grant,HCM,2096-em,,HCM 2096-em,18 May 1315,"",1315-05-18,"",Document
2470,grant,HCM,1247,,HCM 1247,"1315,  Sunday next after the Feast of St. Peter Apostle called ad Vincula [August 3]","",1315-08-03,"",Document
2471,grant,HCM,201,,HCM 201,"1315,  October 11.","",1315-10-11,"",Document
2472,grant,HCM,1529,,HCM 1529,"1315,  October 12.","",1315-10-12,"",Document
2473,grant,HCM,26,1601,RBLR 1601,1316.2.21,"",1316-02-21,"",Document
2474,grant,HCM,564,,HCM 564,"1315/6,  Monday next after the Feast of St. Matthias the Apostle [March 1]","",1316-03-01,"",Document
