[1306.9.29]	HCM R352 (C&E AR p39)		y/Y/Y
[1333.9.29]	HCM R418 (C&E AR p47) 		N/Y (tab.)
[1333.11.20]	BWRS 587 p151 
[1333.3.17]	HRCh p29 (f.9)			V Rough (abs.)/Y
[1334.1.20]	WinRO p??? (f.?) 		y/N
[1334.1.27]	WinRO p??? (f.?)		y/N
[1334.1.30]	WRO 934 II (f.53v)		Y (abs./tab.)/Y
[1334.1.30]	WRO 182			Y (abs.)/Y
[1334.1.30][?]	WRO 182 I (f.28) 		Y (abs./tab.)/Y
[1334.4.24]	WRM 44 p8 (I, f.5v)		Y (abs.)/Y
[1334.9.15]	WRM 903 p202-203 (II, f.3v)		Y (abs.)/Y
[1334.9.29]	HCM R419 (C&E AR p47) 		N/Y (tab.)
[1335.9.29]	HCM R420 (C&E AR p48) 		N/Y (tab.)
[1335.12.1]	WRM 1121 p276-77 (II, f.45)[*][***] 	N/Y
[1335.8.31]	WRM 1081 p250-51 (II, fol. 34)	N/Y
[1336.4.15]	CPR 1334-38, p247 (memb.26) 	Y/Y
[1336.4.15]	CPR 1334-38, p247 (memb.26) 	Y/Y	
[1336.5.16]	HRCh p81 (f.xlvii) 		N/Y (tab.)
[1336.9.29]	HCM R421 (C&E AR p48) 		N/Y (tab.)
[1336.10.8]	HRCh p81 (f.?) 			N/Y (tab.)
[1336.10.9]	HRCh p81 (f.?)			N/Y (tab.)
[1336.12.23]	CPR 1334-38, p341 (memb.11) [*][**]	Y/Y
[1337.1.12]	CPR 1334-38, p349 (memb.4) 	Y/Y
[1337.2.6]	HCM 1068 (C&E p909) [**]		Y (trans.)/Y
[1337.3.10]	CPR 1334-38, p398 (memb.28) [**?] 	N/Y
[1337.9.29]	HCM R422 (C&E AR p48) 		N/Y (tab.)
[1337.12.30]	CPR 1334-38, p561 (memb.10)		N/Y
[1338.10.8-9]	HRCh? [ms not printed?]		y/
[1338.9.29]	HCM R423 (C&E AR p48) 		N/Y (tab.)
[1339.2.24]	WRB 19 (p4)(f.2v) 		Y (trans.)/Y
[1339.3.5]	WRB 18 (p4) ***			N/Y
[1339.4.24]	WRB 2 (p2) ***			N/Y
[1339.5.16]	HRCh? [ms]
[1339.9.29]	HCM R424 (C&E AR p48) 		N/Y (tab.)	
[1339.10.30]	HRCh p81 (f.xlvii) 		y/Y
[1340.2.16]	HRCh p81 (f.xlvii) 		y/Y
[1340.3.13]	HRCh p81 (f.xlvii-b) 		y/Y
[1340.4.15]	HCM 1069 (C&E p919)		Y (trans.)/Y
[1340.5.14]	WRB 300 (p64) 		N/Y
[1340.9.29]	HCM R425 (C&E AR p48) 		N/Y (tab.)
[1340.9.20]	HRCh p84 			y/
[1341.8.5]	HRCh p82 (f.?)			y/Y (tab.)
[1341.9.29]	HCM R426 (C&E AR p48) 		N/Y (tab.)
[1342.4.5]	HCM 1070 (C&E p925)		Y (trans.)/Y
[1342.4.9]	HCM 3163 (C&E p925)		Y (trans.)/Y
[1342.4.14]	HCM 1071 (C&E p926)		Y (trans.)/Y
[1342.9.29]	HCM R427 (C&E AR p48) 		N/Y (tab.)
[1343.6.19?][7.13?]	CPL III p99 fol47d  [same doc as next?]	y/Y
[1343.7.13][?]	CPPet i p57 (f.62) [same doc as prev?	y/N
[1343.8.18]	HCM 1377 (C&E p931)		Y (trans.)/Y
[1343.9.29]	HCM R428 (C&E AR p48) 		N/Y (tab.)
[1344.3.31]	HRT p1-2 (f.1)			Y (Abs/trans.)/Y
[1344.3.31]	HRT p2 (f.1rv)			Y (Abs/trans.)/Y
[1344.3.31]	HRT p2-3 (f.1v) 			Y (Abs/trans.)/Y
[1344.3.31]	HRT p3-4 (f.1v) 			Y (Abs/trans.)/Y
[1344.3.31]	HRT p4 (f.1v) 			Y (Abs/trans.)/Y
[1344.4.8]	HRT p9-10 (f.3)			Y (Abs/trans.)/Y
[1344.4.22]	HRT p15-16 (f.4rv)		Y (Abs/trans.)/Y
[1344.5.2]	HRT p6-9 (fol2rv)		Y (Abs/trans.)/Y
[1344.9.29]	HCM R429 (C&E AR p48) 		N/Y (tab.)
[1345.5.14]	HRT p53-54 (f.66v-67) 		Y (Abs/trans.)/Y
[1345.5.14] [?1343]	HRT p53 (f.66v) 		N?/Y
[n.d.; >1345.7.18]	HRT  p73-75 (f.72) **		Y (Abs/trans.)/Y
[1345.7.18?]	HRT p?? (f.65v[?]), 
[n.d.; >1345.7.18]	HCM 1378 (C&E p934-35)		Y (trans.)/Y
[1345.9.4]	HRT p55 (f.67) [*][**?] 		N/Y
[1345.9.29]	HCM R430 (C&E AR p48)		N/Y (tab.)
[1346.4.1]	CFR vol V, 1337-1347, pp. 463-4, memb 24	y/N
[1346.4.22]	HRT fol 4ab			y/N
[1346.8.3]	HRT p77 (f.72v)[**]		N/Y
[1346.9.1]	HCM 360			Y/N
[1346.9.29]	HCM R431 (C&E AR p48) 		N/Y (tab.)
[1346.10.12]	HRT p88-89 (f.75b)		Y (Abs/trans.)/Y
[1346.10.12]	HRT p89 (f.75b) 		Y (Abs/trans.)/Y
[1346.10.13]	HRT p89-90 (f.76r)		Y (Abs/trans.)/Y
[1347.1.8]	HCM 1072 (C&E p945)		Y (trans.)/Y
[1347.2.11]	HRT p108 (f.81) 			Y (Abs/trans.)/Y
[1346.4.1]	CatFineRolls V (1337-47), p463-65, memb.24 N/Y
[1346.9.1][?1346/7]	HCM 360 (C&E p941)
[1347.6.5]	HCM 3191 (C&E p946)		Y (trans.)/Y
[1347.11.16]	HCM 2927 (C&E p950)		Y (trans.)/Y
[1347.x.x][?]	HCM 1925 (C&E p944)		Y (trans.)/Y
[1348.1.19]	HRT p123-24 (f.85rv) [**]		N/Y
[1348.1.30]	WRB 901 (p154) [nb 8.139]		Y (Abs/trans.)/Y
[1348.4.7]	WRB 902 (p154) [nb 8.139]		Y (Abs/trans.)/Y
[1348.4.7]	WRB 904 (p154) [cf. Table p394] 	Y (table)/Y
[1348.4.13]	ERL [per RMH letter]		y/N
[1348.4.28]	HRT p130 (f.88) [**]		N/Y
[1348.6.5]	HRT p133-35 (f.89-90)		N/Y
[1348.7.6]	HRT p135 (f.90) [**] 		y/Y
[1348.8.17]	ERL [nb 16.87; per RMH]		y/N
[1348.12.1][?]1350oct?]	HRT p136-37 (f.90v) 		Y (Abs/trans.)/Y
[1349.3.6]?	CPPet p152 (fol262d) 
[1349.7.12]	HRT p377 (f.?) [*] [not RB move?]	Y (Abs/trans.)/y
[1349.6.8]	HRT? HCM?  [*?]			y/N
[1349.9.29]	HCM R432 (C&E AR p49) 		N/Y (tab)
[1350.4.7?]	CPPet  i (fol39), nb 8.186	
[1350.5.10]?4 Ides May]	CPL III p397 (f.155d) [cf CPPet i.208] [er, 4 Ides May=5.12.1350?]
[1350.9.20]?5IdesSept]	CPPet p205 (f.146) nb 8.187) [er, 5 Ides Sept=9.9.1350
[1350.9.29]	HCM R432 (C&E AR p49) 		N/Y (tab.)
[1350.11.20]	ERL 
[1350.8.x][?1340octavo]HRT p136-37 (f.?) 
[1351.2.20]	ERL f.38 
[1351.5.4]?4IdesMay	CPL III p397 (f.155d) 		N/Y
[1351.7.9]	CPR 1350-54, p148 [* prov. Hunderton] 	N/blurry
[1351.8.4]	CPPet I, p218 (f.93d) 
[1351.9.29]	HCM R432 (C&E AR p49) 		N/Y (tab.)
[1356.11.10]	HRT p244-245 (f.126a)	 	Y (Abs/trans.)/Y
[1361.12.22]	HCM 1448 (C&E p998)		Y (trans.)/Y		
