Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 1116,HCM 1116,ACKNOWLEDGEMENT,Hereford Castle,Documented,1346-12-16T00:00:00Z,,"1346,  Saturday next before the Feast of Saint Thomas the Apostle | December 16]",,the cestle of Hereford.,,"1346, Saturday next before the Feast of Saint Thomas the Apostle | December 16], ACKNOWLEDGEMENT"
HCM 1157,HCM 1157,MEMORANDUM,(Hereford Castle),Suggested,1286-02-04T00:00:00Z,,"1285/6,  Mondey next after| the Feast of the Purification of the Blessed Mary February 4",,,"memo by Sherriff of H, re $$ from Hereford Chapter to London New Temple","1285/6, Mondey next after| the Feast of the Purification of the Blessed Mary February 4,, MEMORANDUM"
HCM 1169,HCM 1169,GRANT,Llanthony Prima Priory Monmouthshire,Documented,1316-07-16T00:00:00Z,,"1316,  July 16",,Lanthon' aforesaid.,,"1316, July 16, GRANT"
HCM 1172,HCM 1172,GRANT,le Wall' (nr St Bride's Wentloog),Documented,1353-10-27T00:00:00Z,,"1353,  Sunday next before the Feast of the Apostles Simon and-Jude (Oetober 27)",,le wali’,"nr St Bride's Wentloog, vicinity of Newport Wales","1353, Sunday next before the Feast of the Apostles Simon and-Jude (Oetober 27), GRANT"
HCM 1173,HCM 1173,AGREEMENT,le Wall' (nr St Bride's Wentloog),Documented,1353-10-27T00:00:00Z,,"1353,  October 27.",,le Wall',,"1353, October 27., AGREEMENT"
HCM 1174,HCM 1174,GRANT,Gloucester,Documented,1285-03-08T00:00:00Z,,"1284/5,  pmeey next before the Feast . of the blessed ory the Pope [March &",,Gloucester (prob Abbey of Gloucester St Peters),March 8,"1284/5, pmeey next before the Feast . of the blessed ory the Pope [March &, GRANT,"
HCM 1175,HCM 1175,SETTLEMENT,(chapter-house at Hereford),Suggested,1323-11-19T00:00:00Z,,"1323,  13 hal. December | November 19.",,,"settlement between D&C & canon, brokered by another canon|but could be Avignon?","1323, 13 hal. December | November 19., SETTLEMENT"
HCM 1179,HCM 1179,GRANT,Preston Gloucestershire,Documented,1346-03-26T00:00:00Z,,"1346,  Sunday next after the Feast of the .   Annunciation of the Blessed wary [March 26]",,Preston,"village/manor in Forest of Dean, Gloucs., nr Herefords. border, 4 km S of Ledbury; disambiguate from Preston on Wye, Preston Court?","1346, Sunday next after the Feast of the .   Annunciation of the Blessed wary [March 26], GRANT"
HCM 119,HCM 119,GRANT,Hereford,Documented,1308-10-14T00:00:00Z,,"1308,  Monday next before the Feast of  St. Luke the Evangelist [October 14].",,Hereford,,"1308, Monday next before the Feast of  St. Luke the Evangelist [October 14]., GRANT"
HCM 1193,HCM 1193,RELEASE,Aylestone nr Atherstone,Documented,1318-04-27T00:00:00Z,,"1318,  Thursday next before the Feast of . the Apostles Phillip and James {April 27]",,Aylnaston,"Aylestone = School, Court, ward in or nr Hereford? or is this Aylestone nr Leicester","1318, Thursday next before the Feast of . the Apostles Phillip and James {April 27], RELBASE"
HCM 1194,HCM 1194,GRANT,Aylestone nr Atherstone,Documented,1329-06-04T00:00:00Z,,"1329,  Sunday next after the Feast of the ,   Ascension of the Lord |June 4].",,Aylestone.,Aylnaston' (aka Aylestone) nr Atherstone,"1329, Sunday next after the Feast of the ,  Ascension of the Lord |June 4]., GRANT"
HCM 1200,HCM 1200,GRANT,Clehonger Herefordshire,Documented,1301-09-21T00:00:00Z,,"1301,  Thursday? after the Exaltation of ,   the Holy Cross | ?September 21",,Clehangre,,"1301, Thursday? after the Exaltation of ,  the Holy Cross | ?September 21, GRANT"
HCM 1221,HCM 1221,GRANT,Clehonger Herefordshire,Documented,1336-04-26T00:00:00Z,,"1336,  Friday next after the Feast of St. Mark Evangelist | April 26].",,Clehungur.,,"1336, Friday next after the Feast of St. Mark Evangelist | April 26]., GRANT"
HCM 1228,HCM 1228,GRANT,(Clehonger Herefordshire),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,lands at & witnesses of Clehonger,"circa 1300, GRANT"
HCM 123,HCM 123,GRANT,Hereford,Documented,1318-06-15T00:00:00Z,,"1318,  Thursday next after the Feast of ,   St,  Bernabas the Apostle |June 15].",,Hereford,,"1318, Thursday next after the Feast of ,  St, Bernabas the Apostle |June 15]., GRANT"
HCM 1246,HCM 1246,GRANT,(Research),Uncertain,1331-12-17T00:00:00Z,,"1331,  smoeiey next before the Feast of St. Thomas Apostle | December 17]",,,lands in domain of Richard Penebrugge; search also in docs by scribe Hugh the Clerk?,"1331, smoeiey next before the Feast of St. Thomas Apostle | December 17], GRANT"
HCM 1247,HCM 1247,GRANT,Hampton Bishop Herefordshire,Documented,1315-08-03T00:00:00Z,,"1315,  Sunday next after the Feast of St. Peter Apostle called ad Vincula [August 3]",,Homptone,presumably = Hampton Bishop?,"1315, Sunday next after the Feast of St. Peter Apostle called ad Vincula [August 3], GRANT"
HCM 1249,HCM 1249,LEASE,Hampton Bishop Herefordshire,Documented,1350-06-06T00:00:00Z,,"1350,  June 6.",,Hompton' Bishop,,"1350, June 6., LEASE"
HCM 125,HCM 125,RELEASE,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,land in (Pipewellestrete) & witnesses from Hereford,,"Late 13th. century!, RELEASE"
HCM 126,HCM 126,GRAIT,(Hereford),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,Lsirca 1300.,approx,land in (Middeldich) and witnesses from (Widemarshmore) Hereford vicinity,GRANT,"Lsirca 1300., GRAIT i"
HCM 1260,HCM 1260,GRANT,Holme Lacy Herefordshire,Documented,1322-05-23T00:00:00Z,,"1522,  Sunday next after the Feast of St. ,   Bthelbert king and martyr |iiay 23].",,Homme Lacy,1322,"1522, Sunday next after the Feast of St. ,  Bthelbert king and martyr |iiay 23]., GRANT o"
HCM 1264,HCM 1264,RELEASE,Hereford,Documented,1306-05-25T00:00:00Z,,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]",,Hereford,,"1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE"
HCM 1265,HCM 1265,RELEASE,Hereford,Documented,1306-05-25T00:00:00Z,,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]",,Hereford,,"1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE"
HCM 1266,HCM 1266,RELEASE,(Norton Canon Herefordshire),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people from Norton Canonicorum,"Late 13th. century, RELEASE,"
HCM 1271,HCM 1271,RELEASE,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people from Hereford,"Late 13th century, RELEASE"
HCM 1274,HCM 1274,GRANT in fee-farm,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people from Hereford (maybe Breynton?),"Late 13th. century, GRANT in fee-farm,"
HCM 1276,HCM 1276,GRANT,(Preston-on-Wye Herefordshire),Suggested,1300-01-01T00:00:00Z,1350-12-31T00:00:00Z,First half 14th century.,approx,,"land in Preston-iuxta-Mockas (i.e. Preston nr Moccas, both on River Wye)","First half 14th century., GRANT"
HCM 1277,HCM 1277,GRANT,(Preston-on-Wye Herefordshire),Suggested,1300-01-01T00:00:00Z,1350-12-31T00:00:00Z,First half 14th century.,approx,,"land in Preston-iuxta-Mockas (i.e. Preston nr Moccas, both on River Wye)","First half 14th century., GRANT"
HCM 1281,HCM 1281,RELEASE,Hereford,Documented,1306-05-25T00:00:00Z,,"1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]",,Hereford,,"1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE"
HCM 1287,HCM 1287,RELEASE,Hereford,Documented,1298-02-27T00:00:00Z,,"1297/8,  Thursdsy next after the Feast of St. Mathies,  Apostle {February 27]",,Hereford,,"1297/8, Thursdsy next after the Feast of St. Mathies, Apostle {February 27], RELEASE"
HCM 1292,HCM 1292,GRANT in frank almoign,(Breinton),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,land in & people of Chirchebreynton & Hereford,"Late 13th. century, GRANT in frank-almoign"
HCM 1300,HCM 1300,GRANT,Hereford,Documented,1337-12-01T00:00:00Z,,"1337,  onday next after the Feast of ,   Saint Andrew the Apostle |December 1]",,dereford,,"1337, onday next after the Feast of ,  Saint Andrew the Apostle |December 1], GRANT"
HCM 1306,HCM 1306,RELEASE,Diddlebury Shropshire,Documented,1323-03-07T00:00:00Z,,"1522/3,  tioniey next before the Feast of ,   Saint Gregory the Pope |March 7].",,Dudelebury,"1322/3, RELEASE|Diddlebury, Shropshire (8 mi N of Ludlow)","1522/3, tioniey next before the Feast of ,  Saint Gregory the Pope |March 7]., RELZASE"
HCM 1311,HCM 1311,GRANT,Oystermouth Castle,Documented,1314-04-10T00:00:00Z,,"1314,  Wednesday,  April 10",,Ostrem',"Ostrem' = Oystermouth Wales, prob Oystermouth Castle (seat of De Braose family), Gower, nr Swansea","1314, Wednesday, April 10, GRANT"
HCM 1312,HCM 1312,GRANT,Oystermouth Castle,Documented,1302-04-24T00:00:00Z,,"1302,  April 24.",,Ostrem',,"1302, April 24., GRANT f"
HCM 1313,HCM 1313,GRANT in fee-farm,Morgan,Documented,1311-04-30T00:00:00Z,,"1311,  Friday in the Vigil of the Feast of the Apostles Philipp and James [April 30]",,Morgan,lands in Swansea (castle & town); Morgan Street?,"1311, Friday in the Vigil of the Feast of the Apostles Philipp and James [April 30], GRANT in fee-farm"
HCM 1314,HCM 1314,GRANT in fee-farm,(Breinton),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,lands in & people of Breinton (and Hereford),"Late 13th. century, GRANT in fee-farm,"
HCM 1320,HCM 1320,CONSENT,(Salisbury Bishop's Palace),Suggested,1320-11-04T00:00:00Z,,"1320,  2 Non,  November |November 4.",,,confirmation by Bp of Salisbury w/ref to D&C of Salisbury,"1320, 2 Non, November |November 4., CONSENT"
HCM 1320-em,HCM 1320-em,APOSTOLIC LETTER,Avignon,Documented,1319-01-01T00:00:00Z,1320-12-31T00:00:00Z,fourth year of the Pontificate of John |XXTI\ (1519/20),fourth XXTI\ (1319/20,ee 9 mass,(printed in Capes),"letters, fourth year of the Pontificate of John |XXTI\ (1519/20)"
HCM 1322,HCM 1322,BOND,Reading Abbey,Documented,1349-12-21T00:00:00Z,,"1349,  the Feast of Saint Thomas the Apostle LDecember 21j",,Radyng',,"1349, the Feast of Saint Thomas the Apostle LDecember 21j, BOND"
HCM 1327,HCM 1327,LETTERS PATENT,Nottingham Castle,Documented,1327-11-05T00:00:00Z,,"1327,  November 5",,Notyngham,"probably Nottingham Castle, important fortress and occasional royal residence in MAs","1327, November 5., LETTERS PATENT"
HCM 1329,HCM 1329,GRANT,Nottingham Castle,Documented,1327-10-26T00:00:00Z,,"1327,  October 26.",,Notyngham,"Nottingham prob = Nottingham Castle, important fortress and occasional royal residence in MAs","1327, October 26., GRANT"
HCM 1333,HCM 1333,COVENANT,chapter-house at Hereford,Documented,1322-02-23T00:00:00Z,,"1321/2,  epee the Feast of St. Milburga the Virgin | February 23].",,chapter-house st Hereford,,"1321/2, epee the Feast of St. Milburga the Virgin | February 23]., COVENANT"
HCM 1334,HCM 1334,AGREEMENT,(chapter-house at Hereford),Suggested,1325-01-01T00:00:00Z,1375-12-31T00:00:00Z,mid 14th century,mid 14th century,,"parties = Bp, D&C of H, & dominicans of H","Mid 14th century., AGREEMENT"
HCM 1335,HCM 1335,LETTER,(chapter-house at Hereford),Suggested,1325-01-01T00:00:00Z,1375,mid 14th century,?mid 14th century,,letter from D&C of H,"?mid 14th century., LETTER"
HCM 1336,HCM 1336,SUMMARY,(chapter-house at Hereford),Suggested,1325-01-01T00:00:00Z,1375,?mida 14th century.,?mid 14th century,,summary of evidence pertaining to two prev HCMs,"?mida 14th century., SUMMARY"
HCM 1337,HCM 1337,NOTARIAL INSTRUMENT,chapter-house at Hereford,Documented,1338-06-03T00:00:00Z,,"1338,  June 3",,the chepter—place of the cathedral church of Hereford,,"1338, June 3,, NOTARIAL INSTRUMENT"
HCM 1339,HCM 1339,INSPEXIMUS,Orvieto Italy,Documented,1282-11-05T00:00:00Z,,"1282,  Non. November November 5.",,Orvietos,"candidate for making into two documents: HCM 1339 dating 1282, and another contained w/in dating 1273 at Orvieto by notary J de Frebis|but since 1273 = earlier than our parameters anyway, never mind?","HCM 1339, 1282, Non. November November 5., INGPEXIMUS"
HCM 1351,HCM 1351,DUPLICATE,chapter-house at Hereford,Documented,1322-02-23T00:00:00Z,,,,,of HCM 1333,COPY
HCM 1366,HCM 1366,LETTER,Thame Abbey,Documented,1317-08-22T00:00:00Z,,"1317,  11 Kal. September [August 22]",,Thame,"Thame = presum Thame Abbey, freq host to AO en route to/from London","1317, 11 Kal. September [August 22], LETTER"
HCM 1366-em,HCM 1366-em,WRIT,(Research),Uncertain,1317-08-01T00:00:00Z,,first day of August 1317,,(wherever Ed II was on 8.1.1317),(embedded doc) = writ of Ed II (Westminster?--wherever Ed II was on 8.1.1317),"writ, first day of August 1317,"
HCM 1367,HCM 1367,LETTER,Evesham Abbey,Documented,1317-09-17T00:00:00Z,,"1317,  September 17",,Evesham,AO itin = at Evesham = presum Evesham Abbey,"1317, September 17, LETTER"
HCM 1367-em,HCM 1367-em,WRIT,(Research),Uncertain,1317-08-31T00:00:00Z,,31 August 1317,,(wherever Ed II was on 8.31.1317),"(embedded doc), (embedded doc)","writ, 31 August 1317"
HCM 1368,HCM 1368,LETTER,Highbury nr London,Documented,1317-11-26T00:00:00Z,,"1317,  November 26",,Heibur' near London,poss residence of Bartholomew de Badlesmere?,"1317, November 26,, LETTER"
HCM 1369,HCM 1369,LETTER,Highbury nr London,Documented,1318-06-10T00:00:00Z,,"Probably 1318|,  June 10",,Heibur' near London,Probable date,"Probably 1318|, June 10,, LETTER"
HCM 1370,HCM 1370,RELEASE,Hereford,Documented,1319-07-29T00:00:00Z,,"1319,  Sunday next after the Feast of ,   Saint James the apostle {July 29].",,Hereford,,"1319, Sunday next after the Feast of ,  Saint James the apostle {July 29]., RELGASE"
HCM 1371,HCM 1371,RECEIPT,Dover,Documented,1320-07-26T00:00:00Z,,"1320,  July 26.",,Dover,"1320, RECEIPT; question mark after Dover in typescript","1520, July 26., RECEIPL"
HCM 1372,"RBLR 2003, HCM 1372",LETTER,Lambeth Palace,Documented,1320-07-31T00:00:00Z,,"1320,  2 Kal. August |July 31|.",,Lambeth,"presum = Lambeth Palace, since letter from Archbp","1320, 2 Kal. August |July 31|., LETTER"
HCM 1373,HCM 1373,"A SERIES OF EIGHT DOCUMENTS,  QUOTATIONS,  FURTHER COMMENTS,  . EXTRACT,  FURTHER COMMENT,  DEPOSITIONS of witnesses,  As for E,  FURTHER STATEMENT,  As for G.",(Research),Uncertain,1322-01-01T00:00:00Z,1324-12-31T00:00:00Z,Lgirea 1322-1324.,approx,,"circa ; we should examine the original to determine WHO these deposed witnesses are, DEPOSITIONS of witnesses, FURTHER STATEMENT","Lgirea 1322-1324., A SERIES OF EIGHT DOCUMENTS, QUOTATIONS, FURTHER COMMENTS, . EXTRACT, FURTHER COMMENT, DEPOSITIONS of witnesses, As for E, FURTHER STATEMENT, As for G."
HCM 1374,HCM 1374,RECEIPT,Hereford,Documented,1325-04-12T00:00:00Z,,"1325,  April 12.",,Hereford,,"1325, April 12., RECEIPT"
HCM 1375,"RBLR 2901, HCM 1375",AGREEMENT,Bredon Bishops Manor Worcestershire,Documented,1329-07-15T00:00:00Z,,"1329,  Saturday,  duly 15.",,Bredon,July 15,"1329, Saturday, duly 15., AGREEMENT"
HCM 1376 A,HCM 1376 A,LEASE,Winchester,Documented,1339-02-07T00:00:00Z,"
","1338/9,  February 7-13.",1339-02-13T00:00:00Z,Winchester|Hereford,"please add/create a second document (HCM 1376A? or call one 1376A and the other 1376B?) using same text, since there are two dates given (Fewb 7 and Feb 13) and two given ats (Winchester, then Hereford) for different signees","HCM 1376, 1338/9, February 7-13., LEASE"
HCM 1376 B,HCM 1376 B,LEASE,Hereford,Documented,1339-02-13T00:00:00Z,,,,,"please add/create a second document (HCM 1376A? or call one 1376A and the other 1376B?) using same text, since there are two dates given (Fewb 7 and Feb 13) and two given ats (Winchester, then Hereford) for different signees",
HCM 1377,"RBLR 4303, HCM 1377",GRANT,Hereford,Documented,1343-08-18T00:00:00Z,,"1343,  Monday next after the Feast of the   Assumption of the blessed Virgin Mary L August 18]",,Hereford,,"1343, Monday next after the Feast of the   Assumption of the blessed Virgin Mary L August 18], GRANT"
HCM 1378,HCM 1378,MEMORANDUM,(Farnham Castle Surrey),Suggested,1345-01-01T00:00:00Z,1345-12-31T00:00:00Z,circa 1345,approx,,aftermath of death of Adam Orleton at Farnham in 1345,"circa 1345, MEMORANDUM"
HCM 1378-em1,HCM 1378-em1,BOND,Sugwas Court Herefordshire,Documented,1318-03-26T18:09:24Z,,twenty-seventh day of Mareh in the year 1318,,“are,"(embedded doc 1), (embedded doc 1)","twenty-seventh day of Mareh in the year 1318, bond"
HCM 1378-em2,HCM 1378-em2,BOND,Shinfield Berkshire,Documented,1320-02-01T00:00:00Z,,first day of February in the year 1319/20,,Shenyngfeld,(embedded doc 2)|diocese of Salisbury,"first day of February in the year 1319/20, bond"
