Id	Node Type	Person_Named by	Person_Job	COMMENTS
Henry le Forester de Corston'	Person		parishioners	
Henry le Waleys	Person			
Henry le Waleys de Magna Marcleye	Person			
Henry le Yonge	Person			
Henry Nasard	Person			King's merchant
Henry the dyer	Person			
Herbert	Person			
Herbert atte Mulle	Person			
his parents	Person	Collective		that is, the parents of Hugh de Brehousa
his servant	Person	Office		that is, the servant of Richard Hervy
Howel vab	Person			
Hugh	Person			
Hugh Bade	Person			
Hugh called le Schipward	Person			
Hugh de Brehousa	Person		penitentiary in the church of St. Ethelbert of Hereford	
Hugh de Breusa	Person			
Hugh de Breynton	Person		substitute proctor of Bartholomew the scribe of Hereford,	
Hugh de Bromfeld	Person			
Hugh de Browse	Person		penitentiary of the church of Hereford	
Hugh de Lanton	Person			
Hugh de Monyton	Person			
Hugh de Sothynton	Person			
Hugh de Thornhagh	Person		notary public,	clerk of the diocese of York, notary public
Hugh de Wormele	Person			
Hugh de Wygorn	Person			
Hugh Hakelute	Person		he church of Byford�	
Hugh Iues	Person			aka Hugh Ives
Hugh le Rede	Person			
Hugh le Schypward	Person			
Hugh le Shipward	Person			
Hugh Leuioth	Person			
Hugh Odierne	Person			
Hugh Putteleye	Person			
Hugh Rondulf	Person			
Hugh son of Hugh Trone de Hereford	Person			
Hugh son of Philip	Person			
Hugh son of William le Stedemon de Ros, clerk	Person		clerk	
Hugh the wheel-wright (rotar'), chaplain	Person			
Hugh Troue	Person		citizens	
Ievan ap Howel Vachan	Person			
Ioelus de Herte launde	Person			
Isabella	Person			
Isabel wife of the said William	Person			that is, Isabel (de Thornbury?), wife of William (de Thornbury?) the brother of Walter de Thornbury
Ivellus de Hertlannde	Person			
J., dean	Person		dean	John de Aqua Blanca, Dean of Hereford
J. de Sandale	Person			John de Sandale?
J[ohn], dean, and chapter of the church of St. Ethelbert of Hereford	Person	Collective		
J[ohn de Monmouth], bishop of Llandaff	Person		bishop of Llandaff,	
James de Berkeley	Person		proctor of Richard, bishop of Herefor	
James de Henle	Person		canons of the cathedral church of Hereford	aka Henley
James de Henle, rector of the church of Ros	Person			
John	Person			John de Bristol
John, abbot	Person			John, Abbot of the convent of St Peter's, Gloucester
John, bishop of Llandaff	Person			
John, dean	Person		dean	John de Aqua Blanca, Dean of Hereford
John, dean of the church of Hereford	Person			
John, prior, and convent of Wenlok	Person			
John, prior of the cathedral church of Worcester	Person		fellow-monk	
John, rector of the church of Penbray	Person		rector of the church of Penbray	
John [of Monmouth]	Person			
John | son of] John de Fontyton	Person		notary public	
John Alkin	Person			
John Arewy	Person			
John ate crose	Person			
John atte Mulle	Person			
John Bardulf	Person		vicar of the church of Lugwardyn	
John Barwe	Person			
John Batun	Person			
John Bele	Person			
John Bele de Wydyngdon	Person			
John be Torbervile, knight	Person			
John Bibel	Person			
John Bordulf', perpetual vicar of the church of Lugwardin	Person			
John Boter	Person			
John Bouhs	Person			John Bouhs
John Broche	Person			
John called Batun	Person			
John called le Schypwerd	Person			
John Cayss	Person			
John Crok	Person			
John de Acle	Person		chaplain	
John de Almalia	Person		clerk of the diocese of Hereford and notary public	
John de Aqua Blanca	Person		dean of the church of Hereford	
John de Aqua Blanca, dean of the church of St, Ethelbert of Hereford	Person			
John de Aqua Blank', dean	Person		dean	John de Aqua Blanca, Dean of Hereford
John de Badeschawe	Person			
John de Banwelle	Person			
John de Barewe	Person			
John de Bordesleye	Person			
John de Braunford	Person			
John de Bristoll	Person			
John de Bromfeld	Person		clerks	
John de Bromfeld', clerk	Person			
John de Brompton	Person			
John de Brugge	Person			
John de Bureford	Person		sureties to the said bishop, dean and chapter	
John de Catfeld	Person		clerks of the diocese of Hereford	
John de Cherlton	Person		his proctor	
John de Clere	Person			
John de Clyntone	Person			
John de Colonia	Person		clerks	
John de Comberton	Person			
John de Credeleye	Person			
John de Dudeleye	Person			
John de Fontyton	Person			
John de Grene	Person			
John de Gyse called le Butmynges	Person			
John de Holeford	Person			
John de Homptone	Person			
John de Kemes	Person		treasurer of Hereford	
John de Kemeseye	Person		treasurer of Hereford	
John de Kemesynge	Person			
John de la Barewe	Person			
John de la Berne	Person			
John de la Felde	Person		bailiff of the bishop of Herefor	
John de la Hasele	Person			
John de la Hulle	Person			
John de la Maudeleyne	Person			
John de la More	Person			
John de la Pounde	Person			
John de la Sale	Person		Richard de Cruce	
John de Ledeburi	Person		baker	
John de Ledecote	Person		their fellow canon and proctor	
John de Logwardyn	Person			
John de Luwel	Person			
John de M'ndene	Person			
John de Maddeleye	Person		citizens	
John de Punda	Person			
John de Pyon	Person			Former vicar of Nortone
John de Retherwas	Person		citizen of Hereford	
John de Ros	Person		archdeacon of Shropshire in the church of Hereford	John de Ross
John de Ros, archdeacon of Salop	Person		archdeacon of Salop	aka John Ross
John de Sancto Briavello	Person		fellow-monk	
John de Sandale	Person		sureties to the said bishop, dean and chapter	
John de Seuenak	Person			
John de Slindon	Person			
John de Straddel	Person			
John de Swenesfeld	Person		precentor	
John de Swynefeld	Person			precentor of Hereford
John de Teyntone	Person			
John de Turbeuill	Person			
John de Underdoune	Person			
John de Weston	Person			
John de Whitteneye	Person			clerk & proctor for dean and chapter of Hereford
John de Whyteneie	Person			
John de Wormbrugg	Person			
John de Wythynton	Person			
John de Wytteney	Person			
John don’ le Graunt	Person			Medipernor(?)
John Elys	Person			
John Germeyn	Person		his proctor	
John Gille	Person			
John Gorewy	Person		proctors	
John Helle	Person		vicar in the church of Hereford	
John in the Felde	Person			
John Iwayn son of William de Broumia	Person			
John Iweyn	Person			
John le Beyr de Walinton	Person			
John le Blak	Person		laymen	
John le Bole	Person			
John le Bretun	Person		bishop of Hereford	
John le Bretun, formerly bishop of Hereford	Person			
John le Chapmon	Person			
John le Clerk	Person		le Clerk'	
John le Clerk' de Bristoll	Person			
John le Clerk of Colewell	Person			
John le fiuz Hugh Hakelute	Person			
John le fiz John	Person			
John le Gurdlere	Person			
John le leche de Walsned	Person			
John le Mascun	Person			
John le Monk	Person		chaplain	
John le Panyter	Person			
John le Smyth	Person			
John le Sopere	Person		le Sopere,	
John le Werour	Person		chaplain	
John le Werrour, chaplain	Person			
John le Worrour	Person			
John Lightfot	Person			
John Lylie	Person			
John Lythfot	Person			
John Maniword	Person			
John Monyword	Person		citizen of Hereford	
John Nicholas	Person		clerk	
John Noreman	Person			
John Ocche de Hereford	Person			
John Page	Person			
John Penebrugg	Person			
John Peres	Person			
John Polgroyn	Person			
John Pryde	Person		citizens	
John Russel	Person			
Johns	Person			
John son of John the baker	Person		perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford	
John son of Roger de Bruneshope de Hereford	Person			
John son of Roger de Brunsope	Person			
John son of Stephen	Person			
John Spark	Person			
John Speed	Person			
John Steuenes	Person			
John Talebot	Person		executors of the will of magister Philipp Talebot	
John the baker	Person		the bake	
John Throm	Person			
John Toky	Person			
John Toppe	Person		incumbent de facto	
John Vanne	Person		sureties to the said bishop, dean and chapter	
John Ville	Person			
John Vyncent	Person			
John Whyteneye	Person		rent-collector of the said dean and chapter in Hereford	
John Wyn	Person			
John Yewan	Person			
Jordan de Hingham	Person			
King's justices	Person	Collective		
King Edward II	Person			
Lambert de Trikingham	Person			
late treasurer and prebendary of Berton’	Person	Office		
Laurence brother of the said John	Person			that is, brother of John son of Stephen
Laurence son of Phillip son of Stephen	Person			
Ledbury	Person			
Lewelin ap Oweyn	Person			"brother to Willym and Gruffith? (""ap"" = ""son of"" in Welsh?)"
Licent ' de Morgan	Person		the true patron of the church	
Lincoln	Person			John Dalderby (?) was Bishop of Lincoln 1300-1320
Lucia le Shipward'	Person			
Lucy	Person			that is, Lucy (le Park?), mother of Phillip son of Robert le Park
Lucy (Lutia) grantor's mother	Person			that is, Lucy or Lutia le Park, mother of Phillip son of Robert le Park
Lugg	Person			
Luke de Bergeueni	Person			
Mael ap Wastewy	Person			
magister	Person	Office		
many others	Person	Collective		
Margery	Person			Margery wife of John Monyword of Hereford
Margery le Helmscmit	Person			
Mary	Person			
Matilda daughter of John le fiz John de Clehonger;	Person			
Matilda de la Haye	Person			
Matilda de Magdalona	Person			
Matild de Ledebur	Person			
Maurice	Person		rector of the said church	Rector of St Ismael
Maurice de Novo	Person			
Menent Francisk'	Person		merchants	merchant of the society of Bardi (Florence)
Menent Francisk' and his fellow-merchants of the society of Bardi [of Florence]	Person	Collective	merchants	
Miles Pychard	Person		knights	
Nicholas	Person			Nicholas Reigate
Nicholas atte Walle	Person			
Nicholas de Brompton	Person			
Nicholas de La Walle	Person			
Nicholas de Reygate	Person		treasurer in the church of St. Ethelbert of Hereford	
Nicholas de Reygate, clerk	Person		clerk	later, Treasurer of Hereford Cathedral
Nicholas de Stretedene	Person			
Nicholas de Warewyk	Person			
Nicholas de Warreyk	Person			
Nicholas de Werham	Person			
Nicholas de Yaneworth	Person			
Nicholas Iweyn	Person			
Nicholas le Barbour	Person			
Nicholas le Webbe	Person			
Nicholas Long	Person		Commissioner	
Nicholas Wyoch	Person			
Nicholes de la Felde	Person			
Osbert Galant	Person			
Osbert Malemort	Person		Commissioner	
patrons	Person	Office		Patrons of the monastery of St Peter's, Glouceseter
penitentiary of the church of Hereford	Person	Office		
penitentiary of the same church	Person	Office		
Peter d'Aigueblanche	Person		Bishop	
Peter de Wilton	Person		chaplain	
Peter Doieward	Person			
Peter Guillelmi	Person			
Peter Knoyl	Person			
Peter le Knoyl	Person			
Peter Malorre	Person			
Petronilla	Person			
Petrus Guillelmi	Person		papal chaplain and auditor,	
Philip Bosse	Person			
Philip Bosse of Turford	Person			
Philip le Werror	Person		bailiffs of the town of Hereford	bailiff of the town of Hereford
Philipp Talebot	Person		canon in the church of Hereford	
Phillip Bernard	Person		rector	
Phillip de Ipr	Person			
Phillip de la Ghildhalle	Person			
Phillip de London	Person		clerk	
Phillip de Stottesdon	Person		perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford	
Phillip le taillor	Person			
Phillip le Werour	Person			
Phillip son of Robert le Park	Person			Philip le Park?
Pope Clement V	Person			
Pope John XXII	Person			
Pope Nicholas IV	Person			
Portuens'	Person		commissioners for the dean end chapter of Hereford	Cardinal
Preston	Person			
priest of St. Sabine	Person	Office		
prior of Kedewelly	Person			
prior of Kermerdyn	Person			
Prior of Lanthony Prima in Wales	Person	Office		
Prior of Stanleye	Person	Office		
priors of Monemowe and Cadwely	Person	Office		two of them: Prior of M and Prior of C
R., bishop of London	Person		collector of the said tenth	Ralph de Baldock was Bishop of London from 1305/6-1313
Ralph Berde	Person			It doesn't say so here, but elsewhere I think, that Ralph Berde is father of Richard Berde
Ralph called le Blake de la Oldehull	Person			
Ralph de Brompton	Person			
Ralph de Buesham	Person		perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford	
Ralph de Byritone	Person			
Ralph de Hengham	Person			
Ralph de Knulle	Person			
Ralph de Lacu	Person			Proctor of the dean & chapter of Hereford in the Roman Court
Ralph de Stokes	Person		canon	
Ralph le Baron of Wydemarsmore	Person			
Ralph le Botiler	Person			
Ralph le Vreynshe	Person			
Randolphe Berde	Person			
Ranulf de Evesham, their clerk	Person			
Ranulph de Evesham	Person		vicars	
rector of the church of Cherring'	Person	Office		
reeves of Preston	Person	Office		
Reginald	Person			Reginald (de Bromfeld?), brother to John de Bromfeld
Reginald de Halton	Person			
Reginald de Orleton	Person			
Reginald de Todeworth	Person		citizen of Salisbury (Nova Sarum)	
Reginald his brother	Person		clerks	that is, Reginald (de Bromfeld?), brother to John de Bromfeld
Reginald Maniword	Person			
Reginald Syward	Person			
Reginald Yrp	Person			
Richard	Person			aka Richard Swinfield, Bishop of Hereford
Richard, bishop of Hereford	Person			Richard Swinfield
Richard [de Swinfield], bishop of Hereford	Person		bishop of Hereford	
Richard berde	Person			
Richard Berde de Ledebur	Person			as per comment to final witness, Roger le Skynnar, since Richard Berde is himself a notary/scribe by profession, it may be that he wrote this document himself, and not final witness; check the hand against other docs by Richard Berde to determine
Richard Broun de Galuerhull	Person			Medipernor(?)
Richard called de Monem'	Person			
Richard called Heruy	Person		clerk	Richard Hervy
Richard called the clerk, chaplain, son and heir of the late Richard le Clerke of Hereford beyond the Wye	Person			aka Richar le Clerk junior?
Richard de Bere	Person			
Richard de Braumford	Person			
Richard de Brochwardyn	Person			
Richard de Brocwardin	Person			
Richard de Brome	Person			
Richard de Brompton	Person			
Richard de Clehonger	Person			
Richard de Cruce	Person			
Richard de ecclesia de Hamton' in the manor of Munstreworthe	Person			
Richard de Hamenasch	Person		canon of Hereford	
Richard de Hamenays	Person		sub-dean of Hereford	
Richard de Harsecumb	Person			
Richard de Hoggesshawe	Person			
Richard de Hunteleye	Person			
Richard de La haye	Person		bailiff of the dean and chapter of Hereford	
Richard de la Lastres	Person			
Richard de La Mar	Person			
Richard de la Oldehulle	Person			
Richard de Lulham	Person			
Richard de Manus	Person			(?)
Richard de Nonnynton	Person		canons of the cathedral church of Hereford	
Richard de Oxindenn	Person			
Richard de Swynefeud	Person		bishop of Hereford	
Richard de Sydenhale	Person		commissary of the official of Adam [Orleton], bishop of Hereford	
Richard de Upton	Person			called de Credeleye|Vicar in the greater church of Hereford
Richard de Wycombe	Person			
Richard de Wykewane	Person		chaplains	
Richard Gilbard	Person			
Richard Gorlek	Person			
Richard Hakelute	Person			
Richard Haliday	Person			
Richard Hasard de Aschtun	Person			
Richard Heruy	Person		clerks of the diocese of Hereford	
Richard his brother	Person			Richard le Park [?], son of Robert le Park
Richard II	Person			King Richard II
Richard Ithenhaye	Person			
Richard le Balun	Person			
Richard le Child'	Person		parishioners	
Richard le Clerke	Person			that is, Richard le Clerke (senior), of Hereford beyond the Wye
Richard le Forster	Person			
Richard le Schep	Person			
Richard le tailour de Lugwardin	Person			
Richard Le Vikerys	Person			
Richard le Wodeward	Person		Commissioner	
Richard Malemort	Person		Commissioner	
Richard Monyword	Person		bailiff	
Richardon	Person			
Richard Perot de Ledebur	Person			
Richard son of Phillip de Brompton	Person			
Richard Swinfield	Person			Richard Swinfield
Richard Swinfield, bishop of Hereford	Person		bishop of Hereford,	
Richard the smith of Neuton	Person			
Richard Thurgrym	Person		citizens	
Richerd de Wynchecoumbe	Person			
Rikeman	Person			Roger Rikeman
Robert	Person			
Robert, archbishop of Canterbury	Person			
Robert, called le Dorturer de Selebourne	Person		notary public	
Robert, lord of Stauntone	Person			
Robert ate Heye	Person			
Robert Baynard	Person		sureties to the said bishop, dean and chapter	
Robert Boter	Person			
Robert Carpentar	Person		Carpentar	
Robert Culbel	Person			
Robert de Byford	Person		vicars	
Robert de Compton	Person			
Robert de Cotinton	Person		clerk of the dean and chapter of Hereford	
Robert de Cotinton, clerk of the dean and chapter of Hereford	Person			
Robert de Dunre	Person			
Robert de Dyk	Person			
Robert de Garewy	Person			
Robert de Glouc	Person		chancellor of the church of Hereford	
Robert de Gloucestr', chancellor	Person		chancellor	Robert de Gloucester, chancellor of Hereford Cathedral
Robert de Gloucestre	Person			
Robert de Gloucestria	Person			
Robert de Gorewall	Person			
Robert de Ho'tone	Person			
Robert de la Doune	Person		executors of the will of dominus Stephen de Thansto, formerly dean of Hereford	
Robert de la Doune de Rydmarleye	Person			
Robert de la Sete	Person			
Robert de Lassindon	Person			
Robert de Masinton	Person			
Robert de Penebrugg	Person			
Robert de Penres	Person			
Robert de Pirytone	Person			
Robert de Somersete	Person			
Robert de Weston	Person			
Robert Deynte	Person			
Robert Donnyng	Person			
Robert Foliot	Person			
Robert Knoyl	Person			
Robert le Chamberleyn	Person			
Robert le leche de Walsned	Person			
Robert le Park	Person			
Robert le Teyntour	Person			
Robert Sauage	Person			
Robert Trillek	Person			
Roger	Person			Roger Rikeman
Roger called de Ledebury.	Person			
Roger de Blitheslowe	Person		Commissioner	
Roger de Boyfelde	Person			
Roger de Breyntone	Person		clerk	
Roger de Bristoll	Person			
Roger de Bristollia	Person			
Roger de Bruneshop	Person			
Roger de Bruneshope de Hereford	Person			
Roger de Brunsope	Person			
Roger de Cestr	Person			
Roger de Dyk	Person			
Roger de Ereyntonia	Person		executor of the will of dominus Nicholas de Reygate	Roger de Breynton, not Ereyntonia--double check that this is in Handlist!
Roger de la Ghildhalle	Person			
Roger de la Ghildhselle	Person			
Roger de la Grene de Bulleye	Person			
Roger de Ledebury	Person			
Roger de le Halle	Person			
Roger de Luyde	Person			
Roger de Melton	Person			
Roger de Meltone Mounbray	Person			"""Champion"""
Roger de Mora	Person			
Roger de Mortemer	Person			Roger Mortimer
Roger de Munstreworthe	Person			
Roger de Poteston	Person			
Roger de Sevenak	Person		magister	
Roger de Wynton	Person			
Roger Digge	Person		his servant	
Roger Iwayn	Person			
Roger Laurenc' de Eton	Person			
Roger le Skynnar'.	Person			since Richard Berde de Lebury is himself a scribe/notary by profession, it may be that he has written the document, and not the final witness Roger le Skinner; check the hand again other Richard Berde documents
Roger le Taillur	Person		bailiff of the dean and chapter of Hereford	
Roger le Tayllor	Person			
Roger le Webbe	Person			
Roger le Yongehosebonde	Person			
Roger Ochelmon	Person		bailiffs of the king at Hereford	
Roger Ocwelmen	Person			
Roger Pelliparie	Person			
Roger Penk	Person			
Roger Pychard	Person		knights	
Roger Racy	Person			
Roger son of Henry le mason	Person			
Roger Spore	Person		Commissioner	
ROYAL CONFIRMATION	Person	Office		that is, this is an edict of King Edward II
Rushmarsh	Person			
Salop	Person			
Shorn'	Person			
Sibil	Person			
Simon de Norton	Person			Medipernor(?)
St. Catherine	Person			
St. Ethelbert of Hereford	Person			
St. Katherine the Virgin and martyr	Person			is this Katherine de Ledbury, or not?
St. Nicholas	Person			
Stephen	Person		rector of the church of Dunre	
Stephen de Buterleye	Person			
Stephen de Grene	Person			
Stephen de Masyntone	Person			
Stephen de Thanet’	Person		canons of the cathedral church of Hereford	
Stephen de Thansto	Person		dean of Hereford	
Stephen Normal	Person		clerks of the diocese of Hereford	
Stephen Norman	Person	Office	subexecutor of the said magister Petrus Guillelmi.	
Stephenson of John de Wormetone	Person			
Stephen son of William Payn	Person			
Stephen the smith	Person			
sub-dean of Hereford	Person	Office		
Sybil	Person			Wife of William de Grandisono
Symon de Lodelawe	Person			
The abbot and convent	Person	Collective		Abbot and convent of St Peter's Gloucester
the abbot and convent of St. Peter's, Gloucester,	Person	Office		
the abbot and convent of the monastery of St. James of Wiggemore in the diocese of Hereford	Person	Office		
the abbot and convent of the monastery of St. Peter's, Gloucester	Person	Office		
the abbot and convent of Wigmore	Person	Office		
the abbot of Gloucester	Person	Office		
the apostolic see	Person	Office		
the archbishops and bishops of England, their administrators and officials.	Person	Office		
the archdeacon	Person	Office		
the bishop	Person			Richard Swinfield
the bishop of Hereford	Person	Office		Richard Swinfield
the bishop of Llandaff	Person	Office		John
the burgesses of the town of Sweynes	Person	Office		
the canons	Person	Office		that is, those present at the obit of Stephen de Thantso
the canons of Hereford	Person	Office		that is, the dean and chapter of Hereford
the cardinal commissioners	Person	Office		
the cathedral church of Hereford	Person	Collective		
the chaplains in the church of Hereford	Person	Office		
the chapter of Hereford	Person	Office		
the chapter of the church of St. Ethelbert of Hereford	Person	Office		
the chapter of the same place	Person	Collective		Of the church of St. Ethelbert of Hereford
the chief collectors of the tenth	Person	Office		
the chief parishioners of Maddeleye	Person	Collective		
the citizens of Hereford	Person	Office		
the Clergy of England	Person	Collective		
the clergy of the province of Canterbury	Person	Collective		
the commissioners	Person	Office		that is, the Bishops of Mende and London
The commissioners’ auditors and notaries	Person	Office		
the convent of St. Peter's, Gloucester	Person	Collective		
the convent of the same place	Person	Collective		that is, the convent of the cathedral church of Worcester
the Court of Canterbury	Person	Office		
the custos of the almshouse of the same place	Person	Office		that is:  custos of the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger
The dean	Person			Dean of the church of St Mary of the Arches, London
the dean and chapter	Person	Office		of Hereford
the dean and chapter of Hereford	Person	Office		
the dean and chapter of the cathedral church of Hereford	Person	Collective		
the dean of St. Paul's, London	Person	Office		
the dean of the church of the blessed Mary of the Arches at London	Person	Office	commissary general of the official of the Court of Canterbury	
the dean of the Court of Arches	Person	Office		Dean of Church of St Mary of Arches, London
the Exchequer	Person	Collective		the Exchequer = unit of crown government
the executors of the will of dominus Richard de Swynefeud	Person	Collective		
the imprisoned clerks	Person	Collective		
