source	source_id	relation	target	target_id
chaplains	1372e7e2-22d3-43c1-9598-3e608f6d9c7b	Job	Ralph de Buesham	68e38578-29a5-4ec5-8e99-da0cb6f56fa1
chaplains	1372e7e2-22d3-43c1-9598-3e608f6d9c7b	Job	Phillip de Stottesdon	5451def1-9f23-4038-8774-41f3b5186c8c
chaplains	1372e7e2-22d3-43c1-9598-3e608f6d9c7b	Job	John son of John the baker	c5abf226-9faf-4a22-85d8-efc4ef6c2364
original proctor of the said vicars	fc4ec85a-d300-49a2-bdee-3932a0f232e6	Job	Bartholomew the scribe of Hereford	615be518-5ba1-4cd0-a66a-22823473b0be
dean	a9f931bc-1ed1-4309-bbdc-ff76879a18bb	Job	John de Aqua blanca	ff816994-9a27-4b6e-9004-9416d183946f
the scribe	bcdcff9c-cff5-4d7b-943b-619a2b9bc9c9	Job	Bartholomew the scribe of Hereford	615be518-5ba1-4cd0-a66a-22823473b0be
bishop of Hereford	076db33d-6b27-42e4-ac52-7f78691f47b8	Job	Richard, bishop of Hereford	66d094c2-a968-4622-9b17-a3690d8d639e
deacon	4c0acc08-cac8-48bc-9487-335a0b78ca39	Job	Thomas de Dan	b08c7465-e4d0-48cf-83e4-16978b59f673
bishop	53a6e6cc-3ebd-4a6a-8111-9adcb21e8149	Job	Monmouth	dcfa997b-e2d1-4ff0-9447-94c46888abde
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Walter de Nasse	881694a5-6215-446a-a38e-7b5b91284523
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Alexander de Bykenor	500b441d-2176-4f22-9230-098656511276
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Roger de Blitheslowe	656c7d28-9752-4495-858f-406f4d3aa0f1
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Nicholas Long	f749d46c-6284-4b6d-9ea6-b86728b408e8
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Richard Malemort	fa330cb2-a63b-4771-b0b7-cc9a1db8e0a9
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Osbert Malemort	8f0a7257-97f0-47bc-b9e1-154a8f4ab2bb
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	William le Wodeward	e2da13b0-d5fa-4fcb-a04b-4b9f7462b2a2
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Richard le Wodeward	c26ae653-b457-45fe-bf61-8d0d37c2e62d
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Albriton	b4b6b962-39f2-44af-b617-eea1cc36320e
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Roger Spore	9635dbf9-bdac-4df6-b07f-779e04af4b3e
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	William Ely	fac69407-910f-4692-a0bb-94472f2e809a
Commissioner	a6c9b57e-42bd-488e-a92b-425f7ba7c1b8	Job	Walter Kedeford	531533db-9db9-46d6-b648-a6d4e50395b0
