Document Number,Normalized text,QUOTE_TRANSCRIPTION,Alternate Numbering,UUID,Person ID,Supplemental naming,COMMENTS,TAGS,Unhandled Tags 2,Clerical?,Patronymic?,Named by,Scribe,Principal,Witness,Dead,Gender
HCM 1005,executors of Richard de Swinfield,"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford,","RBLR 1713, HCM 1005",34c4787e-7f68-4e67-a975-fc3bdac93da4,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Principal|Agent|Collective|Clerical,Agent,True,,Collective,,Principal,,,M
HCM 1005,John de Kemeseye,"John de Kemeseye, treasurer of Hereford, one of the executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford","RBLR 1713, HCM 1005",d32f70d1-07b8-41da-a100-1967fff70c02,d32f70d1-07b8-41da-a100-1967fff70c02,"treasurer of Hereford, one of the executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford",,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 1005,Roger Racy I of Bosbury,Roger Racy,"RBLR 1713, HCM 1005",e117f75a-a2e0-433d-a5c1-0341a91a7307,e117f75a-a2e0-433d-a5c1-0341a91a7307,,husband to Elianora,,,,,,,,,,
HCM 1005,Elianora wife of Roger Racy de Bosbury,"Elianora, wife of Roger Racy","RBLR 1713, HCM 1005",f9a6c639-d46f-43f9-a39d-d26024e08a6f,f9a6c639-d46f-43f9-a39d-d26024e08a6f,wife of Roger Racy,,Principal|Woman,,,,,,Principal,,,W
HCM 1023,Richard de Swinfield,"Richard de Swynefeud, formerly bishop of Hereford","RBLR 1735, HCM 1023",9cad457c-2369-4844-8bc5-55228539e95e,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Dead|Clerical,,True,,,,,,Dead,M
HCM 1023,executors of Richard de Swinfield,"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford","RBLR 1735, HCM 1023",7bd72286-ea0d-4058-8171-189a3aa1b82f,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 1023,Richard de Hamenasche,"Richard de Hamenasch', canon of Hereford","RBLR 1735, HCM 1023",d3511353-0cac-4ec6-a24c-3546a95e98a2,d3511353-0cac-4ec6-a24c-3546a95e98a2,canon of Hereford,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1023,Richard de Hamenasche's servants,,"RBLR 1735, HCM 1023",,674731ba-d60b-4183-97bb-f5af3a4e2533,,,,Agent,,,Collective,,Principal,,,
HCM 1024,Richard de Swinfield,"Richard de Swynefeud, formerly bishop of Hereford,","RBLR 1702, HCM 1024",eada049f-b5db-4fe4-8e52-5075ee77cff4,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Dead|Clerical,,True,,,,,,Dead,M
HCM 1024,executors of Richard de Swinfield,"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford","RBLR 1702, HCM 1024",ed57bcfe-fc71-42a9-9967-9012902598cc,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 1024,Richard de Oxindenn,Richard de Oxindenn',"RBLR 1702, HCM 1024",ac50e45b-0aa8-49fa-be4f-0cc84086a20c,ac50e45b-0aa8-49fa-be4f-0cc84086a20c,,,Principal,,,,,,Principal,,,M
HCM 1024,John de Kemeseye,"John de Kemeseye, treasurer of Hereford and one of the executors of the will of dominus Richard de Swynefeud","RBLR 1702, HCM 1024",72fcfd7c-8b47-4b64-9cc3-33663a566f9d,d32f70d1-07b8-41da-a100-1967fff70c02,treasurer of Hereford and one of the executors of the will of dominus Richard de Swynefeud,,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 1025,Richard de Swinfield,"Richard de Swynefeud, formerly bishop of Hereford","RBLR 1706, HCM 1025",0c400b0c-c905-4abc-8f9c-cf4d7d91d3d8,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Dead|Clerical|Lease-Holder,,True,,,,,,Dead,M
HCM 1025,executors of Richard de Swinfield,"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford","RBLR 1706, HCM 1025",cfb78d46-8c6c-410c-b261-83f8e5fc2028,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Principal|Agent|Collective|Collective,Agent,,,Collective,,Principal,,,M
HCM 1025,Walter de Dunre,Walter de Dunr',"RBLR 1706, HCM 1025",b5d3f337-8e27-4a7a-8670-31aa757baa7e,b5d3f337-8e27-4a7a-8670-31aa757baa7e,,,Principal,,,,,,Principal,,,M
HCM 1025,Bromyard Hoddesbach',Bromyard Hoddesbach',"RBLR 1706, HCM 1025",f363525e-33f3-4dd1-ace8-074885d7bb67,f363525e-33f3-4dd1-ace8-074885d7bb67,,"(er, is this a place endorsed or a person doing the endorsing?)",Witness,,,,,,,Witness,,M
HCM 1033,Richard de Swinfield,"Richard. de Swynefeud, formerly bishop of Yereford,","RBLR 1814, HCM 1033",b293d177-33bf-4ac5-be54-e92c6eb7ebc5,1eb4933c-65f8-40fc-9eb8-7a62800229b5,formerly bishop of Yereford,,Dead|Clerical,,True,,,,,,Dead,M
HCM 1033,executors of Richard de Swinfield,"executors of . the will of Soainus Richard. de Swynefeud, formerly bishop of Yereford","RBLR 1814, HCM 1033",8cb3dcb1-ce8b-4344-b134-ff0d23a306b3,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Collective|Clerical|Office,,True,,Collective,,,,,M
HCM 1033,Thomas de Retlyng',Thomas de Retlyng',"RBLR 1814, HCM 1033",f099a355-7523-4a87-b81f-d2033ff25dd9,f099a355-7523-4a87-b81f-d2033ff25dd9,,cf HCM 1001 p.772 aka RBLR 1703: NOT a missing doc ,Principal,,,,,,Principal,,,M
HCM 1035,William de Swantone,"William de Suanton', rector of the church of Cherring'","RBLR 1741, HCM 1035",051646eb-b864-4682-93bc-fcb794cec873,051646eb-b864-4682-93bc-fcb794cec873,rector of the church of Cherring',,Principal|Clerical,,True,,,,Principal,,,M
HCM 1035,Richard de Swinfield,"Richard de Swynefeud, formerly bishop of Hereford,","RBLR 1741, HCM 1035",8e8d2c7b-7ec5-4f87-ae3c-760fd17674e4,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Dead|Clerical,,True,,,,,,Dead,M
HCM 1035,executors of Richard de Swinfield,"executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford,","RBLR 1741, HCM 1035",d853da82-76d9-43cf-850c-d74134f1865b,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Principal|Agent|Collective|Clerical,Agent,True,,Collective,,Principal,,,M
HCM 104,William de Wyk,"william de wyke, penitentiary of Hereford,",,01dfcbcf-1e60-4267-887d-fa33a4a23290,01dfcbcf-1e60-4267-887d-fa33a4a23290,penitentiary of Hereford,"penitentiary of Hereford means clerical not civic, right?|magister has dropped out of OCR",Neighbor|Clerical,Neighbor,True,,,,,,,M
HCM 104,William Deuereys,et ee all. Deuersas,,01f39bd0-0f32-4925-8266-54e6361607ac,01f39bd0-0f32-4925-8266-54e6361607ac,dominus,cf Wm Davy?,Neighbor|Clerical,Neighbor,True,,,,,,,M
HCM 104,William Stevenes,"William Steuenes, then bailiffs of the city of Hereford",,0f3de67a-7118-4c74-b62b-d1265bf79812,0f3de67a-7118-4c74-b62b-d1265bf79812,bailiff of the city of Hereford,,Witness|Agent,Agent,,,,,,Witness,,M
HCM 104,Thomas de Monnington,"Thomas de Monyton', burgess of Gloucester",,27b4bfaf-f2e4-4a7f-84dd-797a06b11b8e,27b4bfaf-f2e4-4a7f-84dd-797a06b11b8e,burgess of Gloucester,,Principal,,,,,,Principal,,,M
HCM 104,John de la More clerk,"John de M',",,73312377-e4d9-42fd-ae78-167956b26ea8,4bc23c81-80a3-4102-943f-db9453f2df5c,,"best guess= John de la More; possibly, Molendino?|typescript has just M' (also a Phillip de M'); 1355, p981; Thomas Monyton doc, Hereford; ",Witness,,,,,,,Witness,,M
HCM 104,King Edward III,Hereford,,37ca9200-02ee-45e6-a121-86dd1967f95b,518568ab-fc48-4fe9-9c26-659db6090111,,The King in the city of Hereford,Office,,,,Office,,,,,M
HCM 104,Cecily wife of Henry de Hamstude,"Cecily, his wife",,70ba9fe3-5619-455e-a3df-765d5d79ff1b,70ba9fe3-5619-455e-a3df-765d5d79ff1b,his wife,"wife to Henry de Hamstude, citizen of Hereford",Principal|Woman,,,,,,Principal,,,W
HCM 104,John le Clerk of Hereford,John le Clerk,,986a2848-b6b7-44ae-9c82-dd6eaabec26d,986a2848-b6b7-44ae-9c82-dd6eaabec26d,bailiff of the city of Hereford,,Witness|Clerical|Agent,Agent,True,,,,,Witness,,M
HCM 104,William de Kingscote,Williom de Kyngesshawe,,a4fd12e7-9339-475b-aa71-f1b2c6b2b369,a4fd12e7-9339-475b-aa71-f1b2c6b2b369,,,Witness|Scribe,,,,,Scribe,,Witness,,M
HCM 104,Philip de la More,Phillip de M',,1670c344-a839-4b2a-ad54-2bf2494081ef,a6e638ef-0f9b-4e4b-8fa6-0be288356796,,"doc has just Phillip de M'; More--since there's a John de la More too, dates work",Neighbor,Neighbor,,,,,,,,M
HCM 104,dean and chapter of Hereford,dean and chapter of Hereford,,0d6e556b-1401-4650-a648-02174572016c,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Collective|Clerical,,True,,Collective,,,,,M
HCM 104,John le Sadeler bailiff,"John le Sadeler', then bailiff of the dean and chapter of Hereford",,e4a770dd-5993-4dbb-b8aa-ae0423d1e58b,e4a770dd-5993-4dbb-b8aa-ae0423d1e58b,then bailiff of the dean and chapter of Hereford,,Witness|Agent,Agent,,,,,,Witness,,M
HCM 104,Henry de Hamstude,"Henry de Hamstude, citizen of Hereford",,fa0b1957-ccf9-49e5-a528-7ee851a3d421,fa0b1957-ccf9-49e5-a528-7ee851a3d421,citizen of Hereford,husband to Cecily,Principal,,,,,,Principal,,,M
HCM 1049,Richard de Swinfield,"Richard, bishop of Hereford",,8f8b14c2-83de-420e-ac2e-09410819dd90,1eb4933c-65f8-40fc-9eb8-7a62800229b5,bishop of Hereford,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1049,dean and chapter of Hereford,dean and chapter of Hereford,,3540e208-0017-4f3e-b493-ce6a271a5685,c5a27237-f2d1-40ec-976a-f21d8fbb4ff2,dean and chapter of Hereford,,Principal|Clerical|Collective,,True,,Collective,,Principal,,,M
HCM 1049,John de Kemeseye,John de Kemeseye numerans,,1025dfe2-1319-4ad8-a4ce-87c1da177956,d32f70d1-07b8-41da-a100-1967fff70c02,treasurer,,Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 1050,Roger Burde,"Roger Burde, the archbishop's treasurer,",,113b7df9-9658-4cf6-8967-4df7223a0ad2,113b7df9-9658-4cf6-8967-4df7223a0ad2,the archbishop of Canterbury's treasurer,,Principal|Agent|Clerical,Agent,True,,,,Principal,,,M
HCM 1050,John Peckham,"J/obhn! ezehbiahop of Canterbury,",,447b9888-f053-4709-ad10-9bff7d758df6,1a291df6-197f-417d-a288-09533b0d8ae4,archbishop of Canterbury,"John Pecham, 1279-1292",Principal|Clerical,,True,,,,Principal,,,M
HCM 1050,Roger de Seuenak magister,"— de Sevenak',",,3019bd14-950a-42e8-acd4-f77153a37e57,3019bd14-950a-42e8-acd4-f77153a37e57,,,Clerical|Agent,Agent,True,,,,,,,M
HCM 1050,executors of Thomas de Cantilupe,"executors of the will of Thomas, formerly bishop of Hereford,",,5b93238e-1fe7-4633-9fc1-f42a8ff34970,5b93238e-1fe7-4633-9fc1-f42a8ff34970,formerly bishop of Hereford,,Collective|Clerical|Principal,,True,,Collective,,Principal,,,M
HCM 1050,Thomas de Cantilupe,"Thomas, formerly bishop of Hereford",,8bfd4183-ae75-45a5-a469-ed6276915d4b,8bfd4183-ae75-45a5-a469-ed6276915d4b,,,Dead|Clerical,,True,,,,,,Dead,M
HCM 1050a,Richard de Swinfield,Richard Swinfiel: bishop of Hereford,,84d9b177-fe3c-4a3f-b010-12612901a825,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1051,Richard de Swinfield,"Richard, formerly bishop of Hereford","RBLR 2801, HCM 1051",01321155-36a0-4b28-b716-0777787c90c3,1eb4933c-65f8-40fc-9eb8-7a62800229b5,,,Dead|Clerical,,True,,,,,,Dead,M
HCM 1051,Roger de Breynton,"Roger de Breintone, canons ° church of Hereford","RBLR 2801, HCM 1051",724d1018-4ff9-463e-a762-59080c540d53,724d1018-4ff9-463e-a762-59080c540d53,canon of Hereford; executor of Swinfield,,Principal|Agent|Clerical,Agent,True,,,,Principal,,,M
HCM 1051,executors of Richard de Swinfield,executors,"RBLR 2801, HCM 1051",42b9731b-4c8f-467f-9b10-526d61ae1d16,82ac0d59-a4c6-4bb8-9eaa-b71b9626332c,,,Principal|Collective|Clerical,,True,,Collective,,Principal,,,M
HCM 1051,John de la Felde,Sonn de le Felde,"RBLR 2801, HCM 1051",8c0a8469-c649-4985-947b-e6bc21844f83,8c0a8469-c649-4985-947b-e6bc21844f83,canon of Hereford; executor of Swinfield,canon from 1316 (HRS calls him John de la Fowe),Principal|Clerical|Agent,Agent,True,,,,Principal,,,M
HCM 1051,Walter Reynolds,archbishop of Canterbur,"RBLR 2801, HCM 1051",b0dcb5c7-9c6b-4c4b-83d8-3ce4f6943f4a,b0dcb5c7-9c6b-4c4b-83d8-3ce4f6943f4a,archbishop of Canterbury,"Walter Reynolds, Archbp of Canterbury 1313-1327|letter dated 1327.7.31|Reynolds dies 1327.11.16|Simon Mepeham installed June 1328 but it's not him referenced",Office|Clerical|Adjudicator,Adjudicant,True,,Office,,,,,M
HCM 1051,Adam de Orleton,"Adam, bishop of Hereford","RBLR 2801, HCM 1051",ce859ac7-0532-43e2-9359-1f495b0beefb,ce859ac7-0532-43e2-9359-1f495b0beefb,bishop of Hereford,,Principal|Clerical|Agent|Adjudicator,Adjudicant,True,,,,Principal,,,M
HCM 1052,Richard de Swinfield,"eee of Hereford,",,b1df7f3a-9f23-48b6-a8a9-1fb96db21aae; 5efcf510-3835-4a00-8a63-e91ac009451c,1eb4933c-65f8-40fc-9eb8-7a62800229b5,bishop of Hereford,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1052,Roger de Seuenak magister,"a de Sevenak', official of the said Ric! Op of Hereford",,c4bfeeec-7245-43b1-8370-4b684fc12f0a,3019bd14-950a-42e8-acd4-f77153a37e57,official of the said Richard Bishop of Hereford,,Witness|Clerical|Agent,Agent,True,,,,,Witness,,M
HCM 1052,Alan de Creppynge,Alen de Greppynges eanon of Hereford,,6ad0aa85-3175-43b2-91cd-1fec4bd02bd2,6ad0aa85-3175-43b2-91cd-1fec4bd02bd2,canon of Hereford,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1052,Robert de Kyrkeby,"Robert de Kyrkeby, chaplain",,a2f81571-6300-42ec-8f8a-6416e94d64d3,a2f81571-6300-42ec-8f8a-6416e94d64d3,chaplain,scribe tag iffy?,Witness|Scribe|Clerical,,True,,,Scribe,,Witness,,M
HCM 1053,Simon de Ludlow,"Simon de Lodelawe, clerk.",,00e298b8-c8f5-48cf-96bb-c24eb7203c27,00e298b8-c8f5-48cf-96bb-c24eb7203c27,clerk,,Witness|Scribe|Clerical,,True,,,Scribe,,Witness,,M
HCM 1053,Richard de Swinfield,"Richard de Swynesfeld, bishop of Hereford",,b7079f3b-5312-4977-a084-00f65b842d2e,1eb4933c-65f8-40fc-9eb8-7a62800229b5,bishop of Hereford,,Lease-holder|Clerical,Lease-holder,True,,,,,,,M
HCM 1053,John ap Huwe of St Briavel's,John ab Huwe,,2cd1b440-deab-45c2-a3be-24d278b77ac9,2cd1b440-deab-45c2-a3be-24d278b77ac9,,"Clehonger not far from Dewsall Court; same as John son of Hugh, both vicinity St Briavels?",Witness,,,,,,,Witness,,M
HCM 1053,Henry de Penebrugge,"Henry de Penebrugg', lord of Clehangres",,329b4345-2874-4b8e-a8f8-4fe95ee8eb02,329b4345-2874-4b8e-a8f8-4fe95ee8eb02,lord of Clehangres,,Principal,,,,,,Principal,,,M
HCM 1053,Hugh de Tyberton,Hugh de Tyberton',,3be75547-5788-4288-a638-4afac6122ba9,3be75547-5788-4288-a638-4afac6122ba9,,,Witness,,,,,,,Witness,,M
HCM 1053,John Iweyn,John Iweyn.,,644c4037-fc1b-4174-b85b-c8de888e6447,644c4037-fc1b-4174-b85b-c8de888e6447,,,Principal,,,,,,Principal,,,M
HCM 1053,William de la Calewe de Deweswalle,W ilam de le weer),,0cb7a14d-0b2f-494f-8a06-3724f446cbf3,8b1a5f70-fccc-45c0-a2c5-e5c815da150a,,,Witness,,,,,,,Witness,,M
HCM 1053,Yerworth Marmiun,Yerevorth Marmiun,,b1ca497d-6d08-411e-a3bb-064ce405c337,b1ca497d-6d08-411e-a3bb-064ce405c337,,cf Yerworth de Kylbrost?,Witness,,,,,,,Witness,,M
HCM 1053,Robert le Petit,Robert le Petit,,be12c271-b0c3-4970-a8d5-28e21b19341f,be12c271-b0c3-4970-a8d5-28e21b19341f,,,Witness,,,,,,,Witness,,M
HCM 1053,William Mangaunt,"William Mengeaund,",,d1a2f00d-c19b-4211-9366-0706aa4b29f5,d1a2f00d-c19b-4211-9366-0706aa4b29f5,,,Witness,,,,,,,Witness,,M
HCM 1053,Edmund le Waleys,Edmund le “we,,db9ebe89-3fc3-4a1c-982f-17e8fe413a1b,db9ebe89-3fc3-4a1c-982f-17e8fe413a1b,,,Witness,,,,,,,Witness,,M
HCM 1054,Simon de Ludlow,"Simon de Lodelowe, clerk",,710d99ac-338f-4cfe-9a29-df3ffe69e4b6,00e298b8-c8f5-48cf-96bb-c24eb7203c27,clerk,,Witness|Scribe|Clerical,,True,,,Scribe,,Witness,,M
HCM 1054,Thomas Reed,Thomas Rued,,0205ffce-5aff-455e-bca1-3ba1baa47256,0205ffce-5aff-455e-bca1-3ba1baa47256,father to William,,,,,,,,,,,
HCM 1054,Richard de Swinfield,"Richard de Suynefeud, bishop of Hereford;",,5a2d737e-9e5a-4173-961f-02ebb6ed6188,1eb4933c-65f8-40fc-9eb8-7a62800229b5,bishop of Hereford,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1054,John ap Huwe of St Briavel's,John ap Huwe,,05e1b5b9-8813-4bb4-90b4-dcdeb190ab15,2cd1b440-deab-45c2-a3be-24d278b77ac9,,,Witness,,,,,,,Witness,,M
HCM 1054,Henry de Penebrugge,"Henry de Penebrugg', knight",,fc3d8566-08d3-4ae9-ac2b-2f2b31c81bcf,329b4345-2874-4b8e-a8f8-4fe95ee8eb02,knight,,Principal,,,,,,Principal,,,M
HCM 1054,Hugh father of William husband of Edith,Hugh,,36298f18-d828-43d7-8ac7-4c0d1b9a6eed,36298f18-d828-43d7-8ac7-4c0d1b9a6eed,father to William,,Patronymic,,,True,,,,,,M
HCM 1054,Hugh de Tyberton,Hugh de Tib'ton',,a2a99159-9ec2-4b6c-b250-f4cf63d69553,3be75547-5788-4288-a638-4afac6122ba9,,,Witness,,,,,,,Witness,,M
HCM 1054,Edith wife of William de Bromfield,Kdith formerly the wife of William son of Hugh,,4ed8f779-cf62-47ff-9c60-fb49ab1407af,4ed8f779-cf62-47ff-9c60-fb49ab1407af,formerly the wife of William son of Hugh,,Lease-holder|Woman,Lease-holder,,,Parent,,,,,W
HCM 1054,William de la Calewe de Deweswalle,William de la Calewe,,fb656590-8c06-41fb-a16f-60cdf1e6be6c,8b1a5f70-fccc-45c0-a2c5-e5c815da150a,,,Witness,,,,,,,Witness,,M
HCM 1054,Thomas Dalling,Thomas Dalling,,8e7935ee-8e72-4dfb-bbcb-c01177fdb5e8,8e7935ee-8e72-4dfb-bbcb-c01177fdb5e8,,,Lease-holder,Lease-holder,,,,,,,,M
HCM 1054,Huwe ap Ghoruard of St Briavel's,Huwe,,4c9a5019-aa15-4d1e-86bd-798d2c47be47,ad91dc41-bb5f-46c7-9459-428f359b5705,father of John ap Huwe of St Briavel's,alternate possibility: links instead to Vyncent family?,Patronymic,,,True,,,,,,M
HCM 1054,Yerworth Marmiun,Yerevorth Marniun,,db83a741-a03b-4298-8892-70effb495bd0,b1ca497d-6d08-411e-a3bb-064ce405c337,,,Witness,,,,,,,Witness,,M
HCM 1054,William de Bromfield son of Hugh,William son of Hugh,,b394b841-286e-4cbe-82b1-59a74dd9399b,b394b841-286e-4cbe-82b1-59a74dd9399b,son of Hugh; husband to Edith,"lands in Deweswalle, Wormeton & Doweschurch",Dead,,,,Parent,,,,Dead,M
HCM 1054,Robert le Petit,"Robert le Petit,",,4ce336fc-ee2a-432f-9f5e-a10872c52f4b,be12c271-b0c3-4970-a8d5-28e21b19341f,,,Witness,,,,,,,Witness,,M
HCM 1054,William Mangaunt,Willian Mangauna,,0b21b456-88de-4c7e-8d93-91d8ffa69bc6,d1a2f00d-c19b-4211-9366-0706aa4b29f5,,,Witness,,,,,,,Witness,,M
HCM 1054,Edmund le Waleys,Edmund le Waleys,,b097b20e-db50-4a85-9163-e1d8a04d4aa5,db9ebe89-3fc3-4a1c-982f-17e8fe413a1b,,,Witness,,,,,,,Witness,,M
HCM 1054,William Reed de Wigmore,Williom son of Thomas Rued de ky ggemor’,,f89c6c22-accd-4da9-a74b-64028e8a0843,f89c6c22-accd-4da9-a74b-64028e8a0843,son of Thomas Reed de Wigmore,,Lease-holder,Lease-holder,,,Parent,,,,,M
HCM 1055,Simon de Ludlow,"Simon de Lodelowe, clerk",,c3491a01-35f3-4cec-a967-021774b12a77,00e298b8-c8f5-48cf-96bb-c24eb7203c27,clerk,,Witness|Scribe|Clerical,,True,,,Scribe,,Witness,,M
HCM 1055,Thomas Reed,Thomas Rued,,c5ad94fc-8c08-44f7-9836-e6090d37012a,0205ffce-5aff-455e-bca1-3ba1baa47256,father to William,,Patronymic,,,True,,,,,,M
HCM 1055,David le Witteneye,David le wWitteneye,,0844925c-aab3-419c-bd6a-af0a658e8583,0844925c-aab3-419c-bd6a-af0a658e8583,,,Principal|Agent,Agent,,,,,Principal,,,M
HCM 1055,Richard de Swinfield,"Richard de Suynefeud, ae Hereford",,c9dded9d-e23d-4729-a54e-6dba9c155377,1eb4933c-65f8-40fc-9eb8-7a62800229b5,ae Hereford,,Principal|Clerical,,True,,,,Principal,,,M
HCM 1055,John ap Huwe of St Briavel's,John ap Huwe,,7c75ee13-59b2-4ec0-b53b-231b4492cf28,2cd1b440-deab-45c2-a3be-24d278b77ac9,,,Witness,,,,,,,Witness,,M
HCM 1055,Henry de Penebrugge,"Henry de Penebrugge, knight,",,2df8c63a-b238-4a28-9582-6d2c626042cb,329b4345-2874-4b8e-a8f8-4fe95ee8eb02,knight,,Principal,,,,,,Principal,,,M
HCM 1055,Hugh father of William husband of Edith,"iiugh,",,80dd8c31-4809-469b-8d6e-b6cb3b2ed096,36298f18-d828-43d7-8ac7-4c0d1b9a6eed,father of William,,Dead|Patronymic,,,True,,,,,Dead,M
HCM 1055,Hugh de Tyberton,Hugh de Tib'ton',,a51d0cb8-6fe4-408b-960c-e22e13e1c706,3be75547-5788-4288-a638-4afac6122ba9,,,Witness,,,,,,,Witness,,M
HCM 1055,Edith wife of William de Bromfield,"radth formerly the wife of william, son of iiugh,",,34b2b7a1-1eb6-4862-ab7b-9d3d6e1d6f53,4ed8f779-cf62-47ff-9c60-fb49ab1407af,,former wife,Lease-holder|Woman,Lease-holder,,,Parent,,,,,W
HCM 1055,Peter Tauy,Peter Tauy,,787d933c-1c4a-49de-b587-3b466ed4a817,787d933c-1c4a-49de-b587-3b466ed4a817,,,Agent|Principal,Agent,,,,,Principal,,,M
HCM 1055,William de la Calewe de Deweswalle,"ida tom de la Calewe,",,b51d2167-4c72-4704-b518-6df04ee14f1c,8b1a5f70-fccc-45c0-a2c5-e5c815da150a,,William de la Calewe,Witness,,,,,,,Witness,,M
HCM 1055,Thomas Dalling,"Thomas Dalling,",,e6a1fe78-2765-4dbe-8d1b-2ec819547ad0,8e7935ee-8e72-4dfb-bbcb-c01177fdb5e8,,,Lease-holder,Lease-holder,,,,,,,,M
