Document Number	Doc Type	Given At	Earliest Date	Latest Date	DATE	Date notes	Given at_old	COMMENTS	QUOTE_TRANSCRIPTION
HCM 1033	RECEIPT	Canterbury	1318-03-25T00:00:00Z		13518 MS. 1317,  Saturday next after the . Foast of Saint Benedict the abbot [march 25)		Canterbury	1318 (but MS says 1317, which has to be a mistake given death of RS), RECEIPT	13518 MS. 1317, Saturday next after the . Foast of Saint Benedict the abbot [march 25), RECEIPL
HCM 1035	RECEIPT	London	1317-08-02T00:00:00Z		1317,  August 2		London		1317, August 2,, RECEIPT
HCM 104	GRANT in fee-farm	Hereford	1356-03-28T00:00:00Z		1356,  Monday next after the Feast of the ,   Annuneiation of St. Mary the Virgin (March 28)		Hereford	Penelope index has 1355...|but typescript seems unambiguous...	1356, 1356, Monday next after the Feast of the ,  Annuneiation of St. Mary the Virgin (March 28), GRANT in fee-farm
HCM 1049	RECEIPT	Bosebury	1314-06-19T00:00:00Z		1314,  Wednesday next before the Feast of the Nativity of the Blessed John the Baptist [June 19].		Bosebury		1314, Wednesday next before the Feast of the Nativity of the Blessed John the Baptist [June 19]., RECEIPT
HCM 1050	RECEIPT	Lambeth	1283-10-21T00:00:00Z		1283,  12 Kalends of November October 21.		Lambeth	RECEIPT	1283, 12 Kalends of November October 21., RECRIPT
HCM 1050a	VISITATION		1284-10-27T00:00:00Z	1284-11-30T00:00:00Z	1284,  Nov. 27-30.			how to handle? list all the places as given ats?	HCM 1050a, 1284, Nov. 27-30., VISITATION
HCM 1051	LETTERS PATENT	London	1328-03-05T00:00:00Z		1327/8,  March 5.		London		1327/8, March 5., LETTERS PATENT
HCM 1052	LETTERS PATENT	Sugwas	1283-10-10T00:00:00Z		1283,  Sunday the morrow of the Feast of Saint Dionisius [October 10]		Sugwas		1283, Sunday the morrow of the Feast of Saint Dionisius [October 10],, LETTERS PATENT
HCM 1053	GRANT	Clehangre	1301-08-30T00:00:00Z		1301,  wednesday next after the Feast of the decotlation of Saint John the Baptist [August 30]		Clehangre		1301, wednesday next after the Feast of the decotlation of Saint John the Baptist [August 30], GRANT,
HCM 1054	GRANT	Bosebury	1301-08-12T00:00:00Z		1301,  Saturday next after the Feast of Saint Lawrence the martyr | August 12]		Bosebury		1301, Saturday next after the Feast of Saint Lawrence the martyr | August 12], GRANT
HCM 1055	LETTERS OF ATTORNEY	Bosebury	1301-08-12T00:00:00Z		1301,  Saturday next after the Feast of Saint Laurence the martyr | August 12]		Bosebury		1301, Saturday next after the Feast of Saint Laurence the martyr | August 12], LETTERS OF ATTORNEY
HCM 1056	RECEIPT	Here .	1288-07-07T00:00:00Z		1288,  7 Ides of June | June 7.		Here .		1288, 7 Ides of June | June 7., RECEIPT
HCM 1057	COMMISSION f	London	1291-07-03T00:00:00Z		1291,  5 Nones of July i July 3		London		1291, 5 Nones of July i July 3, COMMISSION f
HCM 1058	GRANT		1282-12-24T00:00:00Z	1302	ju2e3 = 1302.	1302		1283-1302	ju2e3 = 1302., GRANT,
HCM 1059	REQUEST	Sugwas	1310-01-29T00:00:00Z		1309/10,  4 Kalends February [January 29]		Sugwas		1309/10, 4 Kalends February [January 29], REQUEST
HCM 1060	JUDGMENT	priory of Vormele	1283-09-25T00:00:00Z		126 3 Saturday next before the Feast of Saint Michael [September 25]		priory of Vormele	1283	126 3 Saturday next before the Feast of Saint Michael [September 25],, JUDGMENT
HCM 1061	CONFIRMATION	Bosebury	1295-04-09T00:00:00Z		1295,  April 9		Bosebury		1295, April 9,, CONFIRMATION
HCM 1062	SUBMISSION	chapter-house at Hereford	1295-04-08T00:00:00Z		1295,  April &		chapter-house at Hereford	April 8	1295, April &,, SUBMISSION
HCM 1063	Commission	Bosebury	1313-08-18T00:00:00Z		1313,  15 Kal. September [August 18]		Bosebury		1313, 15 Kal. September [August 18], COMMISSION
HCM 1064	REQUEST		1283-01-01T00:00:00Z	1317-12-31T00:00:00Z	1283 = 1317.				1283 = 1317., REQUEST
HCM 1065	MANDATE	Bosebury	1317-01-07T00:00:00Z		1316/7,  7 Ides January [January 7].		Bosebury		1316/7, 7 Ides January [January 7]., MANDATE
HCM 1067	RELEASE		1287-01-01T00:00:00Z	1288-12-31T00:00:00Z	1287 e sirca 1288.				1287 e sirca 1288., RELEASE
HCM 1068	RECEIPT	chapter-house at Hereford	1337-02-06T00:00:00Z		1336/7,  February 6		chapter-house at Hereford		1336/7, February 6,, RECEIPT
HCM 1069	NOTARIAL INSTRUMENT		1340-04-15T00:00:00Z		1340,  April 15.				1340, April 15., NOTARIAL INSTRUMENT
HCM 1070	NOTARIAL INSTRUMENT		1342-04-05T00:00:00Z		1342,  April 5.				1342, April 5., NOTARIAL INSTRUMENT
HCM 1071	NOTARIAL INSTRUMENT		1342-04-14T00:00:00Z		1342,  April 14.				1342, April 14., NOTARIAL INSTRUMENT
HCM 1072	NOTARIAL INSTRUMENT		1347-01-08T00:00:00Z		1346/7,  January 8				1346/7, January 8,, NOTARIAL INSTRUMENT
HCM 1073	RELEASE		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	igirea 1300.	approx			igirea 1300., RELEASE
HCM 1074	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Lsirce 1300.	approx			Lsirce 1300., GRANT,
HCM 1075	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			Lgirea 1300., GRANT
HCM 1076	ROLL of the visitations		1293-01-22T00:00:00Z	1293-04-26T00:00:00Z	1292/3,  Januery 22 - 1293,  April 26	1293-04-26T00:00:00Z		another visitation doc. to consider	HCM 1076, 1292/3, Januery 22 - 1293, April 26,, ROLL of the visitations
HCM 1077	NOTARIAL INSTRUMENT		1309-11-02T00:00:00Z		1309,  November 2				1309, November 2, NOTARIAL INSTRUMENT
HCM 1077-em	LETTERS OF ATTORNEY	chapter of Hereford	1309-10-25T00:00:00Z		Saturday next before the Feast of the Apostles Simon and Judas in the year 1309		chapter of Hereford	(embedded), (embedded doc)	letters of attorney, Saturday next before the Feast of the Apostles Simon and Judas in the year 1309
HCM 11	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, RELEASS
HCM 111	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm
HCM 1116	ACKNOWLEDGEMENT	the cestle of Hereford.	1346-12-16T00:00:00Z		1346,  Saturday next before the Feast of Saint Thomas the Apostle | December 16]		the cestle of Hereford.		1346, Saturday next before the Feast of Saint Thomas the Apostle | December 16], ACKNOWLEDGEMENT
HCM 1157	MEMORANDUM		1286-02-04T00:00:00Z		1285/6,  Mondey next after| the Feast of the Purification of the Blessed Mary February 4				1285/6, Mondey next after| the Feast of the Purification of the Blessed Mary February 4,, MEMORANDUM
HCM 1169	GRANT	Lanthon' aforesaid.	1316-07-16T00:00:00Z		1316,  July 16		Lanthon' aforesaid.		1316, July 16, GRANT
HCM 1172	GRANT	le wali’	1353-10-27T00:00:00Z		1353,  Sunday next before the Feast of the Apostles Simon and-Jude (Oetober 27)		le wali’		1353, Sunday next before the Feast of the Apostles Simon and-Jude (Oetober 27), GRANT
HCM 1173	AGREEMENT	le Wall'	1353-10-27T00:00:00Z		1353,  October 27.		le Wall'		1353, October 27., AGREEMENT
HCM 1174	GRANT	Gloucester.	1285-03-08T00:00:00Z		1284/5,  pmeey next before the Feast . of the blessed ory the Pope [March &		Gloucester.	March 8	1284/5, pmeey next before the Feast . of the blessed ory the Pope [March &, GRANT,
HCM 1175	SETTLEMENT		1323-11-19T00:00:00Z		1323,  13 hal. December | November 19.				1323, 13 hal. December | November 19., SETTLEMENT
HCM 1179	GRANT	Preston	1346-03-26T00:00:00Z		1346,  Sunday next after the Feast of the .   Annunciation of the Blessed wary [March 26]		Preston		1346, Sunday next after the Feast of the .   Annunciation of the Blessed wary [March 26], GRANT
HCM 119	GRANT	Hereford	1308-10-14T00:00:00Z		1308,  Monday next before the Feast of  St. Luke the Evangelist [October 14].		Hereford		1308, Monday next before the Feast of  St. Luke the Evangelist [October 14]., GRANT
HCM 1193	RELBASE	Aylnaston	1318-04-27T00:00:00Z		1318,  Thursday next before the Feast of . the Apostles Phillip and James {April 27]		Aylnaston		1318, Thursday next before the Feast of . the Apostles Phillip and James {April 27], RELBASE
HCM 1194	GRANT	Aylestone.	1329-06-04T00:00:00Z		1329,  Sunday next after the Feast of the ,   Ascension of the Lord |June 4].		Aylestone.		1329, Sunday next after the Feast of the ,  Ascension of the Lord |June 4]., GRANT
HCM 1200	GRANT	Clehangre	1301-09-21T00:00:00Z		1301,  Thursday? after the Exaltation of ,   the Holy Cross | ?September 21		Clehangre		1301, Thursday? after the Exaltation of ,  the Holy Cross | ?September 21, GRANT
HCM 1221	GRANT	Clehungur.	1336-04-26T00:00:00Z		1336,  Friday next after the Feast of St. Mark Evangelist | April 26].		Clehungur.		1336, Friday next after the Feast of St. Mark Evangelist | April 26]., GRANT
HCM 1228	GRANT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	circa 1300	approx			circa 1300, GRANT
HCM 123	GRANT	Hereford	1318-06-15T00:00:00Z		1318,  Thursday next after the Feast of ,   St,  Bernabas the Apostle |June 15].		Hereford		1318, Thursday next after the Feast of ,  St, Bernabas the Apostle |June 15]., GRANT
HCM 1246	GRANT		1331-12-17T00:00:00Z		1331,  smoeiey next before the Feast of St. Thomas Apostle | December 17]				1331, smoeiey next before the Feast of St. Thomas Apostle | December 17], GRANT
HCM 1247	GRANT	Homptone	1315-08-03T00:00:00Z		1315,  Sunday next after the Feast of St. Peter Apostle called ad Vincula [August 3]		Homptone		1315, Sunday next after the Feast of St. Peter Apostle called ad Vincula [August 3], GRANT
HCM 1249	LEASE	Hompton' Bishop	1350-06-06T00:00:00Z		1350,  June 6.		Hompton' Bishop		1350, June 6., LEASE
HCM 125	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century!, RELEASE
HCM 126	GRAIT		1290-01-01T00:00:00Z	1310-12-31T00:00:00Z	Lsirca 1300.	approx		GRANT	Lsirca 1300., GRAIT i
HCM 1260	GRANT	Homme Lacy; Homme ee; Homme Lacey	1322-05-23T00:00:00Z		1522,  Sunday next after the Feast of St. ,   Bthelbert king and martyr |iiay 23].		Homme ee	1322	1522, Sunday next after the Feast of St. ,  Bthelbert king and martyr |iiay 23]., GRANT o
HCM 1264	RELEASE	Hereford	1306-05-25T00:00:00Z		1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]		Hereford		1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE
HCM 1265	RELEASE	Hereford	1306-05-25T00:00:00Z		1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]		Hereford		1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE
HCM 1266	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, RELEASE,
HCM 1271	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th century, RELEASE
HCM 1274	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm,
HCM 1276	GRANT		1300-01-01T00:00:00Z	1350-12-31T00:00:00Z	First half 14th century.	approx			First half 14th century., GRANT
HCM 1277	GRANT		1300-01-01T00:00:00Z	1350-12-31T00:00:00Z	First half 14th century.	approx			First half 14th century., GRANT
HCM 1281	RELEASE	Hereford	1306-05-25T00:00:00Z		1306,  Wednesday next after the Feast of St. Ethelbert,  king and martyr [May 25]		Hereford		1306, Wednesday next after the Feast of St. Ethelbert, king and martyr [May 25], RELEASE
HCM 1287	RELEASE	Hereford	1298-02-27T00:00:00Z		1297/8,  Thursdsy next after the Feast of St. Mathies,  Apostle {February 27]		Hereford		1297/8, Thursdsy next after the Feast of St. Mathies, Apostle {February 27], RELEASE
HCM 1292	GRANT in frank almoign		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in frank-almoign
HCM 1300	GRANT	dereford	1337-12-01T00:00:00Z		1337,  onday next after the Feast of ,   Saint Andrew the Apostle |December 1]		dereford		1337, onday next after the Feast of ,  Saint Andrew the Apostle |December 1], GRANT
HCM 1306	RELEASE	Dudelebury	1323-03-07T00:00:00Z		1522/3,  tioniey next before the Feast of ,   Saint Gregory the Pope |March 7].		Dudelebury	1322/3, RELEASE	1522/3, tioniey next before the Feast of ,  Saint Gregory the Pope |March 7]., RELZASE
HCM 1311	GRANT	Ostrem	1314-04-10T00:00:00Z		1314,  Wednesday,  April 10		Ostrem		1314, Wednesday, April 10, GRANT
HCM 1312	GRANT f	Ostren'.	1302-04-24T00:00:00Z		1302,  April 24.		Ostren'.		1302, April 24., GRANT f
HCM 1313	GRANT in fee-farm	Morgan	1311-04-30T00:00:00Z		1311,  Friday in the Vigil of the Feast of the Apostles Philipp and James [April 30]		Morgan		1311, Friday in the Vigil of the Feast of the Apostles Philipp and James [April 30], GRANT in fee-farm
HCM 1314	GRANT in fee-farm		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, GRANT in fee-farm,
HCM 1320	CONSENT		1320-11-04T00:00:00Z		1320,  2 Non,  November |November 4.				1320, 2 Non, November |November 4., CONSENT
HCM 1320-em	letters	ee 9 mass	1319-01-01T00:00:00Z	1320-12-31T00:00:00Z	fourth year of the Pontificate of John |XXTI\ (1519/20)	fourth XXTI\ (1319/20	ee 9 mass	(printed in Capes)	letters, fourth year of the Pontificate of John |XXTI\ (1519/20)
HCM 1322	BOND	Radyng'	1349-12-21T00:00:00Z		1349,  the Feast of Saint Thomas the Apostle LDecember 21j		Radyng'		1349, the Feast of Saint Thomas the Apostle LDecember 21j, BOND
HCM 1327	LETTERS PATENT	Notyngham	1327-11-05T00:00:00Z		1327,  November 5		Notyngham		1327, November 5., LETTERS PATENT
HCM 1329	GRANT	Notyngham	1327-10-26T00:00:00Z		1327,  October 26.		Notyngham		1327, October 26., GRANT
HCM 1333	COVENANT	chapter-house st Hereford	1322-02-23T00:00:00Z		1321/2,  epee the Feast of St. Milburga the Virgin | February 23].		chapter-house st Hereford		1321/2, epee the Feast of St. Milburga the Virgin | February 23]., COVENANT
HCM 1334	AGREEMENT		1325-01-01T00:00:00Z	1375-12-31T00:00:00Z	mid 14th century	mid 14th century			Mid 14th century., AGREEMENT
HCM 1335	LETTER		1325-01-01T00:00:00Z	1375	mid 14th century	?mid 14th century			?mid 14th century., LETTER
HCM 1336	SUMMARY		1325-01-01T00:00:00Z	1375	?mida 14th century.	?mid 14th century			?mida 14th century., SUMMARY
HCM 1337	NOTARIAL INSTRUMENT	the chepter—place of the cathedral church of Hereford	1338-06-03T00:00:00Z		1338,  June 3		the chepter—place of the cathedral church of Hereford		1338, June 3,, NOTARIAL INSTRUMENT
HCM 1339	INGPEXIMUS	Orvietos	1282-11-05T00:00:00Z		1282,  Non. November November 5.		Orvietos	candidate for making into two documents: HCM 1339 dating 1282, and another contained w/in dating 1273 at Orvieto by notary J de Frebis|but since 1273 = earlier than our parameters anyway, never mind?	HCM 1339, 1282, Non. November November 5., INGPEXIMUS
HCM 1351	DUPLICATE		1322-02-23T00:00:00Z					of HCM 1333	COPY
HCM 1366	LETTER	Thame	1317-08-22T00:00:00Z		1317,  11 Kal. September [August 22]		Thame		1317, 11 Kal. September [August 22], LETTER
HCM 1366-em	WRIT		1317-08-01T00:00:00Z		first day of August 1317			(embedded doc), (embedded doc)	writ, first day of August 1317,
HCM 1367	LETTER	Evesham	1317-09-17T00:00:00Z		1317,  September 17		Evesham		1317, September 17, LETTER
HCM 1367-em	WRIT		1317-08-31T00:00:00Z		31 August 1317			(embedded doc), (embedded doc)	writ, 31 August 1317
HCM 1368	LETTER	Heibur' near London	1317-11-26T00:00:00Z		1317,  November 26		Heibur' near London		1317, November 26,, LETTER
HCM 1369	LETTER	Heibur' near London	1318-06-10T00:00:00Z		Probably 1318|,  June 10		Heibur' near London	Probable date	Probably 1318|, June 10,, LETTER
HCM 1370	RELGASE	Hereford	1319-07-29T00:00:00Z		1319,  Sunday next after the Feast of ,   Saint James the apostle {July 29].		Hereford		1319, Sunday next after the Feast of ,  Saint James the apostle {July 29]., RELGASE
HCM 1371	RECEIPL	Dover	1320-07-26T00:00:00Z		1320,  July 26.		Dover	1320, RECEIPT	1520, July 26., RECEIPL
HCM 1372	LETTER	Lambeth	1320-07-31T00:00:00Z		1320,  2 Kal. August |July 31|.		Lambeth		1320, 2 Kal. August |July 31|., LETTER
HCM 1373	A SERIES OF EIGHT DOCUMENTS,  QUOTATIONS,  FURTHER COMMENTS,  . EXTRACT,  FURTHER COMMENT,  DEPOSITIONS of witnesses,  As for E,  FURTHER STATEMENT,  As for G.		1322-01-01T00:00:00Z	1324-12-31T00:00:00Z	Lgirea 1322-1324.	approx		circa ; we should examine the original to determine WHO these deposed witnesses are, DEPOSITIONS of witnesses, FURTHER STATEMENT	Lgirea 1322-1324., A SERIES OF EIGHT DOCUMENTS, QUOTATIONS, FURTHER COMMENTS, . EXTRACT, FURTHER COMMENT, DEPOSITIONS of witnesses, As for E, FURTHER STATEMENT, As for G.
HCM 1374	RECEIPT	Hereford	1325-04-12T00:00:00Z		1325,  April 12.		Hereford		1325, April 12., RECEIPT
HCM 1375	AGREEMENT	Bredon	1329-07-15T00:00:00Z		1329,  Saturday,  duly 15.		Bredon	July 15	1329, Saturday, duly 15., AGREEMENT
HCM 1376	LEASE	Winchester	1339-02-07T00:00:00Z	1339-02-13T00:00:00Z	1338/9,  February 7-13.	1339-02-13T00:00:00Z	Winchester	please add/create a second document (HCM 1376A? or call one 1376A and the other 1376B?) using same text, since there are two dates given (Fewb 7 and Feb 13) and two given ats (Winchester, then Hereford) for different signees	HCM 1376, 1338/9, February 7-13., LEASE
HCM 1377	GRANT	Hereford	1343-08-18T00:00:00Z		1343,  Monday next after the Feast of the   Assumption of the blessed Virgin Mary L August 18]		Hereford		1343, Monday next after the Feast of the   Assumption of the blessed Virgin Mary L August 18], GRANT
HCM 1378	MEMORANDUM		1345-01-01T00:00:00Z	1345-12-31T00:00:00Z	circa 1345	approx			circa 1345, MEMORANDUM
HCM 1378-em1	BOND	“are	1310-03-27T00:00:00Z		twenty-seventh day of Mareh in the year 1310		“are	(embedded doc 1), (embedded doc 1)	twenty-seventh day of Mareh in the year 1310, bond
HCM 1378-em2	BOND	Shenyngfeld	1320-02-01T00:00:00Z		first day of February in the year 1319/20		Shenyngfeld	(embedded doc 2), (embedded doc 2)	first day of February in the year 1319/20, bond
HCM 139	GRANT	Hereford	1353-09-02T00:00:00Z		13535 Monday next before the Feast of the Nativity of the Virgin Mary | September 2]		Hereford	1353	13535 Monday next before the Feast of the Nativity of the Virgin Mary | September 2], GRANT
HCM 1395	RELEASE		1275-01-01T00:00:00Z	1300-12-31T00:00:00Z	Late 13th. century	approx			Late 13th. century, RELEASE
HCM 140	GRANT	Hereford	1361-07-01T00:00:00Z		1361,  Thursday next after the Feast of ,   St. Peter and Paul,  the ipeatlen [aly 1]		Hereford	??, domini, so all these guys are clerical	1361, Thursday next after the Feast of ,  St. Peter and Paul, the ipeatlen [aly 1], saddeleye, as, GRANT
HCM 1414	NOTARIAL INSTRUMENT	Palatio Mon’ sansie Crucis at Orvieto	1282-08-31T00:00:00Z		1282,  August 31.		Palatio Mon’ sansie Crucis at Orvieto		1282, August 31., NOTARIAL INSTRUMENT
HCM 1414 A	NOTARIAL INSTRUMENT	chamber of the of Canterbury	1282-12-03T00:00:00Z		1282,  Thursday,  December 3.		chamber of the of Canterbury	please add/create a second document, for the embedded letter from Orvieto (september 1282) that is contained within the Dec 1282 document from the chamber of archbishop while staying at priory of Leominster	1282, Thursday, December 3., NOTARIAL INSTRUMENT
HCM 1414 A-em	letters	Orvieto	1282-08-28T00:00:00Z		Nones of September in the yeaR 1282		Orvieto	(embedded doc), (embedded doc)	letters, Nones of September in the yeaR 1282
HCM 1416	Commission	Mortelake	1285-04-30T00:00:00Z		1285,  2 Kal. May [30 April].		Mortelake		1285, 2 Kal. May [30 April]., COMMISSION
HCM 1417	NOTARIAL INSTRUMENT	chapter of the greater church of Hereford	1305-10-26T00:00:00Z		1305,  7 Kal. November [October 26]		chapter of the greater church of Hereford		1305, 7 Kal. November [October 26], NOTARIAL INSTRUMENT
HCM 1418	MEMORANDUM	chapter-house at Hereford	1293-04-01T00:00:00Z		1293,  April 1.		chapter-house at Hereford		1293, April 1., MEMORANDUM
HCM 1419	AGRERMENT	Hereford	1295-07-26T00:00:00Z		1295,  Tuesday next after the Feast of Saint James the Apostle [July 26].		Hereford		1295, Tuesday next after the Feast of Saint James the Apostle [July 26]., AGRERMENT
HCM 142	GRANT	Hereford	1336-09-23T00:00:00Z		1336,  Monday next after the Feast of St. ,   Matthew the Apostle | September 23]		Hereford		1336, Monday next after the Feast of St. ,  Matthew the Apostle | September 23], GRANT
HCM 1420	INDULGENCE	Boyton’	1285-01-02T00:00:00Z		1284/5,  4 Non. January Jenuary 2		Boyton’		1284/5, 4 Non. January Jenuary 2, INDULGENCE
HCM 1421	INDUIGENCE	Hereford	1324-04-07T00:00:00Z		1324,  7 Ides April jspril 7.		Hereford		1324, 7 Ides April jspril 7., INDUIGENCE
HCM 1422	INDULGENCE	London	1285-05-09T00:00:00Z		1285,  7 Ides May [May 9].		London		1285, 7 Ides May [May 9]., INDULGENCE
HCM 1423	INDULGENCE	New Temple	1285-05-04T00:00:00Z		1285,  4 Non. May. [May 4].		New Temple		1285, 4 Non. May. [May 4]., INDULGENCE
HCM 1424	INDUIGENCE	London	1286-04-27T00:00:00Z		1286,  5 Kal,  May [april 27)		London		1286, 5 Kal, May [april 27), INDUIGENCE
HCM 1425	INDULGENCE	Hereford	1289-07-20T00:00:00Z		1289,  13 Kal. August LJuly 20.		Hereford		1289, 13 Kal. August LJuly 20., INDULGENCE
HCM 1426	NDULGENCE	Hereford	1291-04-15T00:00:00Z		1291,  April 15.		Hereford		1291, April 15., NDULGENCE
HCM 1427	INDULGENCE	Hereford	1318-09-15T00:00:00Z		1318,  17 Kal,  October September 15.		Hereford		1318, 17 Kal, October September 15., INDULGENCE
HCM 1428	INDULGENCE	London	1320-10-23T00:00:00Z		1320,  10 Kal,  November October 23		London		1320, 10 Kal, November October 23,, INDULGENCE
HCM 1429	INDUIGENCE	London	1320-10-22T00:00:00Z		1520,  11 Kal,  November \October 22		London	1320	1520, 11 Kal, November \October 22,, INDUIGENCE
HCM 1430	INDULGENCE	London	1320-10-22T00:00:00Z		1320,  11 Kal,  November [October 22)		London		1320, 11 Kal, November [October 22),, INDULGENCE
HCM 1431	INDULGENCE	Cawde.	1321-04-14T00:00:00Z		1321,  18 Kal. May  April 14.		Cawde.		1321, 18 Kal. May  April 14., INDULGENCE
HCM 1432	INDULGENCE	Petresheghes	1327-04-26T00:00:00Z		1327,  April 26.		Petresheghes		1327, April 26., INDULGENCE
HCM 1433	INDULGENCE	Hereford	1328-04-07T00:00:00Z		1328,  April 7.		Hereford	1320	1328, April 7., INDULGENCE, 1523, Saturday after the Feast of ,   Saint Dionysius october 151s, LETTER OF QUITTANCE, 1520, November 20., LETTERS PATENT
HCM 1436	RECEIPT	Hereford	1321-06-19T00:00:00Z		1321,  Friday next after the Feast of Saint ,   Botulf,  the abbot June 19).		Hereford		1321, Friday next after the Feast of Saint ,  Botulf, the abbot June 19)., RECEIPT
HCM 1437	RECEIPT	London	1321-03-31T00:00:00Z		1321,  Mareh 31.		London		1321, Mareh 31., RECEIPT
HCM 1438	RECEIPT	Hereford	1309-07-15T00:00:00Z		1309,  Tuesday next before the Feast of St. Kenelm [July 15]		Hereford		1309, Tuesday next before the Feast of St. Kenelm [July 15], RECEIPT
HCM 1439	RECEIPT	London	1308-07-11T00:00:00Z		1308,  July 11		London		1308, July 11, RECEIPT
HCM 1440	REOEIPT	London	1320-12-06T00:00:00Z		1320,  Saturday,  the Feast of Saint ,   Siaktias oeomber 6)		London	RECEIPT	1320, Saturday, the Feast of Saint ,  Siaktias oeomber 6),, REOEIPT
HCM 1441	PAPAL BULL	Bordeaux	1305-08-23T00:00:00Z		1305,  10 Kal. September [August 23]		Bordeaux		1305, 10 Kal. September [August 23], PAPAL BULL
HCM 1442	LETTER	chapter-house the cathedral church of London	1306-01-01T00:00:00Z	1306-12-31T00:00:00Z	[?1306]		chapter-house the cathedral church of London		[?1306], LETTER
HCM 1443	LETTER	Avignon	1306-07-08T00:00:00Z		[?1306],  July 8.		Avignon		[?1306], July 8., LETTER
HCM 1444	LETTER	Lambeth	1320-11-18T00:00:00Z		1520,  14 Kal,  December |Novenber 18|		Lambeth	1320	1520, 14 Kal, December |Novenber 18|, LETTER
HCM 1445	BOTARIAL INSTRUMENT	Avignon	1320-09-03T00:00:00Z		1520,  September 3.		Avignon	1320, NOTARIAL INSTRUMENT	1520, September 3., BOTARIAL INSTRUMENT
HCM 1446	DETAILS OF COLLECTIONS		1320-01-01T00:00:00Z	1320-12-31T00:00:00Z	\giree 1320.	approx			\giree 1320., DETAILS OF COLLECTIONS
